年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
H30,計画,11,,都市計画に関連する用語に関する次の記述のうち、最も不適当なものはどれか。,CBD (Central Business District)は、一般に、人口密度が4000人/km?以上の国勢調査基本単位区等が互いに隣接し、それらの隣接した地域の人口が5000人以上となる地域である。,TOD (Transit Oriented Development)は、公共交通機関の利用を前提として、過度に自動車へ依存しない持続可能な都市を実現する方法の一つである。,GIS (Geographic Information System)は、位置に関する情報をもつデータ(空間データ)を総合的に管理・加工したうえで、視覚的に表示し、分析や判断を可能にする技術である。,BID (Business Improvement District)は、一般に、地区内の不動産所有者や事業者等から徴収される負担金により、その地区のオープンスペース等の維持管理、治安の改善、マーケティング等を行うものである。,1
H30,計画,12,,車椅子使用者に配慮した集合住宅の計画に関する次の記述のうち、最も不適当なものはどれか。,駐車場からエントランスホールにアプローチする傾斜路の計画に当たり、車椅子使用者が自力で登ることができるように、勾配を 1/16 とした。,居間と寝室の計画に当たり、コンセントの中心高さを床面から20cmとした。,台所の計画に当たり、流し台・調理台の奥行きを60cmとし、作業効率に配慮してL字型に配置した。,浴室の計画に当たり、浴槽の深さを50cm、エプロンの高さを40cmとした。,2
H30,計画,13,,集合住宅に関する次の記述のうち、最も不適当なものはどれか。,熊本県営竜蛇平団地(熊本市)は、中庭や共用部に面して住戸ごとの土間やテラス等を設け、居住者同士が互いの生活を感じながら居住することができるように計画されている。,真野ふれあい住宅(神戸市)は、阪神・淡路大震災の被災者を対象に建築されたコレクティブハウジングであり、共同の食堂、台所等を設けて、居住者が生活の一部を共同で行うことが可能となっている。,世田谷区深沢環境共生住宅(世田谷区)は、木造平家建ての住宅団地の建替え事業により建築された公営の住宅であり、高齢者在宅サービスセンターを併設した、シルバーハウジング・プロジェクトを含むものである。,茨城県営六番池アパート(水戸市)は、三つの住棟、集会室及び中央広場で構成され、中央広場については、住戸又は集会室を介してアクセスする居住者専用のものである。,4
H30,計画,14,,建築物に設けるサインの計画に関する次の記述のうち、最も不適当なものはどれか。,サインの種別には、場所の名称を示す「位置サイン」、特定の場所への方角を矢印表示等で示す「誘導サイン」、利用者が行動を選択するために必要な情報を提供する「案内サイン」等がある。,サインの色彩は、高齢者、弱視者、色覚障がい者等に配慮して、「黄と白」、「赤と緑」等の色の組合せを用いないことが望ましい。,視距離1mから視認するサインの計画において、一般に、立位の利用者と車椅子を使用する利用者の双方に配慮して、床面からサイン表示面の中心までの高さを150cmとすることが望ましい。,視距離10mから視認するサインの計画において、サインの設置位置は仰角(水平からの見上げ角度)が10度を超えないようにすることが望ましい。,3
H30,計画,15,,小学校を指定避難所として使用する場合の対応の方法に関する次の記述のうち、最も不適当なものはどれか。,避難した人が利用するマンホールトイレは、居住エリアから離れた人目に付きにくい場所に設置できるように計画することが望ましい。,屋外プールの水は、可搬式のポンプを用いて、トイレの洗浄水等に利用することができるように計画することが望ましい。,小学校の教育活動を早期に再開するために、避難所機能と教育機能の区画や動線が分けられるように計画することが望ましい。,備蓄倉庫は、行政の防災担当部局等と協議して、想定される災害に対して安全な場所に計画することが望ましい。,1
H30,計画,16,,幼保連携型認定こども園の計画に関する次の記述のうち、最も不適当なものはどれか。,園舎は、地上2階建てとし、園庭は園舎と同一の敷地内に設けた。,園児のための諸室として、ほふく室、保育室、遊戯室及び便所を設け、ほふく室と遊戯室を兼用する計画とした。,飲料水用設備を、手洗い用設備や足洗い用設備とは別に設けた。,食事の提供をすべき園児数を25人とする計画であったので、独立した調理室を設けた。,2
H30,計画,17,,次の建築物に関する記述のうち、最も不適当なものはどれか。,東京国際展示場(通称: 東京ビッグサイト)は、4本の巨大な柱によるスーパーストラクチャーによって支えられた「コングレスタワー」と呼ばれる会議棟が施設のシンボルとなっている。,福島県産業交流館(通称:ビッグパレットふくしま)は、楕円に近い形状をもつ「マザールーフ」と呼ばれる大屋根に特徴があり、「ビッグパレット」の由来となっている。,横浜国際平和会議場(通称: パシフィコ横浜)は、パーゴラのある中央広場を囲むように、劇場棟、展示棟及び会議棟が配置されており、屋根の形状については大空に羽ばたく鳳がイメージされている。,千葉県日本コンベンションセンター国際展示場(通称:幕張メッセ)は、シルエットが山並みをイメージさせる第I期計画の建築物と、屋根形状が凹面から凸面に波のように変化する第II期計画の建築物があり、これらがつくりだすスカイラインに特徴がある。,3
H30,計画,18,,著作権に関する次の記述のうち、四会連合協定「建築設計・監理等業務委託契約約款」に照らして、最も不適当なものはどれか。なお、「成果物」は建築設計業務委託契約において受託者が委託者に提出した設計図書等の設計成果物とし、「本件建築物」は当該成果物を利用して完成した建築物とする。,本件建築物が著作物に該当する場合、当該著作権は受託者に帰属する。,委託者は、本件建築物が著作物に該当する場合であっても、当該本件建築物を写真、模型、絵画その他の媒体により表現し、利用することができる。,受託者は、成果物が著作物に該当する場合であっても、受託者の権利により、委託者の承諾を得ることなく、当該著作権を第三者に譲渡することができる。,受託者は、成果物によって第三者の著作権を侵害した場合、原則として、第三者に対して損害の賠償を行わなければならない。,3
H30,計画,19,,各種マネジメント等に関する次の記述のうち、最も不適当なものはどれか。,不動産分野におけるデュー・デリジェンスは、不動産を取得する場合に、適正な価値やリスクを評価するために行う建築物の物理的状況調査、法的調査、経済的調査等の多角的な調査のことである。,建築物の企画段階におけるブリーフィングは、一般に、発注者及び関係者の要求、目的、制約条件を明らかにし、分析するプロセスであり、その成果物はブリーフと呼ばれている。,建築物の企画段階におけるフィージビリティ・スタディは、企画内容が事業経営上の観点で実行可能かどうかを確かめる検討作業である。,建築工事におけるファシリティ・マネジメントは、基本性能の維持を前提とした工事費低減の提案、工事施工者独自の施工技術の導入の提案等である。,4
H30,計画,20,図あり,図のような鉄筋コンクリート構造の柱において、建築工事建築数量積算研究会「建築数量積算基準」に照らして、積算上の1本の帯筋の長さとして、正しいものは、次のうちどれか。なお、帯筋はスパイラルフープではないものとする。,2000 mm,2120 mm,2200 mm,2400 mm,4
H30,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,長波長放射率は、赤外放射域において、「ある部材表面から発する単位面積当たりの放射エネルギー」を「その部材表面と同一温度の完全黒体から発する単位面積当たりの放射エネルギー」で除した値である。,エネルギー代謝率は、労働代謝の基礎代謝に対する比率で表され、人間の作業強度を表す指標である。,光幕反射は、机上面の光沢のある書類に光が当たる場合等、光の反射によって文字等と紙面との輝度対比が大きくなる現象である。,音の干渉は、二つ以上の音波が同時に伝搬する場合、音波の重なり具合によって振幅が変化する現象である。,3
H30,環境・設備,2,,結露に関する次の記述のうち、最も不適当なものはどれか。,空気を加熱しても、絶対湿度が同じ場合、その空気の露点温度は変化しない。,窓ガラスの室内側にカーテンを設けることは、冬期におけるガラス面の結露の防止対策として期待できない。,冬期において、二重サッシの間の結露を防止するためには、室外側サッシの気密性に比べて室内側サッシの気密性を高くすることが有効である。,冬期において、外壁に接する押入れ内に生じる結露を防止するためには、押入れの襖の断熱性を高くすることが有効である。,4
H30,環境・設備,3,,換気に関する次の記述のうち、最も不適当なものはどれか。,全般換気は、室全体の空気を入れ替えることにより、室内で発生する汚染物質の希釈、拡散及び排出を行う換気方式のことである。,第一種機械換気方式は、給気機及び排気機を用いるため、正圧に保つ必要のある室にも採用することが可能である。,風圧力によって室内を換気する場合、その換気量は、外部風向と開口条件が一定であれば、外部風速の平方根に比例する。,温度差による換気において、外気温度が室内温度よりも高い場合、外気は中性帯よりも上側の開口から流入する。,3
H30,環境・設備,4,,伝熱に関する次の記述のうち、最も不適当なものはどれか。,室の断熱性能を高めることにより、一般に、室温と室内表面温度との差を小さくすることができ、室内の上下の温度差も小さくすることができる。,日射を受ける外壁面に対する相当外気温度(SAT)は、その面における日射吸収量、風速等の影響を受ける。,窓ガラスの日射熱取得率(日射侵入率)は、「ガラスに入射した日射量」に対する「ガラスを透過した日射量」の割合である。,同種の発泡系の断熱材で空隙率が同じ場合、熱伝導率は、一般に、断熱材内部の気泡寸法が大きいものほど大きくなる。,3
H30,環境・設備,5,,建築物における防火・防災に関する次の記述のうち、最も不適当なものはどれか。,防火扉は、火災や煙の伝播・拡大を防ぐために、自動的に閉鎖する機構を有する。,「層間区画」は、上下階の延焼拡大を防止するために、耐火構造や準耐火構造の、スラブ等の水平方向の部材や外壁のスパンドレル等の垂直方向の部材により形成するものである。,火災室から廊下へ流出した煙の水平方向の流動速度は、3~5m/sである。,建築物に使用するアカマツ、ケヤキ等の木材は、一般に、約260℃に達すると引火し、約450℃に達すると自然に発火する。,3
H30,環境・設備,6,図あり,図のような窓をもつ直方体の室がある。この室内にある机の上の点Pにおける昼光率及び照度に関する次の記述のうち、最も不適当なものはどれか。ただし、窓の外には昼光を遮る障害物はないものとする。,点Pにおける水平面照度は、窓面における屋外側の鉛直面照度に昼光率を乗じた値となる。,室内の内装材を暗い色にすると、点Pにおける昼光率は小さくなる。,窓ガラスが完全透過で、窓面に占める窓枠等の面積割合が十分に小さく、かつ、間接照度を無視できるとき、点Pにおける昼光率は、その点における窓面の立体角投射率にほぼ等しい。,机の位置をx軸に沿って窓面に近づけると、点Pにおける窓面の立体角投射率は大きくなる。,1
H30,環境・設備,7,,ある地点における南中時の太陽高度が60度のときの水平面直達日射量はJHであった。このときの法線面直達日射量JNと南向き鉛直面直達日射量JVの値の組合せとして、最も適当なものは、次のうちどれか。,2JH/√3 - JH/√3,2JH/√3 - √3/JH,2JH - JH/√3,2JH - √3 JH,1
H30,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,照明の光がわずかに変化した場合であっても、その光が一様に物体に当たっていれば、色の恒常性により物体の色を同じ色として認識できる。,明度は、視感反射率に対応する値であり、マンセル表色系ではヒューとして表される。,全波長を均等に反射する分光分布をもつ物体を昼間の太陽光のもとで見るとき、その物体の反射率が高いほど、太陽光の色に近い白色に見える。,色光の誘目性は、一般に、色相においては赤が最も高く、青がこれに次ぐ。,2
H30,環境・設備,9,,音響に関する次の記述のうち、最も不適当なものはどれか。,音の強さのレベルを30dB下げるためには、音の強さを 1/1000 にする。,コンサートホール等の最適残響時間として推奨される値は、一般に、室容積が大きくなるほど長くなる。,音の大きさの感覚量は、音圧レベルが一定の場合、低音域で小さく、3~4kHz付近で最大となる。,カクテルパーティー効果は、周囲が騒がしいことにより、聞きたい音が聞き取りにくくなる現象をいう。,4
H30,環境・設備,10,,吸音・遮音に関する次の記述のうち、最も不適当なものはどれか。,吸音率は、「壁へ入射する音のエネルギー」に対する「壁内部に吸収される音のエネルギー」の割合である。,背後空気層をもつ板振動型吸音機構において、空気層部分にグラスウールを挿入した場合、高周波数域での吸音効果についてはあまり期待できない。,音の反射性が高い面で構成された室に吸音材料を設置すると、壁を隔てた隣室で音を放射したときの2室の室間音圧レベル差(2室間の遮音性能)は大きくなる。,空調用のダクト内の音の伝搬においては、音の強さの減衰が小さいことから、一般に、ダクト内に吸音材を貼る等の遮音上の対策が行われる。,1
H30,環境・設備,11,,換気設備に関する次の記述のうち、最も不適当なものはどれか。,営業用厨房は、一般に、厨房内へ客席の臭気等が流入しないように、厨房側を客席側よりも正圧に保つ。,ボイラー室の給気量は、「燃焼に必要な空気量」に「室内発熱を除去するための換気量」を加えた量とする。,外気取入れ経路に全熱交換器が設置されている場合、中間期等の外気冷房が効果的な状況においては、一般に、バイパスを設けて熱交換を行わないほうが省エネルギー上有効である。,置換換気は、空間上部の高温(汚染)領域と空間下部の低温(新鮮)領域との空気密度差によって生じる、空気の浮力を利用した換気方式である。,1
H30,環境・設備,12,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,吸収冷凍機は、一般に、運転中も機内が真空に近い状態であり、圧力による破裂等のおそれがない。,空調熱源用の冷却塔の設計出口水温は、冷凍機の冷却水入口水温の許容範囲内の高い温度で運転したほうが、省エネルギー上有効である。,冷却塔内の冷却水の温度は、外気の湿球温度よりも低くすることはできない。,パッケージユニット方式の空調機のAPF (Annual Performance Factor)は、「想定した年間の空調負荷」と「年間の消費電力量」により求められる。,2
H30,環境・設備,13,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,デシカント空調方式は、除湿剤等を用いることにより潜熱を効率よく除去することが可能であり、潜熱と顕熱とを分離処理する空調システムに利用することができる。,床吹出し空調方式は、事務所等で利用され、冷房・暖房のいずれにおいても、居住域での垂直温度差が生じにくい。,蓄熱槽を利用した空調方式では、建築物の冷房負荷が小さくなる中間期の冷房においても、冷房負荷の大きい夏期と同様に、冷凍機の成績係数(COP)を高く維持することが可能である。,放射暖房方式は、一般に、室の床、壁、天井や放射パネルを加熱して、その放射熱を利用するものである。,2
H30,環境・設備,14,,給水設備に関する次の記述のうち、最も不適当なものはどれか。,上水受水槽の保守点検スペースとして、水槽の上部に100cm、側面及び下部にそれぞれ60cmのスペースを確保した。,上水受水槽と別に設ける消火用水槽として、建築物の地下ピットを利用した。,屋外の散水栓において、逆流を防止するためにバキュームブレーカーを設けた。,断水時にも水が使用できるように、水道直結直圧方式の上水給水配管と井戸水配管とをバルブを介して接続した。,4
H30,環境・設備,15,,給排水衛生設備に関する次の記述のうち、最も不適当なものはどれか。,ガス瞬間式給湯機の給湯能力は、1Lの水の温度を1分間に25℃上昇させる能力を1号として表示される。,給湯設備における加熱装置と膨張タンクとを連結する膨張管には、止水弁を設ける。,営業用厨房の排水設備において、グリース阻集器への流入管には、一般に、トラップを設けない。,排水槽に設ける通気管は、一般に、排水管に接続する通気管とは別に設け、外気に開放させる。,2
H30,環境・設備,16,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,同一容量の負荷設備に電力を供給する場合、同じ種別の電線であれば、配電電圧が200 Vより400Vのほうが、電線は細いものを使用することができる。,かご形三相誘導電動機の始動電流は、全電圧始動方式よりもスターデルタ始動方式のほうが大きくなる。,受変電設備における進相コンデンサは、主に、力率を改善するために用いられる。,受電方式には、1回線受電方式の他に、電力供給の信頼性に重点をおいたスポットネットワーク受電方式等がある。,2
H30,環境・設備,17,,発電設備に関する次の記述のうち、最も不適当なものはどれか。,デュアルフュエルタイプの発電機に用いる燃料は、通常時にはガスを用い、災害時等にガスの供給が停止した場合には重油等を用いることができる。,屋内に設置する発電機用の燃料槽は、消防法の規定による指定数量以上の燃料を備蓄する場合、屋内貯蔵所等として規制を受ける。,燃料電池設備は、消防法の規定に適合する場合、消防用設備等の非常電源として用いることができる。,コージェネレーションシステムに使用される発電機の発電効率は、一般に、ガスエンジンに比べてガスタービンのほうが高い。,4
H30,環境・設備,18,,防災設備に関する次の記述のうち、最も不適当なものはどれか。,閉鎖型スプリンクラーヘッドの種別について、感度種別が1種で、かつ、有効散水半径が2.6m以上であるものは「高感度型」に分類される。,自動火災報知設備において、差動式熱感知器は、一般に、厨房、ボイラー室又はサウナ室に設置する。,非常用の照明装置は、常温下で床面において水平面照度で1lx (蛍光灯又はLEDランプを用いる場合には2lx)以上を確保する。,排煙設備の排煙口は、原則として、防煙区画のそれぞれについて、当該防煙区画部分の各部分から排煙口のいずれかに至る水平距離が30m以下となるように設ける。,2
H30,環境・設備,19,,設備計画における省エネルギーに関する次の記述のうち、最も不適当なものはどれか。,空調用ポンプについては、熱負荷の時刻別の変動が大きい建築物であったため、変流量方式を採用した。,温暖な地域において、大気中の熱エネルギーを利用するため、ヒートポンプ式給湯機を採用した。,太陽光発電設備において、単結晶シリコン太陽電池モジュールよりもエネルギー変換効率が高いアモルファスシリコン太陽電池モジュールを採用した。,大規模な建築物に設置する多数台のエレベーターの管理において、省エネルギーとサービス性の向上との両立を図るため、群管理方式を採用した。,3
H30,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,日本における建築物の総合環境性能評価システムとしてはCASBEEがあり、他国においてはBREEAM(英国)、LEED(米国)等がある。,LCCO?による環境性能評価においては、一般に、「資材生産」、「輸送」、「施工」、「運用」、「保守」、「更新」及び「解体除却」で示される建築物のライフサイクルの各過程におけるCO2排出量を推定する。,「建築物のエネルギー消費性能の向上に関する法律」に基づく省エネルギー基準の適否の判断に用いられるエネルギー消費量は、電力、ガス、石油等の二次エネルギーの消費量である。,地域冷暖房システムの導入は、一般に、未利用熱の活用による排熱削減が期待でき、ヒートアイランド現象の緩和にも効果的である。,3
H30,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,高架の工作物内に設ける店舗は、「建築物」である。,傾斜地等で敷地に高低差のある場合は、建築物の避難階が複数となることがある。,「遮炎性能」とは、通常の火災時における火炎を有効に遮るために外壁に必要とされる性能をいう。,建築材料の品質における「安全上、防火上又は衛生上重要である建築物の部分」には、主要構造部以外のバルコニーで防火上重要であるものとして国土交通大臣が定めるものも含まれる。,3
H30,法規,2,,面積、高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,容積率を算定する場合、建築物のエレベーターの昇降路の部分の床面積は、容積率の算定の基礎となる延べ面積に算入しない。,「北側高さ制限」において、建築物の屋上部分に設ける高さ4mの階段室の水平投影面積の合計が当該建築物の建築面積の 1/8 である場合においては、その部分の高さは、当該建築物の高さに算入しない。,日影による中高層の建築物の高さの制限の緩和の規定において、建築物の敷地の平均地盤面が隣地(建築物があるもの)又はこれに連接する土地(建築物があるもの)で日影の生ずるものの地盤面より1m以上低い場合においては、その建築物の敷地の平均地盤面は、原則として、当該高低差から1mを減じたものの 1/2 だけ高い位置にあるものとみなす。,建築物の屋上部分で、水平投影面積の合計が当該建築物の建築面積の 1/8 の塔屋において、その一部に物置を設けたものは、当該建築物の階数に算入する。,2
H30,法規,3,,都市計画区域内における次の行為のうち、建築基準法上、確認済証の交付を受ける必要がないものはどれか。ただし、建築等に関する確認済証の交付を受ける必要がない区域の指定はないものとする。,鉄骨造、延べ面積 100m?の、屋外観覧場の新築,鉄筋コンクリート造、延べ面積500m?、地上3階建ての物品販売業を営む既存の店舗内における、エレベーター(認証型式部材等に該当するもの)の設置,鉄骨造、延べ面積200m?、平家建ての事務所の、屋根の過半の修繕,木造、延べ面積300m?、高さ8m、地上2階建ての共同住宅の、寄宿舎への用途の変更(大規模の修繕又は大規模の模様替を伴わないもの),3
H30,法規,4,,次の記述のうち、建築基準法上、誤っているものはどれか。,既存の地上5階建ての病院(5階における当該用途に供する部分の床面積の合計が2000m?のもの)に設けた非常用の照明装置に用いる照明カバーの取替えの工事の施工中に、当該建築物を使用する場合においては、当該建築主は、あらかじめ、工事の施工中における建築物の安全上、防火上又は避難上の措置に関する計画を作成して特定行政庁に届け出なければならない。,都市計画区域内においては、延べ面積500m?の卸売市場を準住居地域内に新築する場合には、都市計画においてその敷地の位置が決定していないものであっても、当該建築主は、特定行政庁の許可を受ける必要はない。,延べ面積1000m?、地上3階建ての、昇降機を設けていない自動車車庫の敷地、構造及び建築設備については、当該所有者(所有者と管理者が異なる場合においては、管理者)は、定期に、一級建築士等にその状況の調査をさせてその結果を特定行政庁に報告する必要はない。,鉄骨造、延べ面積300m?、地上2階建ての飲食店を物品販売業を営む店舗とする用途の変更に係る確認済証の交付を受けた場合においては、当該建築主は、当該用途の変更に係る工事を完了したときは、建築主事に工事完了届を届け出なければならない。,1
H30,法規,5,,次の記述のうち、建築基準法上、誤っているものはどれか。,準工業地域内の有料老人ホームの居室(天窓を有しないもの)で、外側にぬれ縁ではない幅1mの縁側を有する開口部(道に面しないもの)の採光補正係数は、水平距離が6mであり、かつ、採光関係比率が0.24である場合においては、0.7とする。,集会場の用途に供する床面積 400m?の居室に、換気に有効な部分の面積が20m?の窓を設けた場合においては、換気設備を設けなくてもよい。,物品販売業を営む店舗で床面積の合計が1600m?のものにおける客用の階段で、その高さが3mを超えるものにあっては、高さ3m以内ごとに踊場を設けなければならない。,居室の天井の高さは、室の床面から測り、1室で天井の高さの異なる部分がある場合においては、その平均の高さを2.1m以上としなければならない。,2
H30,法規,6,,防火区画等に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、自動式のスプリンクラー設備等は設けられていないものとし、耐火性能検証法、防火区画検証法、階避難安全検証法、全館避難安全検証法及び国土交通大臣の認定による安全性の確認は行わないものとする。,主要構造部を準耐火構造とした延べ面積800m?、地上4階建ての事務所であって、3階以上の階に居室を有するものの昇降機の昇降路の部分については、原則として、当該部分とその他の部分とを防火区画しなければならない。,1階及び2階を物品販売業を営む店舗(当該用途に供する部分の各階の床面積の合計がそれぞれ1000m?)とし、3階以上の階を事務所とする地上8階建ての建築物においては、当該店舗部分と事務所部分とを防火区画しなければならない。,主要構造部を準耐火構造とした延べ面積 200m?、地上3階建ての一戸建ての住宅においては、吹抜きとなっている部分とその他の部分とを防火区画しなければならない。,有料老人ホームの用途に供する建築物の当該用途に供する部分(天井は強化天井でないもの)については、原則として、その防火上主要な間仕切壁を準耐火構造とし、小屋裏又は天井裏に達せしめなければならない。,4
