年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
H29,計画,11,,都市計画等に関する次の記述のうち、最も不適当なものはどれか。,建築基準法に基づく、いわゆる「連担建築物設計制度」は、都市機能の更新や、優れた都市空間の形成・保全を図ることを目的に、都市計画法と建築基準法による制限の一部を適用せず、街区単位に都市計画を定め、建築物等を個々に認定する制度である。,都市計画法に基づく「地区計画」は、地区の課題や特徴を踏まえ、住民と市町村とが連携しながら、地区の目指すべき将来像を設定し、その実現に向けて「まちづくり」を進めていく手法である。,文化財保護法に基づく「登録有形文化財登録基準」の建造物の部では、原則として、建設後50年を経過し、かつ、一定の基準に該当する建築物、土木構造物及びその他の工作物が、文化財登録原簿への登録の対象となる。,都市緑地法に基づく「緑化地域」は、緑地が不足している市街地等において、一定規模以上の建築物の新築や増築を行う場合に、敷地面積の一定割合以上の緑化が義務付けられる地域である。,1
H29,計画,12,,住宅の作品(設計者)に関する次の記述のうち、最も不適当なものはどれか。,ファンズワース邸(ミース・ファン・デル・ローエ)は、広大な敷地に建つ週末住宅であり、H形鋼の柱に溶接された梁を介して屋根スラブ及び床スラブを取り付けた構造に特徴がある。,シュレーダー邸(ヘリット・トーマス・リートフェルト)は、建具や家具による住空間づくりに特徴があり、2階は一つの広い空間として使用することも、また可動の間仕切りにより、小さく区分けすることもできる。,前川自邸(前川國男)は、都市部の約20m2の狭小な敷地に、住空間を機能別に積層し構成した住宅である。,原自邸(原広司)は、玄関から吹抜けを通過してバルコニーまで降りてゆく廊下の両側に居室を配置し、トップライトから自然光を取り入れた住宅である。,3
H29,計画,13,,住宅に関する次の記述のうち、最も不適当なものはどれか。,かんかん森(東京都)は、各住戸の独立性を保ちつつ、居住者が共同で使用することができる居間や台所等を設置して、コモンミールや掃除等、生活の一部を共同化している、コレクティブハウスである。,SHARE yaraicho (東京都)は、道路に面する部分は巨大な半透明のテント膜で覆われ、内部は吹抜け空間を介して個室7室とコモンスペースが計画された、シェアハウスである。,泉北ニュータウン(大阪府)は、空き住戸を活用したサポート付き共同住宅や戸建て住宅を活用した多世代型シェアハウス等の試みが行われている、大規模なニュータウンである。,求道學舎(東京都)は、居住者が共同生活をすることに重点を置き、居間や浴室等のコモンスペースの充実を図った、テラスハウスである。,4
H29,計画,14,,大規模で高層の事務所ビルの防災計画に関する次の記述のうち、最も不適当なものはどれか。,非常用エレベーターの乗降ロビーは、消防隊が消火活動拠点として利用するため、その面積は、非常用エレベーター1台につき15m2以上と定められている。,エレベーター、階段等を含むコアの配置のうち片寄せタイプについては、一般に、避難上不利な点が多く、その採用に当たっては、シミュレーションや実験等により安全性を確認することが望ましい。,火災の拡大を防止するためには、出火の可能性が高いエリア(部分)に、防火上有効な区画を設けるとともに、初期消火設備の設置や不燃性のある建築材料を使用することが求められる。,屋上に緊急離着陸場を設けた場合、そのスペースは、在館者の救助に使用されるとともに消防隊の突入時にも利用される。,1
H29,計画,15,,災害に関連した建築物等の整備に関する次の記述のうち、最も不適当なものはどれか。,「指定緊急避難場所」としての施設は、災害が発生した場合、又は発生するおそれがある場合にその危険から逃れるための避難場所であり、洪水等に係るものについては、想定される洪水等の水位以上の高さに避難スペースを配置する必要がある。,「基幹災害拠点病院」には、病院機能を維持するために必要な全ての施設が地震等に対して安全な構造を有すること、敷地内にヘリポートを有すること等が求められている。,「応急仮設住宅」のうち「借上型仮設住宅」は、地方自治体が民間賃貸住宅を借り上げて供与することをいい、東日本大震災以降は「みなし仮設住宅」とも呼ばれているものである。,「応急仮設住宅」のうち「建設型仮設住宅」は、災害発生後に速やかに建設され、恒久的に供与されるものである。,4
H29,計画,16,,医療・福祉等の用語に関する次の記述のうち、最も不適当なものはどれか。,「介護老人保健施設」は、医療ケアを必要とする要介護者に対し、看護や医学的管理下における介護及び機能訓練等並びに日常生活上の世話を行うことにより、入所者が自立した日常生活を営むことや居宅における生活への復帰を目指す施設である。,「急性期リハビリテーション」は、疾患に応じ90日から180日をかけて身体の機能や日常生活動作(ADL)の改善を目指すことであり、専門リハビリテーション医療機能をもつ医療施設で行われている。,「放課後等デイサービス事業所」は、就学中の障がい児に対して、放課後や夏休み等の長期休暇中において、生活能力の向上のための訓練や支援等を継続的に提供するもので、指導訓練室や支援に必要な設備・備品等を備えることが求められている。,「日本版CCRC (Continuing Care Retirement Community)」は、大都市に在住する高齢者が健康な段階から地方へ移住し、地域活動に積極的に参加することをとおして、地域社会に溶け込み、多世代と交流・共働する居住が基本となっている。,2
H29,計画,17,,図書館(設計者等)に関する次の記述のうち、最も不適当なものはどれか。,ベルリン自由大学図書館(フォスター・アンド・パートナーズ)は、傾斜した巨大な円盤状の屋根構造をもち、外壁には世界各地・各時代の文字が彫り込まれている。,フランス国立図書館(ドミニク・ペロー)は、緑豊かな中庭をもつ口の字型の基壇部と、その四隅に配置されたL字型の高層タワーから構成されている。,シアトル中央図書館 (OMA)は、外観全体が格子状の鉄骨とガラスで構成され、室内空間に外光を導いている。,ストックホルム市立図書館(エーリック・グンナール・アスプルンド)は、円筒と直方体が組み合わされた外観をもち、巨大な円筒の内部には、壁に沿って書架があり、中央にサービスデスクが設けられている。,1
H29,計画,18,,工事監理等に関する次の記述のうち、最も不適当なものはどれか。,「工事監理」、「工事と設計図書との照合及び確認の結果報告等」及び「工事監理の結果報告」は、建築士法における、いわゆる「建築士の独占業務」に該当する。,工事監理の具体的で詳細な実施方法(工事と設計図書との照合及び確認の具体的な対象、方法や業務の範囲)は、建築士法では定められていない。,建築士事務所が行う監理業務には、一般に、「工事請負契約の目的物の引渡しの立会い」と「工事費支払いの審査」が含まれる。,工事監理を行う一級建築士は、所定の登録講習機関が実施する監理技術者講習を受講しなければならない。,4
H29,計画,19,図あり,図のような根切りについて、建築工事建築数量積算研究会「建築数量積算基準(平成23年版)」に照らして、「法付け工法における作業上のゆとり幅」と「山留め工法における余幅」との組合せとして、正しいものは、次のうちどれか。なお、図は略図とする。,0.1 m - 0.5 m,0.3 m - 0.5 m,0.5 m - 1.0 m,1.0 m - 1.0 m,3
H29,計画,20,,建築のマネジメントに関する次の記述のうち、最も不適当なものはどれか。,不動産分野におけるアセットマネジメントは、不動産の所有者や投資家を代行して、テナント対応や建築物の維持管理、運営までを含めた一連の不動産業務を行うことである。,デザインビルドは、建築物の企画から、設計、施工、維持管理までの業務について、コストや工期、品質情報等の全てのデータを統合した三次元モデルを活用して行う手法である。,BOTは、公共サービスに関わる建築物を民間が建設して一定期間運営し、期間満了後に行政に移管する仕組みのことである。,LCMは、建築物の機能や効用の維持・向上を、通常、建築物の企画から解体・廃棄処分まで、適切なコストのもとで管理・実行することをいい、LCCの低減を行うことが目的の一つである。,2
H29,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,色度は、色の明度と彩度の二つの属性を含めた知覚的評価の指標である。,音の回折は、音波の伝搬空間に障害物がある場合に、障害物の背後に音が回り込んで伝搬する現象であり、障害物の大きさよりも音の波長が大きいほど回り込みやすい。,壁体の定常伝熱は、壁体の両面の空気温度又は表面温度を長時間一定に保った後も、壁体内の各部の温度が時間の経過によって変化せず、熱流量が一定な場合の伝熱過程をいう。,建築物の壁面に沿った風の流れが、隅角部で建築物から離れる現象を、一般に、剝離流という。,1
H29,環境・設備,2,,室内の温熱・空気環境に関する次の記述のうち、最も不適当なものはどれか。,予測平均温冷感申告(PMV)は、主に均一な環境に対する温熱快適指標であることから、不均一な放射環境や上下温度分布が大きな環境等に対しては、適切に評価できない場合がある。,中央管理方式の空気調和設備を設ける居室においては、浮遊粉じんの量を概ね0.15mg/m3以下とする。,室内の酸素濃度が18%近くに低下した場合、人体に対しては生理的に大きな影響を与えにくいが、開放型燃焼器具の不完全燃焼をもたらすおそれがある。,平均放射温度(MRT)は、室温によらず、グローブ温度及び気流速度の計測値から概算で求められる。,4
H29,環境・設備,3,,換気に関する次の記述のうち、最も不適当なものはどれか。,容積の異なる二つの室において、それぞれの室内の二酸化炭素発生量及び換気回数が同じ場合、定常状態での室内の二酸化炭素濃度は、一般に、容積が大きい室より小さい室のほうが高くなる。,汚染物質が発生している室の必要換気量は、定常状態を想定した場合、室の容積によらず、その室の汚染物質の発生量、許容濃度及び外気中の汚染物質の濃度により求めることができる。,外気に面して上下に同じ大きさの二つの開口部がある室において、無風の条件で温度差換気を行う場合、換気量は、「内外温度差」及び「開口高さの差」に比例する。,手術室やクリーンルーム等のように、汚染空気が周囲から流入してはならない室においては、第二種機械換気又は室内の気圧を周囲よりも高くした第一種機械換気とする。,3
H29,環境・設備,4,図あり,図は、冬期において、定常状態にある外壁の内部及び周囲の温度分布を示したものである。次の記述のうち、最も不適当なものはどれか。ただし、図中の屋外温度to、室内温度ti及び材料の厚さdの条件は変わらないものとする。,材料(A)は、材料(B)より熱伝導率が大きい。,材料(A)の熱伝導率を大きくすると、材料(B)の各部分の温度が下がる。,材料(B)の熱伝導率を大きくすると、材料(A)の各部分の温度が上がる。,室内表面結露の防止には、材料(A)と材料(B)を入れ替えると効果的である。,4
H29,環境・設備,5,,火災時の煙制御に関する次の記述のうち、最も不適当なものはどれか。,自然排煙方式の排煙の効率は、給気経路によらず、排気を行う開口部の位置及び面積で決まる。,吸引型の機械排煙方式は、発生した煙を外部に排出するとともに、煙が発生した室を減圧することにより、他の空間への煙の拡散防止にも有効である。,高層建築物の階段室に対する加圧防煙システムは、階段室への煙の流入防止とともに、階段室における煙突効果による煙の拡散防止にも有効である。,第二種排煙は、押出型の機械排煙方式であり、所定の排煙量を確保するために、排煙量よりも多い給気量が必要となる。,1
H29,環境・設備,6,,北緯35度のある地点において、イ～ニに示す各面の終日日射量の大小関係として、最も適当なものは、次のうちどれか。ただし、終日快晴とし、日射を妨げる要素はないものとする。イ:夏至の日における南向き鉛直面 ロ:夏至の日における西向き鉛直面 ハ:冬至の日における南向き鉛直面 ニ:冬至の日における水平面,イ > ハ > ロ > ニ,ロ > イ > ハ > ニ,ハ > ロ > イ > ニ,ハ > ロ > ニ > イ,4
H29,環境・設備,7,,昼光・照明に関する次の記述のうち、最も不適当なものはどれか。,光束は、ある面を単位時間に通過する光の放射エネルギーの量を、視感度で補正した値である。,受照面が均等拡散面である場合の輝度は、照度と反射率の積に比例する。,長時間の精密な視作業のための基準昼光率は、2%である。,設計用全天空照度は、普通の日(標準の状態)の場合、15000lxを用いることが多い。,3
H29,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,減法混色は、色を吸収する媒体を混ぜ合わせて別の色を作ることをいい、混ぜ合わせを増やすごとに黒に近づく。,XYZ表色系における三原刺激X、Y、ZのうちのYは、光源色の場合、測光的な明るさを表している。,マンセル表色系における彩度は、0から10までの数値で表される。,日本工業規格(JIS)の「安全色 一般事項」において、「緑」は、「安全状態」及び「進行」を表している。,3
H29,環境・設備,9,,音響に関する次の記述のうち、最も不適当なものはどれか。,室内の平均吸音率が大きい場合、セイビン(Sabine)の残響式により求めた残響時間は、アイリング(Eyring)の残響式により求めたものに比べて、長くなる。,空気中を伝搬する音のエネルギーの一部は、空気の粘性や分子運動等によって吸収され、その吸収率は、周波数が低くなるほど大きくなる。,音源の音響パワーを4倍にすると、受音点の音圧レベルは、約6dB上がる。,無限大の面音源の場合、音圧レベルは、距離によって減衰しない。,2
H29,環境・設備,10,,吸音・遮音に関する次の記述のうち、最も不適当なものはどれか。,剛壁にグラスウール等の多孔質吸音材料を設置する場合、その吸音材料を厚くすると、一般に、低周波数域における吸音率が大きくなる。,ロックウールボード等の多孔質吸音材料の表面を塗装しても、高周波数域における吸音率には、ほとんど影響しない。,ガラス2枚からなる厚さの合計が6mmの合わせガラスの遮音性能は、コインシデンス効果の生じる周波数域以外の周波数域においては、厚さ6mmの単板ガラスの遮音性能とほとんど変わらない。,中空二重壁の共鳴透過について、中空二重壁を構成する二つの壁の面密度をともに2倍にすると、共振周波数は低くなる。,2
H29,環境・設備,11,,空気調和・換気設備に関する次の記述のうち、最も不適当なものはどれか。,換気ダクトにおいて、ダクトの曲がり部分や断面変化部分に生じる局部圧力損失は、風速の二乗に比例する。,軸流送風機は、一般に、遠心送風機に比べて、静圧の高い用途に用いられる。,並列に接続した2台の同一性能をもつ送風機から単一ダクトに送風する場合、2台を同時に運転するときの風量は、そのうち1台のみを運転するときの風量の2倍よりも小さくなる。,同じ風量用の外気取入れガラリと排気ガラリを比べると、排気ガラリのほうが、一般に、通過風速を高くできることから必要な正面面積は小さくなる。,2
H29,環境・設備,12,,空気調和設備の熱負荷計算に関する次の記述のうち、最も不適当なものはどれか。,熱負荷計算法には、一般に、定常計算法、非定常計算法等があり、計算の目的により使い分けられている。,設計用外界条件に用いられるTAC温度は、気象データを統計処理して得られた値であり、所定の超過確率を設定して、稀にみられる猛暑等の要因を取り除いたものである。,室内発熱負荷には、顕熱と潜熱があり、人体に起因する潜熱は、同一作業の場合、室温が高いほど小さくなる。,最大負荷計算において、照明、人体、器具等による室内発熱負荷については、冷房時は計算に含めるが、暖房時は計算に含めないことが多い。,3
H29,環境・設備,13,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,蓄熱方式は、熱源装置の負荷のピークを平準化しその容量を小さくすることができる。,河川水や井戸水を熱源とする水熱源ヒートポンプは、一般に、熱源水の温度が冷房時には外気温度よりも低く、暖房時には外気温度よりも高いことから、空気熱源ヒートポンプより成績係数(COP)が高い。,省エネルギー性能が高い冷凍機の選定に当たっては、定格条件の成績係数(COP)とともに、年間で発生頻度が高い部分負荷時の成績係数(COP)も考慮する必要がある。,冷却水を直接大気に開放しない密閉式冷却塔は、同じ冷却能力の開放式冷却塔に比べて、送風機動力が小さくなる。,4
H29,環境・設備,14,,給排水衛生設備に関する次の記述のうち、最も不適当なものはどれか。,排水再利用水の原水としては、手洗器・洗面器や湯沸室からの排水のほかに、厨房からの排水も利用することができる。,利用頻度が低い衛生器具には、器具付きのトラップの下流の配管の途中に、Uトラップを設けることが望ましい。,分流式排水は、建築物内の排水設備においては「汚水」と「雑排水」とを別系統にすることをいい、公共下水道においては「汚水及び雑排水」と「雨水」とを別系統にすることをいう。,公共下水道が合流式の地域において、雨水排水管を一般排水系統の敷地排水管と接続する場合には、トラップますを介して接続する。,2
H29,環境・設備,15,,給排水衛生設備に関する次の記述のうち、最も不適当なものはどれか。,作動しているポンプ内のキャビテーションは、水温が一定の場合、ポンプ吸込口の管内圧力が高いときに発生しやすい。,高置水槽方式の給水設備において、揚水管の横引きが長くなる場合は、ウォーターハンマーの発生原因となる水柱分離を防止するために、建築物のできるだけ低い位置で横引き配管を長くする。,給水設備において、上水系統と雑用水系統とを別系統とすることにより、雑用水系統の受水槽は、鉄筋コンクリート造の床下ピットを利用することができる。,上水系統の受水槽の水抜き管とオーバーフロー管は、いずれも十分な排水口空間を介して排水管等への間接排水とする。,1
H29,環境・設備,16,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,鉄骨造の建築物においては、雷保護システムの引下げ導線に、地上部分の構造体の鉄骨を利用することが望ましい。,接地には、外部雷保護用接地、電位上昇による感電等を防ぐ保安用接地、電位変動による電子機器の機能障害を防ぐ機能用接地等がある。,接地工事の接地線には、過電流遮断器を施設してはならない。,埋設接地極は、酸等で腐食するおそれがなく、水気の少ない場所を選定して地中に埋設することが望ましい。,4
H29,環境・設備,17,,照明設備に関する次の記述のうち、最も不適当なものはどれか。,蛍光ランプやLEDの光色において、昼白色は、電球色に比べて相関色温度が低い。,グレアは、視野内に輝度の高い光源や極端な輝度対比があることにより生じる現象をいう。,アンビエント照明の設計においては、空間の明るさを確保しつつ省エネルギーを図るために、輝度分布を考慮することが望ましい。,初期照度補正は、経年に伴う光源の出力低下等を考慮した、照明の省エネルギー手法の一つである。,1
H29,環境・設備,18,,防災設備に関する次の記述のうち、最も不適当なものはどれか。,スプリンクラー設備の設置が必要なホテルにおいて、床面から天井までの高さが12mのロビーに、放水型ヘッドを使用したスプリンクラー設備を設置した。,スプリンクラー設備の設置が必要な店舗において、スプリンクラーヘッドが設けられていない部分に、補助散水栓をホース接続口からの水平距離が25m以内となるように設置した。,特別避難階段の付室に、所定の機械排煙設備を設置した。,劇場の客席誘導灯を、客席内の通路の床面における水平面照度が、0.2lx以上となるように設置した。,2
H29,環境・設備,19,,エレベーターに関する次の記述のうち、最も不適当なものはどれか。,貸事務所ビルの乗用エレベーターのサービス水準については、エレベーターが2台以上ある場合、平均運転間隔を40秒以下となるように計画することが望ましい。,事務所ビルの乗用エレベーターについては、一般に、出勤時のピーク5分間に発生する交通量に基づき、台数及び仕様を計画する。,エレベーターの設計用水平標準震度は、基礎免震構造を採用しない建築物の場合、建築物の高さが60mを超えると、高さ60m以下の場合に比べて、大きく異なった値となる。,高層建築物の乗用エレベーターは、地震時にできるだけ早く安全な避難階に停止させ、乗客がかごから降りた後に、運転を中止する計画とする。,4
H29,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,「ZEH (Net Zero Energy House)」は、快適な室内環境を保ちながら、一年間で消費する住宅の一次エネルギー消費量の収支がゼロとなることを目指した住宅のことをいう。,「CASBEE-建築(新築)」における評価は、「設計一次エネルギー消費量」を「基準一次エネルギー消費量」で除した数値で判定される。,「BELS(建築物省エネルギー性能表示制度)」は、第三者評価機関が建築物の省エネルギー性能を評価し認証する制度で、性能に応じて5段階の星の数等で表示される。,「eマーク(省エネ基準適合認定マーク)」は、建築物が建築物エネルギー消費性能基準に適合していることについて、所管行政庁から認定を受けたことを示すものである。,2
H29,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,「液化石油ガスの保安の確保及び取引の適正化に関する法律第38条の2の規定」並びにこの規定に基づく命令及び条例の規定で建築物の敷地、構造又は建築設備に係るものは、「建築基準関係規定」である。,防火戸であって、これに通常の火災による火熱が加えられた場合に、加熱開始後45分間当該加熱面以外の面に火炎を出さないものとして、国土交通大臣が定めた構造方法を用いるものは、「特定防火設備」である。,同一敷地内に二つの地上2階建ての建築物(延べ面積はそれぞれ400m2及び200m2とし、いずれも耐火構造の壁等はないものとする。)を新築する場合において、当該建築物相互の外壁間の距離を5mとする場合は、二つの建築物は「延焼のおそれのある部分」を有している。,スポーツの練習場の用途に供する建築物は、非常用の照明装置の設置に関する規定における「学校等」に含まれる。,2
H29,法規,2,,面積、高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,容積率の算定に当たって、建築物の敷地内に都市計画において定められた計画道路がある場合において、特定行政庁が交通上、安全上、防火上及び衛生上支障がないと認めて許可した建築物については、当該敷地のうち計画道路に係る部分の面積は、敷地面積又は敷地の部分の面積に算入する。,避雷設備の設置の必要性を検討するに当たっての建築物の高さの算定において、建築物の屋上部分である昇降機塔で、その水平投影面積の合計が当該建築物の建築面積の1/8以内の場合であっても、その部分の高さは、当該建築物の高さに算入する。,日影による中高層の建築物の高さの制限の緩和の規定において、建築物の敷地が幅12mの道路に接する場合、当該道路に接する敷地境界線については、原則として、当該道路の反対側の境界線から当該敷地の側に水平距離5mの線を敷地境界線とみなす。,建築物の地階(倉庫及び機械室の用途に供する。)で、水平投影面積の合計が当該建築物の建築面積の1/8以下であるものは、当該建築物の階数に算入しない。,1
H29,法規,3,,防火地域内における次の行為のうち、建築基準法上、確認済証の交付を受ける必要がないものはどれか。ただし、建築物の建築等に関する確認済証の交付を受ける必要がない区域の指定はないものとする。,木造、延べ面積100m2、地上2階建ての一戸建ての住宅における、床面積10m2の増築,鉄骨造、延べ面積300m2、平家建ての、特定行政庁が安全上、防火上及び衛生上支障がないと認め、その建築を許可した仮設興行場の新築,鉄骨造、延べ面積400m2、平家建ての、鉄道のプラットホームの上家の新築,鉄筋コンクリート造、延べ面積500m2、地上2階建ての劇場の、大規模の修繕又は大規模の模様替を伴わない公会堂への用途の変更,3
H29,法規,4,,次の記述のうち、建築基準法上、誤っているものはどれか。,建築主は、高さが60mを超える建築物を建築しようとする場合において、申請書を提出して都道府県知事又は指定構造計算適合性判定機関の構造計算適合性判定を受ける必要はない。,鉄筋コンクリート造、地上3階建ての共同住宅の用途に供する建築物である認証型式部材等で、その新築の工事が一級建築士である工事監理者によって設計図書のとおり実施されたことが確認されたものは、中間検査において、その認証に係る型式に適合するものとみなされる。,建築主は、確認済証の交付を受けた建築物について、当該建築物の建築設備の材料、位置又は能力の変更(性能が低下しない材料の変更及び能力が減少しない変更とする。)をして、当該建築物を建築しようとする場合においては、変更後も建築物の計画が建築基準関係規定に適合することが明らかなものであっても、あらためて、確認済証の交付を受けなければならない。,確認済証の交付を受けた建築物の新築の工事の施工者は、当該工事現場の見易い場所に、建築主、設計者、工事施工者及び工事の現場管理者の氏名又は名称並びに当該工事に係る建築主事又は指定確認検査機関の確認があった旨の表示をしなければならない。,3
H29,法規,5,,次の記述のうち、建築基準法上、誤っているものはどれか。,居室の内装の仕上げに第二種ホルムアルデヒド発散建築材料を使用するときは、原則として、当該材料を使用する内装の仕上げの部分の面積に所定の数値を乗じて得た面積については、当該居室の床面積を超えないようにしなければならない。,住宅の居室で地階に設けるものは、所定の基準によりからぼりに面する一定の開口部を設けた場合、壁及び床の防湿の措置等衛生のための換気設備は設けなくてもよい。,中学校における床面積70m2の教室には、採光のための窓その他の開口部を設け、その採光に有効な部分の面積は、原則として、14m2以上としなければならない。,集会場における客用の階段に代わる高さ1.5m、勾配1/8の傾斜路で、その幅が3mの場合においては、中間に手すりを設けなければならない。,4
