年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和2年,計画,11,,歴史的資産を活かしたまちづくりに関する次の記述のうち、最も不適当なものはどれか。,青森県黒石市では、中町の「こみせ」と呼ばれる降雪や日差しを避けて通れるようにした木造の軒下の歩廊が続く町並みを、伝統的建造物群保存地区に指定し、保存に取り組んでいる。,静岡県掛川市では、「生涯学習都市宣言」を行い、その一環として官民が協力し、地区計画を定めて掛川城の城下町としての歴史を活かした城下町風まちづくりを推進している。,岡山県倉敷市では、本瓦葺塗屋造りの町屋、土蔵造りの蔵、白漆喰になまこ塀が建ち並ぶ倉敷川畔を「美観地区」とし、景観の保全を図っている。,鹿児島県南九州市の知覧では、「パタン・ランゲージ」に範をとったまちづくり規範により、明治時代の大火からの復興によって形成された、蔵造りの歴史的町並み景観の保全が実践されている。,4
令和2年,計画,12,,集合住宅・住宅団地の計画に関する次の記述のうち、最も不適当なものはどれか。,同潤会江戸川アパート(東京都、1934年)は、社交室、共同浴場、食堂、洗濯場等の付帯施設を有する集合住宅として計画された。,コモンシティ星田A2(大阪府、1992年)は、敷地内の緩斜面を活かした緑道の配置や、塀・門を極力設けない外構計画等により、連続した開放的な外部空間を創り出した戸建ての住宅団地として計画された。,幕張ベイタウンパティオス4番街(千葉県、1995年)は、高層板状住棟による高密度な賃貸集合住宅であり、住戸には、仕事場等として使用できる開放的なチールーム(ホワイエルーム)が設けられ、中廊下やコモンテラスと連続して計画された。,釜石・平田地区仮設住宅団地(岩手県、2011年)は、東日本大震災の復興支援の一環として建設されたコミュニティケア型仮設住宅団地であり、診療所付きのサポートセンターや仮設店舗が計画された。,3
令和2年,計画,13,,集合住宅・住宅団地の改修の計画に関する次の記述のうち、最も不適当なものはどれか。,北側に階段室をもつ階段室型の5階建て集合住宅において、バリアフリー改修のため、北側に廊下棟を増築し、ここに着床するエレベーターを設置するとともに増築した廊下に面して各住戸の新しい玄関を設置した。,既存の集合住宅をサービス付き高齢者向け住宅とするため、バリアフリー改修を施し、各住戸専用部分の床面積が25m?以上となるようにした。,分譲集合住宅の共用部分において、形状の著しい変更を伴わない大規模修繕工事について、区分所有者数及び議決権の各過半数の決議を経て行うこととした。,住宅団地内の道路の改修において、歩車共存を目的として、車の通行部分を蛇行させスピードを落とさせるラドバーン方式を採用した。,4
令和2年,計画,14,,事務所ビルに関する次の記述のうち、最も不適当なものはどれか。,ジョンソン・ワックス・ビル(アメリカ、1936年)の2層吹抜けの執務スペースでは、天井付近が広がった樹木状の柱や柱頭まわりの天窓、ハイサイドライトによって、内部に自然を再現している。,フォード財団本部ビル(アメリカ、1967年)は、ビル内部に豊かな植栽が施されたアトリウムをもち、各フロアの執務スペースはアトリウムをL字型に囲むように配置されている。,丸の内ビルディング(東京都、2002年)の高層階のオフィスゾーンは、中央にアトリウムを設け、事務室沿いの廊下をアトリウムに面して配置しており、その廊下から建築物のどこの位置に自分がいるのかを把握することができる。,ROKI Global Innovation Center(静岡県、2013年)は、執務スペースが階段状に積層する立体的なワンルーム空間に、ガラスをはめこんだ木と鉄のハイブリッドトラスの屋根をかけ、自然光を通すフィルターを使用した天幕を設けている。,3
令和2年,計画,15,,図書館等に関する次の記述のうち、最も不適当なものはどれか。,金沢市立玉川図書館(石川県、1979年)は、東側の開架部門と、中庭を挟んで西側にある学習・管理部門を分けることによって、開架部門を気軽に立ち寄り利用できる空間とした図書館である。,朝霞市立図書館本館(埼玉県、1987年)は、成人開架と児童開架をL字型平面に振り分け、自習室を設けず、閲覧席を少数にするなど、貸出を重視した図書館である。,苅田町立図書館本館(福岡県、1990年)は、多様な閲覧席と豊富な資料を備え、開架書架群に沿ってベンチ、和室、屋外読書スペースなどを設けることで、来館者が長い時間を過ごせるように計画した図書館である。,ぎふメディアコスモス(岐阜県、2015年)は、木造格子屋根をもつ市立中央図書館や、市民活動交流センター、多文化交流プラザ及び展示ギャラリー等からなる複合施設である。,2
令和2年,計画,16,,医療施設等に関する次の記述のうち、最も不適当なものはどれか。,病棟の患者用トイレの計画においては、トイレを分散して配置するなど、病室とトイレの距離を短くする工夫が必要である。,LDRとは、陣痛・分娩・回復と出産の過程に応じてそれぞれに必要な設備が整った専用の部屋を設ける方式である。,4床病室の計画において、隣り合うベッドとベッドとの間に幅1m以上のスペースを確保するためには、病室面積は32m?以上が目安となる。,回復期リハビリテーションは、疾患に応じ90日から180日をかけて身体の機能や日常生活動作(ADL)の改善を図ることを目的としている。,2
令和2年,計画,17,,子どもに関わる施設に関する次の記述のうち、最も不適当なものはどれか。,幼稚園と保育所の施設を共用化した認定こども園において、遊戯室、調理室、管理諸室、屋外環境等は幼稚園と保育所の共用の空間として計画した。,総合病院における小児患者のための病床は、疾病ごとの特徴に対し的確に対応できるように、診療科ごとにそれぞれ設けた。,放課後等デイサービス事業所において、屋外遊びを豊かにするために、学校と連携して校庭等を有効に活用した。,義務教育学校(小中一貫校)の特別支援学級関係室においては、9年間の系統性・連続性のある教育活動や一貫した支援を効果的に行えるように、小学校と中学校の配置や室構成を計画した。,2
令和2年,計画,18,,建築関係の資格者に関する次の記述のうち、最も不適当なものはどれか。,二級建築士事務所を管理する二級建築士が、一級建築士事務所の管理建築士となるには、一級建築士の免許を取得後、3年以上の建築物の設計、工事監理等に関する業務に従事する必要がある。,一級建築士事務所において、建築士法で定める重要事項の説明については、管理建築士のほか当該一級建築士事務所に属する一級建築士も行うことができる。,監理技術者は、工事現場における建設工事を適正に実施するため、当該建設工事の施工計画の作成、工程管理、品質管理等を行うとともに当該建設工事の施工に従事する者の技術上の指導監督の職務を誠実に行う必要がある。,施工管理技士は、施工技術の向上を図るため、建設業者の施工する建設工事に従事し又はしようとする者を対象として行う技術検定に合格した者である。,1
令和2年,計画,19,,建築積算に関する次の記述のうち、建築工事建築数量積算研究会「建築数量積算基準」に照らして、最も不適当なものはどれか。,屋外施設において、芝類の数量は種類及び工法ごとに面積を計測・計算するが、芝類の範囲にある排水桝等の面積が1箇所当たり0.5m?以下のときは、その欠除は、原則としてないものとする。,窓、出入口等の開口部による型枠の欠除は、原則として建具類等の開口部の内法寸法で計算するが、開口部の内法の見付面積が1箇所当たり0.5m?以下の場合は、原則として型枠の欠除はないものとする。,鉄筋の所要数量は、その設計数量の5%割増しを標準とする。,耐火被覆は、耐火被覆材の材種、材質、形状、寸法、工法、耐火時間及び部位(柱、梁)ごとに区分して計測・計算する。,3
令和2年,計画,20,,建築プロジェクトのマネジメント等に関する次の記述のうち、最も不適当なものはどれか。,建設工事において、コンカレントエンジニアリングとは、設計から施工までの工程にかかわる全ての部門の人材が集まり、工程をオーバーラップさせて諸問題を討議しながら作業を進めていく方式である。,PFI事業において、VFMとは、重要な概念の一つで、支払いに対して最も価値の高いサービスを供給するという考え方のことである。,公共事業において、BTO方式とは、民間事業者が資金調達を行って施設を建設し、完成直後に公共に所有権を移転し、当該民間事業者に一定期間、維持管理及び運営を委ねる方式である。,国土交通省が示す設計者選定方式において、プロポーザル方式とは、提出された具体的な設計案を審査し、最も優れた設計案を選ぶ方式である。,4
令和2年,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,PMVは、室内における人の温熱感覚に関係する、気温、放射温度、相対湿度、気流速度、人体の代謝量及び着衣量を考慮した温熱環境指標である。,色温度は、光源の光色を、それと近似する色度の光を放つ黒体の絶対温度で表したものである。,音響エネルギー密度レベルは、音のもつ単位体積当たりの力学的エネルギー量を、デシベル表示したものである。,実効放射(夜間放射)は、地表における長波長放射収支であり、日中を除く夜間の「大気放射と地表面放射との差」のことである。,4
令和2年,環境・設備,2,,外壁の熱貫流率に関する次の記述のうち、最も不適当なものはどれか。,外壁の熱貫流率は、外壁と屋根や床等との取合い部における熱伝導を考慮しない場合、一般に、構造体の室内側で断熱するよりも室外側で断熱するほうが小さくなる。,外壁を構成する各部材の熱伝導抵抗が大きくなると、一般に、熱貫流率は小さくなる。,外壁表面の放射率が大きくなると、一般に、熱貫流率は大きくなる。,屋外の風速が大きくなると、一般に、熱貫流率は大きくなる。,1
令和2年,環境・設備,3,,室内の湿り空気に関する次の記述のうち、最も不適当なものはどれか。ただし、対象とする湿り空気は1気圧とし、また、室内は無風状態とする。,相対湿度が同一でも、乾球温度が異なれば、空気1m?中に含まれる水蒸気量は異なる。,乾球温度が一定の場合、相対湿度が低くなるほど露点温度は低くなる。,乾球温度と湿球温度が与えられれば、その空気の相対湿度及び水蒸気分圧を求めることができる。,相対湿度を一定に保ったまま乾球温度を上昇させるには、加熱と除湿を同時に行う必要がある。,4
令和2年,環境・設備,4,図あり,図-1のA~Dに示すような熱性能(熱容量と断熱性能)を有する建築物について、室内空間の暖房開始前から暖房停止後までの室温変動を、図-2のイ?ニとして模式的に示している。A~Dとイ?ニとの組合せとして、最も適当なものは、次のうちどれか。ただし、A~Dの室形状・暖房時間・発熱量は同一であり、AとC、BとDの断熱性能は同一であるものとする。,"A:ハ, B:ロ, C:ニ, D:イ","A:ハ, C:イ, B:ニ, D:ロ","A:ニ, B:イ, C:ハ, D:ロ","A:ニ, B:ロ, C:ハ, D:イ",2
令和2年,環境・設備,5,,建築物における防火・防災に関する次の記述のうち、最も不適当なものはどれか。,安全区画を自然排煙とする場合、避難方向と同一の方向に排煙口を設けることが望ましい。,大規模店舗の売場内に防火区画(面積区画)を設ける場合の階段配置について、防火区画された売場ごとの避難時間と避難扉幅当たりの避難者人数が概ね均等になるように計画することが望ましい。,自然排煙の排煙量は、煙層の温度と厚さに依存し、煙層の温度が低いときや天井高が低いときにおいては排煙効果が小さい。,病院等で採用される水平避難方式は、階段での自力避難が困難な者などを出火したエリアから隣接する防火区画されたエリアへ移動させ、避難時間の余裕を生み出したうえで、介助避難させる方法である。,1
令和2年,環境・設備,6,,日照・日射・採光に関する次の記述のうち、最も不適当なものはどれか。,"昼光により室内の最低照度を確保するための設計用全天空照度には、一般に、暗い日の値である5,000lxが用いられる。",頂側窓は、高所において鉛直や鉛直に近い向きで設置される窓をいい、特に北側採光に用いると安定した光環境を得ることができる。,昼光率は、窓外に見える建築物や樹木の有無にかかわらず、室中央では一定の値となる。,水平面天空日射量は、大気透過率が大きいほど、小さくなる。,3
令和2年,環境・設備,7,,照明に関する次の記述のうち、最も不適当なものはどれか。,反射面の光束発散度は、その面の輝度に反射率を乗じたものである。,白い背景のもとで黒い文字を読むような場合、対象と背景の輝度の対比が大きいほど視力が上がる。,光束は、単位時間当たりに流れる可視光範囲の放射エネルギーの量に比視感度の重みづけを行った値である。,一般に、照度均斉度が大きい視作業面ほど、照度分布が均一に近いものとなる。,1
令和2年,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,ジャッド(D. B. Judd)がまとめた色彩調和の秩序性の原理によると、色相環における等間隔配色は調和する。,明所視において、ある面からの放射エネルギーが同じ場合、緑色に比べて赤色のほうが光の強さを強く感じられる。,色光の加法混色においては、混ぜ合わせる光を増やすほど、白色に近くなる。,マンセル表色系におけるバリュー(明度)は、0から10までの数値で表される。,2
令和2年,環境・設備,9,,音響に関する次の記述のうち、最も不適当なものはどれか。,拡散性の高い室に音響パワーが一定の音源がある場合、室の平均吸音率が2倍になると、室内平均音圧レベルは約3dB減少する。,自由音場において、無指向性点音源から25m離れた位置における音圧レベルの値が約70dBの場合、100m離れた位置における音圧レベルは約58dBになる。,セイビン(Sabine)の残響式による残響時間は、室容積に比例し、室の等価吸音面積に反比例する。,屋外において、遠方の音源から伝搬する音の強さは、空気の音響吸収によって、低周波数域の音ほど減衰する。,4
令和2年,環境・設備,10,,吸音・遮音に関する次の記述のうち、最も不適当なものはどれか。,剛壁に密着させて設置する多孔質吸音材料を厚くすると、一般に、低周波数域における吸音率が上昇する。,孔あき板を用いた吸音構造においては、孔と背後空気層とが共鳴器として機能することによって吸音する。,単層壁の音響透過損失の値は、質量則を用いた予測値よりも、実測値のほうが大きくなる傾向がある。,多孔質吸音材料においては、その表面を通気性の低い材料によって被覆すると、高周波数域の吸音率が低下する。,3
令和2年,環境・設備,11,,COP(成績係数)等、空気調和設備に使用される熱源のエネルギー効率に関する次の記述のうち、最も不適当なものはどれか。,井水を熱源水とする水熱源ヒートポンプは、一般に、熱源水の温度が冷房時には外気温度よりも低く、暖房時には外気温度よりも高いので、空気熱源ヒートポンプに比べてCOPが高い。,省エネルギー性能が高い冷凍機の選定に当たっては、定格条件のCOPとともに、年間で発生頻度が高い部分負荷運転時のCOPも考慮する。,水蓄熱槽の採用は、一般に、熱源を全負荷運転することによる高効率運転に加えて、冷水ポンプや冷却水に係る熱源補機も含めた熱源システムのエネルギー効率を高めることができる。,遠心冷凍機の冷水出口温度を高く設定すると、COPは低くなる。,4
令和2年,環境・設備,12,,空気調和・換気設備に関する次の記述のうち、最も不適当なものはどれか。,ナイトパージは、夜間に外気導入を行い、翌日の空調立上げ負荷を減らす省エネルギー手法で、一般に、昼間の外気冷房よりも低い外気温度まで利用できる。,冷却塔フリークーリングは、冷却塔ファンを動かすことなく、冷凍機の冷却水を冷やす省エネルギー手法である。,デシカント空調は、コージェネレーションシステムに組み合わせることで排熱が利用可能となり、コージェネレーションシステムの総合効率の向上に寄与することができる。,放射暖房方式は、放射パネルが高い放射率をもつ必要があり、反射率の高い受照面には十分な効果を及ぼすことができない。,2
令和2年,環境・設備,13,,換気設備等に関する次の記述のうち、最も不適当なものはどれか。,営業用厨房の換気計画において、一般に、排気量は給気量に比べてやや大きくする。,ディスプレイスメント・ベンチレーション(置換換気)は、工場等において、汚染物質が周囲空気より高温又は軽量な場合に有効である。,屋内駐車場の換気方式においては、一般に、周辺諸室への排気ガスの流出を防ぐために、第二種機械換気方式を採用する。,空調機の外気取入れに全熱交換器を使用することにより、一般に、熱源装置の容量を小さくすることができる。,3
令和2年,環境・設備,14,,上水のみ供給される建築物の給水設備について、1日当たりの給水量の算定に関する次の記述のうち、最も不適当なものはどれか。ただし、空調用及びプール等の特別な用途に使用される給水は考慮しないものとする。,集合住宅において、居住者1人当たり250L/日とした。,社員食堂のない事務所ビルにおいて、在勤者1人当たり60L/日とした。,客室主体のホテルにおいて、ベッド1台当たり500L/日とした。,総合病院において、ベッド1台当たり300L/日とした。,4
令和2年,環境・設備,15,,排水通気設備の通気方式に関する次の記述のうち、最も不適当なものはどれか。,各個通気方式は、各衛生器具のトラップごとに取り出した通気管を通気横枝管に接続し、その端部を通気立て管等に接続する方式であり、自己サイホン作用の防止に有効である。,ループ通気方式は、2個以上のトラップを保護するために用いられる方式であり、ループ通気管を排水横枝管に接続される最高位の衛生器具のあふれ縁よりも高く立ち上げて、通気立て管にその端部を接続する。,伸頂通気方式は、通気立て管を設けず、排水立て管の頂上に設置した伸頂通気管を用いて通気を行う方式であり、一般に、各個通気方式やループ通気方式に比べて許容流量値が大きい。,通気弁方式は、通気管端部に通気弁を設置する方式であり、通気弁は、通気管内が負圧になると弁が開いて空気を吸引し、排水負荷がないときや通気管内が正圧になるときは弁が閉じる機構を有している。,3
令和2年,環境・設備,16,,"電気設備に関する以下のA~Cの電気方式について、電圧降下(電線に電流が流れると損失が発生し、受電端の電圧が送電端の電圧よりも低くなること)の大きさの大小関係として、正しいものは、次のうちどれか。ただし、負荷電流、こう長(電線上の2点間の長さ)及び電線の断面積は同じとし、いずれも200V配電とする。A:単相2線式, B:単相3線式, C:三相3線式",A > B > C,A > C > B,C > A > B,C > B > A,2
令和2年,環境・設備,17,,再生可能エネルギーに関する次の記述のうち、最も不適当なものはどれか。,太陽光発電システムの構成要素の一つであるパワーコンディショナには、インバータ、系統連系保護装置、制御装置等が組み込まれている。,太陽光発電システムに使用される配線は、アレイ(モジュール)からパワーコンディショナまでの交流配線とパワーコンディショナから配電盤までの直流配線とがある。,風力発電に用いられる風車は、一般に、水平軸風車(回転軸が地面に対して水平な風車)と垂直軸風車(回転軸が地面に対して垂直な風車)に分類することができ、垂直軸風車は小型風車での採用例が多い。,風力発電の系統連系において、DC(直流)リンク方式は、AC(交流)リンク方式に比べて出力変動の影響を受けにくく、安定供給が可能な電力として系統に連系できる。,2
令和2年,環境・設備,18,,消防用設備等に関する次の記述のうち、最も不適当なものはどれか。,屋内消火栓設備において、1号消火栓については、階ごとに、その階の各部分から消火栓のホース接続口までの水平距離が25m以下となるように設置した。,スプリンクラー設備において、スプリンクラーヘッドが設けられていない部分に設ける補助散水栓については、階ごとに、その階の各部分からホース接続口までの水平距離が15m以下となるように設置した。,屋外消火栓設備については、建築物の各部分から屋外消火栓のホース接続口までの水平距離が50m以下となるように設置した。,事務所ビルの連結送水管の放水口については、3階以上の階ごとに、その階の各部分から水平距離が50m以下となるように設置した。,3
令和2年,環境・設備,19,,建築設備に関する次の記述のうち、最も不適当なものはどれか。,一般的な事務所ビルの執務空間における天井放射冷房は、潜熱処理を主な目的として用いられる。,一部のコージェネレーションシステムでは、常用発電設備と消防法や建築基準法で定める非常用発電設備との兼用が可能な機種があり、スペースの有効利用やメンテナンスコストの削減等に効果がある。,常用エレベーターは、利用者の人命確保と閉込めの回避を最優先するために、一般に、災害時における利用は想定されていない。,非常用エレベーターを複数台設置する必要がある場合は、避難上及び消火上、有効な間隔を保って配置する。,1
令和2年,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,建築物の「eマーク(省エネ基準適合認定マーク)」は、建築物が建築物の省エネルギー基準に適合していることについて、所管行政庁から認定を受けたことを示すものである。,LEED (Leadership in Energy & Environmental Design)は、建築物や敷地等に関する環境性能評価システムの一つであり、取得したポイントの合計によって4段階の認証レベルが決まる。,建築物の省エネルギー基準における年間熱負荷係数(PAL*: パルスター)は、その値が小さいほど建築物の外皮の熱性能が高いと判断される。,一般的な事務所ビルのライフサイクルCO2においては、「運用段階のCO2排出量の占める割合」より「設計・建設段階及び廃棄段階のCO2排出量の占める割合」のほうが大きい。,4
令和2年,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,港湾法第40条第1項及び特定都市河川浸水被害対策法第8条の規定並びにこれらの規定に基づく命令及び条例の規定で建築物の敷地、構造又は建築設備に係るものは、「建築基準関係規定」に該当する。,防火戸であって、これに通常の火災による火熱が加えられた場合に、加熱開始後1時間当該加熱面以外の面に火炎を出さないものとして、国土交通大臣の認定を受けたものは、「特定防火設備」に該当する。,耐火建築物における外壁以外の主要構造部にあっては、「耐火構造」又は「当該建築物の周囲において発生する通常の火災による火熱に当該火災が終了するまで耐えるものとして、所定の技術的基準に適合する構造」のいずれかに該当するものでなければならない。,建築物の自重、積載荷重等を支える最下階の床版は、「構造耐力上主要な部分」に該当する。,3
令和2年,法規,2,,面積、高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,物品販売業を営む店舗の用途に供する建築物の屋上部分に設ける階段室の水平投影面積の合計が、当該建築物の建築面積の1/8以下であっても、当該階段室の床面積は、当該建築物の延べ面積に算入する。,日影による中高層の建築物の高さの制限に関する規定において、建築物の軒の高さを算定する場合の地盤面は、建築物が周囲の地面と接する位置の高低差が3mを超える場合においては、その高低差3m以内ごとの平均の高さにおける水平面とする。,隣地との関係についての建築物の各部分の高さの制限の緩和の規定において、建築物の敷地の地盤面が隣地の地盤面より1m以上低い場合においては、その建築物の敷地の地盤面は、当該高低差の1/2だけ高い位置にあるものとみなす。,建築物の一部が吹抜きとなっている場合、建築物の敷地が斜面又は段地である場合その他建築物の部分によって階数を異にする場合においては、これらの階数のうち最大なものを、当該建築物の階数とする。,3
令和2年,法規,3,,都市計画区域内における次の行為のうち、建築基準法上、確認済証の交付を受ける必要がないものはどれか。ただし、建築等に関する確認済証の交付を受ける必要がない区域の指定はないものとする。,鉄骨造、延べ面積300m?、地上3階建ての既存の寄宿舎内におけるエレベーターの設置,"第一種低層住居専用地域内における鉄筋コンクリート造、延べ面積2,000m?、地上2階建ての博物館の図書館への用途変更",遊園地に設ける回転運動をする遊戯施設のうち、原動機を使用するメリーゴーラウンドの築造,木造、延べ面積150m?、高さ8m、平家建ての集会場の屋根の大規模の修繕,4
令和2年,法規,4,,次の記述のうち、建築基準法上、誤っているものはどれか。,"既存の地上3階建ての物品販売業を営む店舗(3階における当該用途に供する部分の床面積の合計が2,000m?のもの)において、屋外への出口の戸に用いるガラスの取替えの工事の施工中に当該建築物を使用する場合は、当該建築主は、工事の施工中における建築物の安全上、防火上又は避難上の措置に関する計画を作成して特定行政庁に届け出る必要はない。",延べ面積150m?、地上3階建ての事務所に設けるエレベーター(国等の建築物に設けるものを除く。)の所有者(所有者と管理者が異なる場合においては、管理者。)は、当該エレベーターについて、定期に、一級建築士等に検査をさせて、その結果を特定行政庁に報告しなければならない。,建築主は、確認済証の交付を受けた建築物について、当該建築物の高さが減少する場合における建築物の高さの変更(建築物の高さの最低限度が定められている区域内の建築物に係るものを除く。)をして、当該建築物を建築しようとする場合において、変更後も建築物の計画が建築基準関係規定に適合することが明らかなものは、あらためて、確認済証の交付を受ける必要はない。,建築主は、鉄骨造、延べ面積200m?、平家建ての飲食店を新築する場合においては、検査済証の交付を受けた後でなければ、建築物を使用してはならない。,4
令和2年,法規,5,図あり,地上2階建ての事務所(2階の居室の床面積の合計が300m?)に屋内階段(直階段)を設ける場合、図のLの値として、建築基準法に適合する最小のものは、次のうちどれか。,4.80 m,5.76 m,6.00 m,6.24 m,2
