年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和6年,計画,11,,都市計画やまちづくりに関する用語の説明として、最も不適当なものは、次のうちどれか。,区域区分(線引き)は、都市計画区域について、無秩序な市街化を防止し、計画的な市街化を図るため必要があるときに定める、市街化区域と市街化調整区域との区分のことである。,まちづくり三法は、「改正都市計画法」、「中心市街地における市街地の整備改善と商業等の活性化の一体的推進に関する法律」、「大規模小売店舗立地法」の総称である。,連担建築物設計制度は、複数敷地により構成される一団の土地の区域内において、既存建築物の存在を前提とした合理的な設計をする場合には、複数建築物が同一敷地内にあるものとみなして、建築規制を適用する制度である。,風致地区は、「地域における歴史的風致の維持及び向上に関する法律(歴史まちづくり法)」に基づき、都市の風致を維持するために定められた地区である。,4
令和6年,計画,12,,住宅の作品名(設計者)とその特徴に関する次の記述のうち、最も不適当なものはどれか。,まつかわぼっくす(宮脇檀)は、鉄筋コンクリート造の内側に木構造をおさめた混構造で、中庭のあるコートハウス形式の住宅である。,住吉の長屋(安藤忠雄)は、ファサードに玄関以外の開口部がなく、中央部に中庭を設けた住宅である。,中野本町の家(伊東豊雄)は、鉄筋コンクリートの柱の上に鉄骨フレームを架け、上部をアルミやテントで覆った住宅である。,私たちの家(林昌二・林雅子)は、庭と居間とが面する関係を保ちつつ、コンクリートブロック造の住宅を増改築することで、夫婦2人の住まいとした住宅である。,4
令和6年,計画,13,,住宅地・集合住宅の計画に関する次の記述のうち、最も不適当なものはどれか。,防災集団移転促進事業は、災害が発生した地域又は建築基準法に基づく災害危険区域のうち、住民の居住に適当でないと認められる区域内にある住居の集団的移転を促進することを目的としたものである。,ボンエルフ方式は、住宅地内の道路の計画において、シケインを用いて車の通行部分を蛇行させるなど、スピードを落とさせることにより、歩車共存を図ることを目的としたものである。,コレクティブハウスは、自ら居住する住宅を建設しようとする者が集まって結成した組合によって、事業計画の策定、建築物の設計、工事発注から住宅の管理・運営までを行うものである。,デュアルリビングは、住宅内に接客用のリビング(フォーマルリビング)と家族用のリビング(ファミリーリビング)のような、異なる機能をもつ2つのリビングを設けるものである。,2
令和6年,計画,14,,商業建築物等の計画に関する次の記述のうち、最も不適当なものはどれか。,大規模店舗において、避難時に利用する階段室への出入口の有効幅員は、流動係数を考慮して、階段の有効幅員よりも狭くした。,大規模店舗において、同じ道路に面した駐車場の入口と出口とを、10m離して設けたうえで、左折入庫・左折出庫となるようにした。,劇場において、車椅子使用者用客席は、劇場の舞台の先端から車椅子使用者の眼高までのサイトラインの確保を基本とし、異なる階・異なる水平位置に分散して配置した。,事務所ビルにおいて、2階建てのエレベーター籠によって奇数階と偶数階と同時に乗客の輸送が可能なコンベンショナルゾーニング方式を採用し、建築面積に占めるエレベーターの割合を減らした。,4
令和6年,計画,15,,社会福祉に関する用語の説明として、最も不適当なものは、次のうちどれか。,インクルーシブ教育は、障害の有無にかかわらず学べる仕組みのことであり、カームダウンのためのデンやアルコーブを教室まわりに設けるなど、それぞれの状況に応じて環境を整える「合理的配慮」が必要となる。,ジェントリフィケーションは、障害者が社会の中でごく普通に生活ができるように社会を整えることであり、在宅生活支援や地域に溶け込む小規模な就労支援の場などの整備が進められている。,レスパイトケアは、在宅で介護をする者が一時的に介護から離れて休息等をとれるようにする支援のことであり、医療型短期入所(ショートステイ)は、一時預かりだけでなく、介護をする者・される者が家族以外の人々と交流できる場としても期待されている。,地域包括ケアシステムは、重度な要介護状態となっても住み慣れた地域で自分らしい暮らしを続けることができるような仕組みのことであり、住まい・医療・介護・予防・生活支援が一体的に提供されるよう、地域の特性に応じた対応が重要である。,1
令和6年,計画,16,,総合病院の計画に関する次の記述のうち、最も不適当なものはどれか。,病棟において、患者用のトイレは、利用時の安全性と利便性の確保のため、便器側方へのアプローチについて左右勝手が異なるタイプのものを分散して配置した。,緩和ケア病棟において、病室は全て個室とし、共用部に患者や患者家族が利用できる調理室や食事室を設置するなど、患者とその家族とのQOLを高める計画とした。,病室階において、火災時に避難階段等の縦動線を利用せずに一定の時間の安全性が確保できるように、各階に防火防煙区画された、2つ以上の安全区画を設ける計画とした。,部門構成において、病院運営の効率及び患者の動線を考慮して、外来部門は診療部門と病棟部門との間に配置した。,4
令和6年,計画,17,,美術館(所在地)に関する次の記述のうち、最も不適当なものはどれか。,富弘美術館(群馬県)は、様々な大きさの矩形の展示空間が独立して配置され、その間の空間も展示や交流のためのスペースとなるように計画されている。,ポーラ美術館(神奈川県)は、周囲の景観を極力損なわないよう、すり鉢状の構造体を地下に埋め込んで建築物の高さを抑え、美術館の中心を貫くアトリウムにより自然光を取り入れることで、自然と美術との共生を目指した空間が計画されている。,京都市京セラ美術館 [京都市美術館](京都府)は、昭和初期に開館した美術館の既存のメインエントランスを残し、スロープからつながる地下広場に面した新たなエントランスを設けるなどの改修がされている。,豊島美術館(香川県)は、鉄筋コンクリートのシェル構造による屋根の大きな開口部から、周囲の風・音・光を内部に直接取り込むことで、周辺環境と建築物、展示作品とを一体で感じられるように計画されている。,1
令和6年,計画,18,,設計・監理業務等に関する次の記述のうち、最も不適当なものはどれか。,「建築士事務所の開設者がその業務に関して請求することのできる報酬の基準(平成31年国土交通省告示第98号)」における実施設計に関する標準業務には、工事施工者が設計図書の内容を正確に読み取り、設計意図に合致した建築物の工事を的確に行い、工事費の適切な見積りができるよう、基本設計に基づき、設計意図をより詳細に具体化した仕様書や図面等の図書を作成する業務が含まれる。,四会連合協定「建築設計・監理業務委託契約書」を利用する場合の「監理業務」は、工事監理と工事監理に係るそれ以外の業務(契約で定められる任意の業務)を含んでいる。,「工事監理」、「工事と設計図書との照合及び確認の結果報告等」及び「工事監理の結果報告」は、建築士法における、いわゆる「建築士の独占業務」に該当する。,四会連合協定「建築設計・監理等業務委託契約約款」における監理者の権限は、基本的に発注者との個別の契約で定められるが、契約で特に定められた場合を除き、工事施工段階での設計変更の権限も含まれる。,1
令和6年,計画,19,,建築積算に関する次の記述のうち、建築工事積算研究会「建築数量積算基準・同解説」に照らして、最も不適当なものはどれか。,工事費における工事価格は、純工事費と一般管理費等を合わせたものである。,木取りは、規格長さの製材から1本又は複数の部材を挽き出すことをいう。,工事費における複合単価は、材料、副資材、施工等をまとめた単価のことである。,仕上の計測・計算において、木製間仕切下地を材料と施工手間に分離する場合の材料価格に対応する数量は、所要数量とする。,4
令和6年,計画,20,,建築のマネジメントに関する次の記述のうち、最も不適当なものはどれか。,PFI事業におけるBOT方式は、民間事業者が資金調達を行って施設を建設し、完成直後に公共工事の発注者に所有権を移転し、当該民間事業者に一定期間、維持管理及び運営を委ねる方式である。,プロパティマネジメントは、ビル運営管理業務以外にも、リーシングマネジメント業務、コンストラクションマネジメント業務等を含むことがある。,ライフサイクルマネジメントは、建築物の機能や効用の維持あるいは向上を適切なコストのもとで、建築物の企画から解体・廃棄処分まで管理実行することである。,BIMは、3次元の建築モデルに部材の寸法、材料、コスト等の属性情報をもたせたデータベースであり、設計から施工、維持管理までの各工程での情報活用が可能である。,3
令和6年,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,クリモグラフは、気温、相対湿度、降水量等の気候要素のうち2種類を座標軸にとり、一般に、月ごとの値をプロットして年間の推移を示した図であり、各地の気候特性を理解するために利用される。,自然室温は、室内における空気温度と平均放射温度の重み付け平均で表される値であり、一般に、発汗の影響が小さい環境下における熱環境に関する指標として用いられる。,輝度は、発光面の見かけの単位面積当たりの光度であり、ある点を見た際に眼に入る光の強さを表す。,A特性は、音圧レベルの測定値に対し、等ラウドネス曲線の 40 phonの聴感曲線に対応した周波数感度補正を行うための特性であり、騒音レベルを算出する際に用いられる。,2
令和6年,環境・設備,2,,室内の温熱環境に関する次の記述のうち、最も不適当なものはどれか。,冷たい窓面による不快感を生じさせないためには、放射の不均一性(放射温度の差)は10℃以内とすることが望ましい。,SET*(標準新有効温度)が25℃の場合、温冷感は「快適、許容できる」ものの範囲内とされる。,室内の暑さ指数(WBGT)は、湿球温度とグローブ温度から求められる。,床暖房時の床表面温度は、一般に、人が触れたときに温かく感じられるよう、体温よりやや高めにすることが望ましい。,4
令和6年,環境・設備,3,図あり,外気温度5℃、無風の条件の下で、図のような上下に開口部を有する断面の建築物A、B、Cがある。室内温度がいずれも18℃に保たれ、上下各々の開口面積がそれぞれ3m?、2m?、1m?、開口部の中心間の距離がそれぞれ3m、6m、9mであるとき、建築物A、B、Cの換気量QA、QB、QCの大小関係として、最も適当なものは、次のうちどれか。ただし、いずれの開口部も流量係数は一定とし、中性帯は開口部の中心間の中央に位置するものとする。なお、√2は1.4、√3は1.7として計算する。,QA=QB=QC,QA>QB>QC,QB>QA=QC,QC>QB>QA,2
令和6年,環境・設備,4,,熱伝導率・熱貫流率に関する次の記述のうち、最も不適当なものはどれか。,"断熱材に用いられるグラスウールの熱伝導率は、一般に、板ガラスの""1/1000""以下、アルミニウムの""1/10""以下である。",同種の発泡系の断熱材で空隙率が同じ場合の熱伝導率は、一般に、断熱材内部の気泡寸法が大きいものほど大きくなる。,屋外の風速が大きくなると、一般に、外壁の熱貫流率は大きくなる。,外壁の熱貫流率は、外壁を構成する材料の種類や材厚が同じ条件の場合、一般に、躯体の屋外側で断熱するよりも、室内側で断熱するほうが大きくなる。,4
令和6年,環境・設備,5,,建築物における防火・防災に関する次の記述のうち、最も不適当なものはどれか。,廊下を避難するときの歩行速度は、一般に、平均照度の低下に伴い遅くなり、11x以下では顕著に遅くなる。,フラッシュオーバーは、発生すると、一般に、酸素濃度が急激に低下する。,火災室で発生した熱を伴った煙は、階段室に流入すると、一般に、1~2m/s程度の速さで上昇する。,建築物に使用するアカマツ、ケヤキ等の木材は、一般に、温度が上昇すると可燃性ガスを発生し、260℃前後で引火しやすくなる。,3
令和6年,環境・設備,6,,日照・日射・採光に関する次の記述のうち、最も不適当なものはどれか。,大気透過率は、直射日光と天空光が大気を通過する場合の透過の程度を示す値である。,北緯35度の地点において、快晴の夏至の日における単位面積当たりの終日直達日射量は、南向き鉛直面よりも東向き鉛直面のほうが大きい。,輝度が一様な曇天空下で、測定点での窓の立体角が等しい場合、南面のみに側窓がある室内よりも天窓のみがある室内のほうが、測定点から南面向きに測定した鉛直面照度が低くなる。,春分・秋分の日において、水平面上に立てた鉛直棒の直射日光による影の先端の軌跡は、ほぼ直線となる。,1
令和6年,環境・設備,7,,照明に関する次の記述のうち、最も不適当なものはどれか。,光束は、放射束に対して比視感度で重みづけし、可視光範囲で積分した量である。,照度は、受照面が均等拡散面の場合、輝度と反射率の積に比例する。,CIE標準晴天空の輝度は、太陽周辺で最も高く、天頂を挟んで太陽から約90°離れた部分で最も低くなる。,UGR(屋内統一グレア評価値)は、人工照明のまぶしさを評価するための指標で、一般に、面積の広い窓面のグレアには適用しない。,2
令和6年,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,オストワルト表色系では、理想的な黒、理想的な白及びオストワルト純色を定義しているが、明度の属性がない。,マンセル表色系における彩度の最大値は、色相によって異なり、10を超えることもある。,加法混色の三原色は、シアン、マゼンタ及びイエローである。,明所視において、ある面からの放射エネルギーが同じ場合、一般に、赤よりも緑のほうが明るく感じられる。,3
令和6年,環境・設備,9,,音響に関する次の記述のうち、最も不適当なものはどれか。,障壁において生ずる回折による音の減衰効果は、一般に、高音域よりも低音域のほうが高い。,交通量の多い道路を無限に長い線音源と想定した場合には、受音点までの距離が2倍になるごとに、音圧レベルは約3dBずつ減衰する。,拡散音場とみなせる室においては、音響パワーが一定の音源がある場合、室の平均吸音率が2倍になると、室内の音圧レベルは約3dB減少する。,学校の普通教室においては、平均吸音率が0.2程度となるように、吸音対策を施すことが望ましい。,1
令和6年,環境・設備,10,,吸音・遮音に関する次の記述のうち、最も不適当なものはどれか。,開放窓は音波が全て透過するので、音響透過率も、吸音率も1になる。,多孔質吸音材料の表面を通気性の低い材料によって被覆すると、高周波数域の吸音率が低下する。,単層壁への平面波入射において、一般に、垂直に入射する場合が最も遮音性能が高く、入射方向が斜めになるに従い、遮音性能は低下する。,床にコルクタイルを敷くことによって、一般に、重量床衝撃音の低減を図ることができる。,4
令和6年,環境・設備,11,図あり,図のような空気調和設備の方式A及びBに関する次の記述のうち、最も不適当なものはどれか。ただし、空調機、外調機及びターミナル空調機には、それぞれ、冷温水コイルは1つのみ設置されている。,方式A、方式Bともに、負荷に応じて風量を調整することができ、搬送動力の低減が可能である。,方式A、方式Bともに、低負荷時に導入外気量が不足することがある。,方式Aでは、室内湿度の微調整が難しいが、方式Bは、室内湿度の微調整が可能である。,方式Aでは、外気冷房はできないが、方式Bは、外気冷房が可能である。,4
令和6年,環境・設備,12,,空気調和設備・換気設備・排煙設備に関する次の記述のうち、最も不適当なものはどれか。,中央熱源空調方式は、在館者の要望に対して個別に対応できないので、パーソナル空調には適さない。,同風量の外気取入れガラリと排気ガラリを比べると、外気取入れガラリのほうが、一般に、通過風速を遅くするので、必要な正面面積は大きくなる。,超高層ビルでは、冬期において、低層部から外気が流入し、高層部で外気が流出する傾向が強くなり、空調換気システムの給気と排気のバランスが崩れやすい。,隣接した2つの防煙区画において、一般に、防煙垂れ壁を介して一方の区画を自然排煙、他方の区画を機械排煙とすることはできない。,1
令和6年,環境・設備,13,,事務所ビルの空気調和設備・換気設備の計画に関する次の記述のうち、最も不適当なものはどれか。,事務室の窓回りの温熱環境に配慮し、窓下部より室内空気を吸い込み、窓上部から天井内に排気する、エアフローウィンドウを採用した。,冷房負荷の計算において、事務室の内部発生熱負荷のうち、OA機器による負荷を15W/m?とした。,事務室の冷房負荷は、年間を通して安定しているので、部分負荷を考慮せずに、ピーク負荷によって熱源設備を計画した。,地下に設けた自走式駐車場の換気設備は、経済性及び設置スペースを考慮して、誘引誘導方式を採用した。,3
令和6年,環境・設備,14,,給水・給湯設備に関する次の記述のうち、最も不適当なものはどれか。,事務所ビルにおいて、節水器具を使用した場合、一般に、在勤者1人当たりの設計用の1日の給水量を120~150/ 程度で計画する。,事務所ビルにおいて、給水系統を飲用水と雑用水に分ける場合、一般に、飲用水30~40%、雑用水60~70%程度の使用水量の比率で計画する。,ガス瞬間式給湯機の給湯能力は、11の水の温度を1分間に25℃上昇させる能力を1号として表示される。,循環式の中央式給湯設備において、レジオネラ属菌の繁殖を防ぐためには、貯湯槽内の湯の温度を60℃以上に維持する必要がある。,1
令和6年,環境・設備,15,,排水設備等に関する次の記述のうち、最も不適当なものはどれか。,排水再利用水の原水に、手洗い・洗面器及び給湯室からの排水のほか、厨房からの排水も利用した。,"排水槽において、排水の滞留及び汚泥ができるだけ生じないように底部に吸込みピットを設け、底部の勾配を""1/5""以上とした。",排水槽において、定期的に清掃及び保守点検を行うため、有効内径60cmの防臭密閉型マンホールを2か所設けた。,雨水を便器洗浄水等で再利用した排水が下水道料金の対象となる地域において、雨水使用量を計測する量水器を設置した。,3
令和6年,環境・設備,16,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,特別高圧受電となる超高層ビルにおいて、電力供給の信頼度を高めたい場合には、一般に、2回線受電方式やスポットネットワーク方式を採用する。,大規模な商業施設において、非常用の照明装置の予備電源には、経済性や保守性に配慮する場合、一般に、電源別置型を採用する。,中小規模の事務所ビルにおいて、照明・コンセント用幹線の配電方式には、一般に、単相3線式100V/200Vを採用する。,低圧受電となる戸建て住宅において、接地端子付きのコンセントの接地工事には、一般に、A種接地工事を採用する。,1
令和6年,環境・設備,17,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,電圧の種別において、交流の750V以下のものは、低圧に区分される。,進相コンデンサは、負荷設備の力率を改善するために用いられる。,ガスタービンによる発電設備は、同一出力のディーゼル機関によるものと比べて、振動及び設置面積は小さくなるが、必要な燃焼用空気量は多くなる。,車両が通行する場所に、地中電線路を直接埋設式により施設する場合、原則として、土被りは120cm以上とする。,4
令和6年,環境・設備,18,,消火設備に関する次の記述のうち、最も不適当なものはどれか。,閉鎖型予作動式スプリンクラー設備は、予作動弁からヘッドまで圧縮空気を充填しておき、火災感知器と連動して放水する方式であり、損傷等による水損事故を防止する目的で開発されたものである。,連結散水設備は、地階の火災の際、消火活動を容易にするため、消防ポンプ車から送水して天井面等の散水ヘッドから放出し、消火する設備である。,泡消火設備は、液体燃料等の火災に対して有効な消火設備であり、駐車場、自動車整備場、指定可燃物の貯蔵所等への設置に適している。,屋内消火栓設備は、初期消火を目的とした消火設備であり、病院やホテルに設置する場合、一般に、1号消火栓を採用する。,4
令和6年,環境・設備,19,,建築設備に関する次の記述のうち、最も不適当なものはどれか。,高層建築物の乗用エレベーターは、地震発生時の乗客の避難を図るため、地震感知器の作動により、速やかに避難階に帰着させて乗客を避難させる計画とする。,非常用エレベーターの籠の定格速度は、60m/分以上としなければならない。,ノンフロン化を目指して空調用冷凍機等に用いられる自然冷媒には、アンモニア、二酸化炭素、水等がある。,防振架台上に設置される設備機器に対して設ける耐震ストッパは、設備機器の運転中に接触しない範囲で、設備機器との間が、極力小さな隙間となるように設置する。,1
令和6年,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,BELSは、新築及び既存建築物を対象として、エネルギー消費性能を第三者評価機関が評価し認証する制度である。,CASBEEは、建築物や街区、都市などに係わる環境性能を総合的に評価するためのツールである。,LEEDは、人の健康やウェルネスに着目した、建築物や街区の環境性能評価システムである。,DR(デマンドレスポンス)は、電力需要側が供給状況に応じて電力消費パターンを変化させて、電力需給バランスを調整する仕組みである。,2
令和6年,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,建築物に設ける消火用の貯水槽は、「建築設備」に該当する。,建築材料の品質における「安全上、防火上又は衛生上重要である建築物の部分」には、屋外階段で防火上重要であるものとして国土交通大臣が定めるものも含まれる。,高さ4mの記念塔の工事用の図面は、「設計図書」に含まれる。,同一敷地内に二つの地上2階建ての建築物(延べ面積はそれぞれ400m?及び200m?とし、いずれも耐火構造の壁等はないものとする。)を新築する場合において、当該建築物相互の外壁間の距離を5mとする場合は、二つの建築物は「延焼のおそれのある部分」を有している。,3
令和6年,法規,2,,面積、高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,建築物の敷地内に都市計画において定められた計画道路がある場合において、特定行政庁の許可を受けて当該計画道路を容積率の算定に当たっての前面道路とみなす場合は、当該敷地のうち計画道路に係る部分の面積は、敷地面積又は敷地の部分の面積に算入しない。,"北側高さ制限において、建築物の敷地が北側で公園に接する場合、当該公園に接する隣地境界線は、当該公園の幅の""1/2""だけ外側にあるものとみなす。",前面道路の境界線から後退した建築物の各部分の高さの制限において、当該建築物の後退距離の算定の特例を受ける場合の「軒の高さ」の算定については、前面道路の路面の中心からの高さによる。,建築物の敷地が斜面又は段地である場合その他建築物の部分によって階数を異にする場合においては、これらの階数のうち最大なものを、当該建築物の階数とする。,2
令和6年,法規,3,,次の記述のうち、建築基準法上、誤っているものはどれか。,原動機を使用する観覧車の築造については、確認済証の交付を受けなければならない。,"延べ面積3,000m?、地上3階建ての病院の避難施設等に関する工事の施工中において当該建築物を使用する場合においては、建築主は、あらかじめ、当該工事の施工中における当該建築物の安全上、防火上又は避難上の措置に関する計画を作成して特定行政庁に届け出なければならない。",高さが60mを超える建築物を建築しようとする場合において、建築主は、所定の構造計算によって安全性が確かめられたものとして国土交通大臣の認定を受ける必要があるが、都道府県知事又は指定構造計算適合性判定機関の構造計算適合性判定を受ける必要はない。,鉄骨造、地上8階建ての共同住宅の増築の工事で、避難施設等に関する工事を含むものをする場合においては、建築主は、原則として、検査済証の交付を受けた後でなければ、当該避難施設等に関する工事に係る建築物又は建築物の部分を使用することができない。,2
令和6年,法規,4,,建築物の用途の変更に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、増築、改築、大規模の修繕又は大規模の模様替を伴わないものとする。,商業地域内において、鉄筋コンクリート造、延べ面積 400m?、地上3階建ての診療所(患者の収容施設があるもの)の用途を変更して、地域活動支援センターとする場合においては、確認済証の交付を受ける必要がない。,鉄筋コンクリート造、延べ面積800m?、地上2階建ての劇場の用途を変更して、公会堂とする場合においては、確認済証の交付を受けなければならない。,原動機の出力の合計が3.0kWの空気圧縮機を使用する自動車修理工場において、その建築後に用途地域が変更されたため、原動機の出力の合計が現行の用途地域の規定に適合せず、建築基準法第3条第2項の規定の適用を受けているものについては、原動機の出力の合計を3.5kWに変更することができる。,建築物の用途の変更についての確認済証の交付を指定確認検査機関から受けた場合においては、建築主は、建築物の用途の変更に係る工事が完了したときは、当該指定確認検査機関に届け出なければならない。,4
