年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和4年,計画,18,,設計・監理業務等に関する次の記述のうち、建築士法第25条の規定に基づく「建築士事務所の開設者がその業務に関して請求することのできる報酬の基準(平成31年国土交通省告示第98号)」に照らして、最も不適当なものはどれか。,直接人件費は、設計等の業務に直接従事する者のそれぞれについての当該業務に関して必要となる給与、諸手当、賞与、退職給与、法定保険料等の人件費の1日当たりの額に当該業務に従事する延べ日数を乗じて得た額の合計とする。,工事監理に関する標準業務には、設計図書の定めにより、工事施工者が作成し提出した施工図と工事を照合し、それが施工図のとおりに実施されているかを確認するために行う業務が含まれる。,工事監理に関する標準業務には、工事施工者から工事に関する質疑書が提出された場合、設計図書に定められた品質(形状、寸法、仕上がり、機能、性能等を含む。)確保の観点から技術的に検討し、必要に応じて建築主を通じて設計者に確認の上、回答を工事施工者に通知する業務が含まれる。,工事監理に関する標準業務と一体となって行われるその他の標準業務には、工事請負契約の定めにより工事施工者が作成し、提出する工程表について、工事請負契約に定められた工期及び設計図書に定められた品質が確保できないおそれがあるかについて検討し、確保できないおそれがあると判断するときは、その旨を建築主に報告する業務が含まれる。,2
令和4年,計画,19,,建築積算に関する次の記述のうち、建築工事建築数量積算研究会「建築数量積算基準・同解説」に照らして、最も不適当なものはどれか。,鉄骨材料の所要数量において、アンカーボルトについては設計数量に対する割増しは行わない。,石材の主仕上げの所要数量において、1か所当たりの面積が0.1m?以下の開口部による石材の欠除については、原則として、ないものとして計測・計算する。,防水層等の所要数量において、シート防水のシートの重ね代は、計測数量に5%の割増しをすることを標準とする。,純工事費は、直接工事費と共通仮設費を合わせたものである。,3
令和4年,計画,20,,建築のマネジメントに関する次の記述のうち、最も不適当なものはどれか。,設計VEとは、ライフサイクルコストを考慮した経済性を追求しつつ、設計段階において施設の機能を検討・分析し、必要な機能を確実に達成することを目指す取り組みのことである。,不動産分野におけるアセットマネジメントとは、不動産を取得する際に、適正な投資価値を算出するために、物件の将来の収支の正確な予測を行うことを目的とする多角的な調査のことである。,コストオン方式とは、一般に、建築主が専門工事業者を選定し工事費を決定したうえで、その工事費に元請の管理経費を加えて建築の元請会社に工事を発注する方式のことである。,PFI事業におけるSPCとは、ある特定の事業を実施することを目的として設立される会社で、PFI事業以外の投資は行わず、PFIの契約期間が終了すれば解散する会社のことである。,2
令和4年,環境・設備,1,,環境工学に関する次の記述のうち、最も不適当なものはどれか。,日照図表は、周辺の建築物によって対象点への直射日光が遮られるかどうかを検討するものであり、緯度ごと、また、冬至の日などの季日ごとに描かれる。,外皮平均熱貫流率(U値)は、断熱性能を示す指数で、建築物の内部から屋根や壁、床、開口部等を通過して外部へ逃げる「単位温度差当たりの外皮総熱損失量」を「外皮総面積」で除した値である。,ブーミング現象は、低い周波数領域になるほど、また、室の寸法が小さいほど、固有周波数密度が疎になるので起こりやすい。,空気寿命が一定の条件では、空気齢が小さいほど、室内のある点で発生した汚染質が排気口に至るまでの時間は短くなる。,4
令和4年,環境・設備,2,,冬期における結露に関する次の記述のうち、最も不適当なものはどれか。,外壁の室内側の表面結露を防止するため、外壁断熱を強化することにより室内側の壁面温度を上昇させた。,外壁の室内側の表面結露を防止するため、暖房設備を開放型燃焼器具の代わりに密閉型燃燒器具とした。,外壁の内部結露を防止するため、断熱材の室内側に防湿層を設けた。,外壁に接する押入れ内に生じる表面結露を防止するため、押入れの襖の断熱性を高くした。,4
令和4年,環境・設備,3,,室容積200m?の居室に25人の在室者がおり、換気回数4回で換気がなされているとき、定常状態におけるこの室内の二酸化炭素濃度として最も適当な値は、次のうちどれか。ただし、一人当たりの二酸化炭素発生量は0.016m?/ (h・人)とし、在室者から発生した二酸化炭素は直ちに室全体に一様に拡散するものとする。また、外気の二酸化炭素濃度は400ppmとし、隙間風は考慮しないものとする。,700 ppm,800 ppm,900 ppm,"1,000 ppm",3
令和4年,環境・設備,4,,建築物の伝熱に関する次の記述のうち、最も不適当なものはどれか。,開口部(窓ガラス+ブラインド等)の日射遮蔽係数は、その値が大きいほど日射遮蔽効果が大きくなる。,窓ガラスの日射熱取得率は、「ガラスに入射した日射量」に対する「ガラスを透過した日射量とガラスが吸収した後に室内側に放出された熱量との和」の比率で表される。,壁体の総合熱伝達率は、「対流熱伝達率」と「放射熱伝達率」の合計である。,外壁表面の対流熱伝達率は、外部風速が大きいほど大きくなる。,1
令和4年,環境・設備,5,,建築物における防火・防災に関する次の記述のうち、最も不適当なものはどれか。,第二種排煙は、押出型の機械排煙方式であり、所定の排煙量を確保するために、排煙量よりも多い給気量が必要となる。,籠城区画は、病院の手術室やICU等の患者を避難させることが困難な室において、内部からの出火を防止するとともに、外からの火災の影響を受けない構造にして、鎮火までたてこもることができるようにした区画のことである。,超高層集合住宅の中央部に設けた屋根のないボイド空間(光庭)に面した開放廊下を避難経路とする場合には、開放廊下への煙の拡散を防ぐために、ボイド空間の下層部分からの給気を抑制する必要がある。,等価可燃物量は、対象となる可燃物の発熱量を、発熱量が等価な木材の重量で表現した値である。,3
令和4年,環境・設備,6,,北緯35度の地点における日照・日射に関する次の記述のうち、最も不適当なものはどれか。,冬至の日における南向き鉛直面の終日日射量は、夏至の日における西向き鉛直面の終日日射量より小さい。,春分・秋分の日における南中時の直達日射量は、水平面のほうが南向き鉛直面より大きい。,夏至の日における可照時間は、南向き鉛直面より北向き鉛直面のほうが長い。,4時間日影となる領域の面積は、建築面積と高さが同じ直方体の建築物で、ある壁面が東西方向に平行に配置されている場合、一般に、平面形状が正方形より東西に長い形状のほうが大きい。,1
令和4年,環境・設備,7,図あり,図のような水平に取り付けられた下面発光形の円形光源Aと、それと同じ面積で45°傾いた位置にある下面発光形の円形光源Bが、イーホの条件を満たす場合、次の記述のうち、最も不適当なものはどれか。,光源Aの点Pに対する立体角投射率(%)は、S/(πd?)×100 である。,光源Bの点Pに対する立体角投射率(%)をCBとすると、光源Bによる点Pの水平面直接照度(x)である EBPは、πL×(CB/100)×cos45° である。,光源Aによる点Pの水平面直接照度(1x)である EAP と、光源Bによる点Pの水平面直接照度(lx)である EBP の関係は、 EAP > EBP である。,rが光源Aの直径の10倍以上の場合、一般に、光源Aは点Pにおいて点光源とみなせる。,2
令和4年,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,平均演色評価数(Ra)は、評価対象となる光源による物体色の見え方と、同じ相関色温度の基準の光の下における物体色の見え方とのずれをもとにした数値である。,短波長成分を多く含む色温度の高い光を午前中に浴びることで、サーカディアンリズムを保つ効果が期待できる。,色票を用いて視感測色を行う際は、一般に、測色する部分の面積を色票の面積と同程度とする。,記憶色(記憶上の色彩)は、一般に、実際の色彩に比べて、彩度が低くなる傾向がある。,4
令和4年,環境・設備,9,,音響に関する次の記述のうち、最も不適当なものはどれか。,カラレーションは、「直接音」と「短い遅れ時間の反射音」の干渉によって、音の高さの変化が知覚される現象をいう。,聴覚のマスキング現象において、「マスクする音」と「マスクされる音」の高さが異なる場合には、マスクする音より高い周波数の音のほうが低い周波数の音に比べてマスクされやすい。,人の可聴周波数の範囲はおよそ20Hzから20kHzであり、対応する波長の範囲は十数mから十数mmである。,同種で同じ音圧レベルの音源の数が、ほぼ同じ位置において4つになると、音源が1つの場合に比べて、音圧レベルの値は約6dB増加する。,1
令和4年,環境・設備,10,,遮音に関する次の記述のうち、最も不適当なものはどれか。,厚さ6mmの単板ガラスは、厚さ3mmの単板ガラスに比べて全周波数帯域にわたって遮音性能が高いとは限らない。,複層ガラス(厚さ3mmの単板ガラス2枚と乾燥空気を封入した6mmの中空層からなる。)は、その面密度の合計と同じ面密度をもつ単板ガラス(厚さ6mm)に比べて、一般に、500Hz付近の中音域の遮音性能は低下する。,建築物の床衝撃音遮断性能に関する等級において、Lr-40はLr-55に比べて、床衝撃音の遮断性能が低い。,建築物及び建築部材の空気音遮断性能に関する等級において、Dr-50はDr-35に比べて、空気音の遮断性能が高い。,3
令和4年,環境・設備,11,,建築物とその空調負荷の一般的な特徴との組合せとして、最も不適当なものは、次のうちどれか。,劇場／ピーク負荷が小さく、予冷・予熱の時間が短い傾向にある。,百貨店／休日と平日、一日の午前と夕方の時間帯等によって負荷が大きく異なる傾向にある。,ビジネスホテル／ピーク負荷が夕方から夜間にかけて発生する傾向にある。,データセンター／外皮負荷や外気負荷より室内で発生する顕熱負荷のほうが大きい傾向にある。,1
令和4年,環境・設備,12,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,水蓄熱式空調システムは、熱源機器の容量を小さくできるとともに、電力需要の平準化を図ることができる。,送風機のエネルギー消費量は、同じ風量であれば、接続する長方形ダクトのアスペクト比(ダクト断面の短辺に対する長辺の比)を小さくするほど大きくなる。,変風量単一ダクト方式は、VAVユニットを部屋ごと又はゾーンごとに設けることによって、個別の温度制御を行うことができる。,空調機に再熱コイルを設置する場合は、冷房時の部分負荷時において、設定室温での室内の湿度上昇を防ぐことはできるが、エネルギー消費量は多くなる。,2
令和4年,環境・設備,13,,換気設備に関する次の記述のうち、最も不適当なものはどれか。,RI(ラジオアイソトープ)施設では、一般に、室内への給気を全て排気するオールフレッシュ空調方式が用いられる。,化学処理や実験等に用いられる作業台と排気フードが組み合わされたドラフトチャンバーの排気風量は、作業用開口部の面積と制御風速によって決定される。,換気用エアフィルターの粉じん捕集率は、同一のエアフィルターに対して、質量法や計数法等の測定方法によって異なる値となる。,JISにおけるクリーンルームの空気清浄度は、清浄度クラスの値が大きいほど高くなる。,4
令和4年,環境・設備,14,,給水設備に関する次の記述のうち、最も不適当なものはどれか。,作動している給水ポンプ内のキャビテーションは、水温が一定の場合、ポンプ吸込口の管内圧力が低いときに発生しやすい。,大便器洗浄弁には、逆サイホン作用による汚物の給水管への逆流を防止するために、バキュームブレーカーを設ける。,飲料水用配管から空調設備配管へ給水する場合には、クロスコネクションを防止するために、一般に、逆止め弁を設ける。,高置水槽方式において、揚水管の横引きは、ウォーターハンマーの発生原因となる水柱分離を防止するために、できるだけ低い位置で計画する。,3
令和4年,環境・設備,15,,給湯設備等に関する次の記述のうち、最も不適当なものはどれか。,潜熱回収型ガス給湯機は、一般に、潜熱回収時に発生する酸性の凝縮水を機器内の中和器で処理し排出する仕組みとなっている。,水熱源方式のヒートポンプ給湯システムは、下水道処理水、工場や大浴場の温排水等の未利用エネルギーを、熱源として利用することができる。,家庭用燃料電池は、都市ガス等から燃料改質装置で作った水素と空気中の酸素とを反応させて発電するとともに、反応時の排熱で作った温水を給湯に利用する仕組みとなっている。,ハイブリッド給湯システムは、給湯負荷変動が少ないペース負荷を燃焼式加熱機が受け持ち、ベース負荷を超える場合にヒートポンプ給湯機でバックアップする仕組みとなっている。,4
令和4年,環境・設備,16,図あり,JISにおける構内電気設備の名称とその配線用図記号との組合せとして、最も不適当なものは、次のうちどれか。,壁付コンセント(接地端子付)／ET,煙感知器／(図記号は原文参照),分電盤／(図記号は原文参照),配電盤／(図記号は原文参照),2
令和4年,環境・設備,17,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,インバータ機器から発生する高調波電流を抑制するために、アクティブフィルタを設置した。,幹線設備における地絡電流による感電、火災、設備の破損等を防止するために、過電流遮断器を設置した。,伝送系の信号線が電源関係ケーブルからの静電誘導によるノイズの影響を受けないようにするために、その信号線には、シールドケーブルを使用した。,外部雷保護システム(受雷部、引下げ導線及び接地極システム)及び建築物等の導電性部材に流れる雷電流による危険な火花放電の発生を防止するために、内部雷保護システムを構築した。,2
令和4年,環境・設備,18,,防災設備に関する次の記述のうち、最も不適当なものはどれか。,排煙設備の設置が必要な百貨店において、排煙設備の排煙口を、防煙区画のそれぞれについて、当該防煙区画の各部分から排煙口のいずれかに至る水平距離が30m以下となるように設置した。,スプリンクラー設備の設置が必要なホテルにおいて、床面から天井面までの高さが12mのロビーに、放水型ヘッドを使用したスプリンクラー設備を設置した。,プロパンガスを使用する厨房において、ガス漏れ警報器の検知部を、燃焼機器から検知部までの水平距離が8m以内、かつ、天井面から検知部下端までの高さが0.3m以内となるように設置した。,劇場において、客席誘導灯を、客席内の通路の床面における水平面照度が0.2lx以上となるように設置した。,3
令和4年,環境・設備,19,,建築設備に関する次の記述のうち、最も不適当なものはどれか。,パッケージ型空調機のAPF (Annual Performance Factor)は、「通年消費電力量」を「冷房期間総合負荷及び暖房期間総合負荷の和」で除した値により表される。,中央管理室は、超高層建築物において、中央管理方式の空気調和設備の制御及び作動状態の監視等を行うための室として、避難階又はその直上階若しくは直下階に設ける。,乗用エレベーターは、火災発生時にエレベーター内の乗客を速やかに避難階に帰着させた後、運転を休止させる計画とする。,照明の省エネルギー手法のうち、初期照度補正制御は、経年による照度低下を見込むことで生じる、照明器具やランプの設置直後等における過剰照度を、適正な照度に補正するものである。,1
令和4年,環境・設備,20,,我が国におけるZEBに関する次の記述のうち、最も不適当なものはどれか。,ZEBの定義には、「ZEB」、Nearly ZEB、ZEB Ready及びZEB Orientedがある。,ZEBを実現するための省エネルギー技術のうち、搬送機器のインバータ制御やLED照明はパッシブ技術に含まれる。,ZEBは、既存の建築物であっても、建築物の改修時に、外皮の断熱強化、設備の高効率化等を行うことによって実現可能である。,ZEBを実現するためには、エネルギー消費量の削減が必須であり、再生可能エネルギーの導入のみでは不十分である。,2
令和4年,法規,1,図あり,図のような建築物における延べ面積、建築物の高さ又は階数の算定に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、図及び【建築物の条件】に記載されていないことについては考慮しないものとする。,"容積率の算定の基礎となる延べ面積は、2,435m?である。",避雷設備の設置の必要性を検討するに当たっての建築物の高さは、15mである。,地階を除く階数は、3である。,階数は、5である。,1
令和4年,法規,2,,次の記述のうち、建築基準法上、誤っているものはどれか。,一戸建て住宅に附属する塀で幅員4mの道路に接して設けられるものは、「延焼のおそれのある部分」に該当する。,病院の入院患者のための談話室は、「居室」に該当する。,天井面から50cm下方に突出した垂れ壁で、不燃材料で造られたものは、「防煙壁」に該当する。,既存建築物に設けられている木造の屋外階段を全て鉄骨造に取り替えることは、「大規模の模様替」に該当する。,4
令和4年,法規,3,,防火地域内における次の行為のうち、建築基準法上、確認済証の交付を受ける必要がないものはどれか。ただし、建築物の建築等に関する確認済証の交付を受ける必要がない区域の指定はないものとする。,鉄骨造、延べ面積 100m?、平家建ての事務所における床面積10m?の増築,ゴルフ練習場に設ける工作物で、ネットを支える高さ20mの鉄柱の築造,共同住宅の新築工事を施工するために現場に設ける延べ面積50m?、平家建ての工事管理事務所の新築,鉄筋コンクリート造、延べ面積800m?、地上3階建てのホテルから共同住宅への用途の変更(大規模の修繕又は大規模の模様替を伴わないもの),3
令和4年,法規,4,,次の記述のうち、建築基準法上、誤っているものはどれか。,定期報告を要する建築物の所有者と管理者が異なる場合においては、管理者が特定行政庁にその定期報告をしなければならない。,建築主は、鉄骨造、延べ面積300m?、地上2階建ての飲食店を物品販売業を営む店舗とする用途の変更(大規模の修繕又は大規模の模様替を伴わないもの)に係る確認済証の交付を受けた場合において、当該工事を完了したときは、建築主事の検査を申請しなければならない。,建築主は、確認済証の交付を受けた建築物について、当該建築物の建築設備の材料、位置又は能力の変更(性能が低下する材料の変更及び能力が減少する変更を除く。)をして、当該建築物を建築しようとする場合において、変更後も建築物の計画が建築基準関係規定に適合することが明らかなものは、あらためて、確認済証の交付を受ける必要はない。,建築主は、鉄骨造、延べ面積500m?、地上3階建ての事務所を新築する場合において、完了検査の申請が建築主事により受理された日から7日を経過したときは、検査済証の交付を受ける前においても、仮に、当該建築物又は建築物の部分を使用することができる。,2
