年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
H28,計画,11,,まちづくりに関する用語とその説明として、最も不適当なものは、次のうちどれか。,レジリエンスは、一般に、自然災害等により、社会基盤やそれが支える社会及び経済が一時的に大きなダメージを受けても、速やかに復活できること等を意味する。,ダウンゾーニングは、都市計画で定められた容積率の引下げや建築することができる用途を住宅等に限定する等、規制を現行に比べて厳しいものに変更することである。,トランジットモールは、歩行者用の空間であるモールの形態の一つであり、一般の自動車の進入を排除して、路面電車やバス等の公共交通機関に限って走行を認めたものである。,エリアマネジメントは、行政主導により地域における良好な環境や地域の価値を維持・向上させるための取組みのことである。,4
H28,計画,12,,住宅の作品名(設計者)とその計画上の特徴に関する次の記述のうち、最も不適当なものはどれか。,イームズ自邸(チャールズ&レイ・イームズ)は、再組立が可能という理念のもと、形鋼やスチールサッシ等の工業製品を用いて建築された住宅である。,ゲーリー自邸(フランク・O・ゲーリー)は、既存の木造住宅に、安価な材料である金網やトタン板、ベニヤ板の断片等を組み合わせて増改築を行った、ポストモダンを代表する住宅の一つである。,ヒラルディ邸(ルイス・バラガン)は、不整形敷地に建つ地上4階建ての医院併用住宅であり、台形の平面をもつ医院と矩形の平面をもつ住居は、中庭のスロープによって繋がれている。,フィッシャー邸(ルイス・カーン)は、二つの矩形のボリュームが45度の角度をもって接合され、一方には2層の個室群が配置され、もう一方には2層分の高さの居間をもつ、幾何学的な構成の住宅である。,3
H28,計画,13,,住宅団地及び集合住宅の計画上の特徴に関する次の記述のうち、最も不適当なものはどれか。,茨城県営松代アパート(茨城県つくば市)は、七つの住棟により囲まれた二つの中庭をもち、屋根葺材には地元で焼かれた瓦を使用する等、周辺との融和に配慮された地上3階建ての低層集合住宅である。,コモンシティ星田A2(大阪府交野市)は、敷地内の緩斜面を活かした緑道の配置や、塀・門を極力設けない外構計画等により、連続した開放的な外部空間を創り出した戸建ての住宅団地である。,NEXT21(大阪府大阪市)は、二段階供給方式(スケルトン・インフィル分離方式)と環境共生をテーマにし、住戸の外壁等の規格化・部品化による可変性の確保や屋上植栽等が試みられた集合住宅である。,幕張ベイタウンパティオス4番街(千葉県千葉市)は、壁面線の位置・高さ、壁面率等についての「都市デザインガイドライン」に沿って設計された集合住宅であり、街区型の形式に特徴がある。,1
H28,計画,14,,事務所ビルの計画に関する次の記述のうち、最も不適当なものはどれか。,"事務室内のヘビーデューティーゾーン(重荷重ゾーン)の床の積載荷重を、2,300 N/m2とした。",事務室内のフリーアクセスフロアの高さを、100mmとした。,事務室内の照明計画において、アンビエント照明の照度を、500lxとした。,"基準階の事務室の床面積を1,000m2とする貸事務所ビルの計画において、男子小便器3個、男子大便器3個、女子便器4個とした。",1
H28,計画,15,,博物館・劇場の計画に関する次の記述のうち、最も不適当なものはどれか。,博物館の保存、修復のための調査・研究部門は、研究対象である収蔵品の移動を最小限に留めるために、調査・研究部門と収蔵部門とを隣接して設ける計画とした。,博物館の収蔵部門は、収蔵庫内の保存環境を一定に保つため、前室を設ける計画とした。,劇場の搬出入のためのサービスヤードにおいて、ウィング式(荷台の側面と屋根面を一体として上方に開くことができるもの)の大型トラックが停車するスペースの、床から天井までの高さを4mとした。,劇場において、定員600人の固定式の客席部分の面積(通路を含む。)を、400m2とした。,3
H28,計画,16,,病院の計画に関する次の記述のうち、最も不適当なものはどれか。,手術部の計画に当たり、他部門との速やかな連携や機材等の搬出入に配慮し、他部門間の通過動線を手術部内に設ける計画とした。,外来診療部の計画に当たり、患者の出入りの多い内科は外来入口の近くに配置し、小児科は可能な限り他科と分離して計画した。,LDR室の計画に当たり、家具や空間の仕上げに木材を使用する等、暖かい家庭的な雰囲気となるように配慮した。,看護拠点の計画に当たり、看護動線の短縮及び病室内の患者の観察の容易さを確保するため、ナースステーションの他にナースコーナーを設け、看護の作業領域を分散した。,1
H28,計画,17,,建築物の外装の計画に関する次の記述のうち、最も不適当なものはどれか。,エアフローウィンドウは、一般に、二重のガラス間にブラインド等の遮光装置を設置し、空調空気を通すことで、ペリメーターゾーンの熱負荷を軽減するシステムである。,SSG構法は、ガラスを室内側に設置したフレーム(バック・マリオン)に構造シーラントを用いて接着することで、室外側にほとんどサッシが見えないフラットなガラス面を構成できるものである。,カーテンウォール工事におけるフィルドジョイント構法は、外装材の接合部分の水密性能を確保するため、内外の空気圧を等圧にすることにより、雨水を重力で排水するものである。,メタルカーテンウォールにおけるマリオン方式(方立方式)は、マリオンが日射等の熱により膨張・収縮することから、変形に対する追従機構が必要である。,3
H28,計画,18,,建築士法第25条の規定に基づく「建築士事務所の開設者がその業務に関して請求することのできる報酬の基準(平成21年国土交通省告示第15号)」に照らし、「工事監理に関する標準業務」の業務内容として、最も不適当なものは、次のうちどれか。,設計図書の内容を把握し、設計図書に明らかな、矛盾、誤謬、脱漏、不適切な納まり等を発見した場合には、設計者に報告し、必要に応じて工事施工者に確認する。,設計図書の定めにより、工事施工者が作成し、提出する施工図(躯体図、工作図、製作図等をいう。)、製作見本、見本施工等が設計図書の内容に適合しているかについて検討し、建築主に報告する。,工事施工者の行う工事が設計図書の内容に適合しているかについて、設計図書に定めのある方法による確認のほか、目視による確認、抽出による確認、工事施工者から提出される品質管理記録の確認等、確認対象工事に応じた合理的方法により確認を行う。,工事と設計図書との照合及び確認の結果、工事が設計図書のとおりに実施されていないと認めるときは、直ちに、工事施工者に対して、その旨を指摘し、当該工事を設計図書のとおりに実施するよう求め、工事施工者がこれに従わないときは、その旨を建築主に報告する。,1
H28,計画,19,図あり,図のような鉄筋コンクリート構造の梁において、スタラップの割付本数が設計図書に記載されていない場合、建築工事建築数量積算研究会「建築数量積算基準」に照らして、スタラップの割付本数の値として、正しいものは、次のうちどれか。ただし、図に記載されていない鉄筋は適切に配筋されているものとする。,37本,38本,39本,40本,3
H28,計画,20,,プロジェクトマネジメントに関する次の記述のうち、最も不適当なものはどれか。,賃貸住宅におけるサブリース事業は、賃貸管理事業者が建物所有者等から建築物を転貸目的として賃借し、自らが転貸人となって入居者に転貸するシステムによって行う賃貸管理事業である。,BCPは、企業が災害や事故で被害を受けても、重要な業務が中断しないこと、中断しても可能な限り短い期間で再開すること等、事業の継続を追求する計画である。,CSRは、企業が所有する不動産について、経営戦略的な視点に立って見直しを行い、不動産投資の効率性を最大限向上させるという考え方である。,PFI事業におけるSPCは、ある特定の事業を実施することを目的として設立される会社で、PFI事業以外の投資は行わず、PFIの契約期間が終了すれば解散するものである。,3
H28,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,PMVは、室内の温熱感覚に関係する、気温、放射温度、相対湿度、気流速度、人体の代謝量及び着衣量を考慮した温熱環境指標である。,照度は、目で見た明るさに直接的な関わりがあり、屋内照明器具による不快グレアの評価に用いられる。,プルキンエ現象は、暗所視において、比視感度が最大となる波長が短い波長へずれる現象である。,残響室法吸音率は、残響室内に試料を設置した場合と設置しない場合の残響時間を測定して、その値をもとに算出する試料の吸音率である。,2
H28,環境・設備,2,,住宅における結露の防止に関する次の記述のうち、最も不適当なものはどれか。,浴室から他の室への水蒸気の浸入を抑制するため、浴室に設置した排気ファンを使用した。,外壁の内部結露を防止するため、断熱材の室内側に防湿層を設けた。,木造住宅における最上階の天井部分のみに断熱材を施した屋根において、野地板面の結露を防止するため、小屋裏に換気口を設けた。,暖房設備から室内に発生する水蒸気の量を抑制するため、暖房設備を密閉型燃焼器具の代わりに開放型燃焼器具とした。,4
H28,環境・設備,3,,定常状態における室内の二酸化炭素濃度を上限の基準である1000ppm以下に保つために、最低限必要な外気の取入量として最も適当な値は、次のうちどれか。ただし、人体一人当たりの二酸化炭素発生量は0.024m3/(h・人)であり、人体から発生した二酸化炭素は直ちに室全体に一様に拡散するものとし、外気の二酸化炭素濃度を400ppmとする。また、隙間風は考慮しないものとする。,20 m3/(h・人),30 m3/(h・人),40 m3/(h・人),50 m3/(h・人),3
H28,環境・設備,4,,伝熱に関する次の記述のうち、最も不適当なものはどれか。,透明フロート板ガラスは、一般に、可視光線に比べて長波長域の赤外線を通しにくい。,単層壁の熱貫流抵抗は、同一の材料で壁の厚さを2倍にしても2倍にはならない。,壁体表面の対流熱伝達率は、風速が大きいほど大きくなる。,グラスウールの熱伝導率は、一般に、かさ比重(密度)が大きいほど大きくなる。,4
H28,環境・設備,5,,建築物における防火・防災に関する次の記述のうち、最も不適当なものはどれか。,水平避難方式は、一つの階を複数のゾーン(防火区画や防煙区画)に区画し、火災の発生時に、火災の発生していないゾーンに水平に移動することによって安全を確保する方法である。,火災室で発生した熱を伴った煙は、階段室に流入すると、一般に、3～5m/s程度の速さで上昇する。,中央部に光庭となるボイド空間を設けた超高層集合住宅において、ボイド空間を取り囲む開放廊下を避難経路とする場合、煙の拡散を防ぐために下層部分からボイド空間への給気を抑制する必要がある。,等価可燃物量は、可燃物発熱量が等価な木材の重量に換算した量である。,3
H28,環境・設備,6,図あり,図のような直方体の建築物の冬至日における1時間ごとのある水平面上の日影図(数字は真太陽時を示す。)に関する次の記述のうち、最も不適当なものはどれか。ただし、A点及びB点は、その水平面上にあるものとする。,この建築物により、終日日影ができる。,A点は、1日のうち3時間以上日影になる。,建築物の高さのみを3倍にしても、B点の日影には影響しない。,建築物の高さのみを現状より高くしても、4時間日影線は変化しない。,2
H28,環境・設備,7,,昼光・照明に関する次の記述のうち、最も不適当なものはどれか。,輝度は、光源面だけではなく、反射面及び透過面についても定義できる。,昼光率は、室内各部の反射率の影響を受ける。,配光曲線は、光源の各方向に対する輝度の分布を示すものである。,光幕反射を減らすためには、光が視線方向に正反射する位置に光源を配置しないことが重要である。,3
H28,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,マンセル表色系において、「5G7/8 と表される色」より 「5G8/6 と表される色」のほうが明度は高い。,色の面積効果は、面積が小さいほど明度・彩度が高く感じられる効果である。,演色性は、視対象の色の見え方に及ぼす光源の性質であり、光源の分光分布に依存する。,面色や開口色は、空間的な定位や肌理(きめ)を感じられない色の見え方である。,2
H28,環境・設備,9,,音響に関する次の記述のうち、最も不適当なものはどれか。,,拡散性の高い室に、音響パワーが一定の音源がある場合、室の平均吸音率が2倍になると、室内平均音圧レベルは約3dB減少する。,セイビン(Sabine)の残響式によると、残響時間は、容積が1000m3で等価吸音面積200m2の室より、容積が500m3で等価吸音面積120m2の室のほうが短い。,,4
H28,環境・設備,10,,遮音・吸音に関する次の記述のうち、最も不適当なものはどれか。,重量床衝撃源による床衝撃音については、カーペット等の柔らかい床仕上げ材を用いても、遮断性能の向上はほとんど期待できない。,壁に多孔質吸音材料を使用するに当たり、表面を孔あき板やリブ等で保護する場合、開孔率が小さいと共鳴器型の吸音特性が現れることがある。,単層壁による遮音において、同一の材料で壁の厚さを薄くしていくと、コインシデンス効果による遮音性能の低下の影響範囲は、より低い周波数域へ拡大する。,窓に複層ガラスを用いると、共鳴周波数付近においては、同一面密度の単板ガラスより、遮音性能が劣ることがある。,3
H28,環境・設備,11,,冷凍機に関する次の記述のうち、最も不適当なものはどれか。,吸収冷凍機は、一般に、同一容量の遠心冷凍機に比べて、振動及び騒音が小さい。,吸収冷凍機は、一般に、同一容量の遠心冷凍機に比べて、冷却水量が少ない。,吸収冷凍機は、一般に、同一容量の遠心冷凍機に比べて、機内(冷媒循環系)の圧力が低い。,吸収冷凍機は、一般に、同一容量の遠心冷凍機に比べて、消費電力が少ない。,2
H28,環境・設備,12,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,外気冷房の省エネルギー効果は、内部発熱密度が高い建築物ほど期待できる。,単一ダクト方式において、外気冷房を用いた場合、冬期における導入外気の加湿を行うためのエネルギーを削減することができる。,データセンターの空気調和設備の特徴は、「年間連続運転」、「年間冷房」、「顕熱負荷が主体」等であり、計画地の気象条件等によっては、外気冷房や冷却塔フリークーリングが効果的な省エネルギー手法として考えられる。,データセンターのエネルギー効率を定量的に評価する指標PUE (Power Usage Effectiveness)は、「データセンター全体のエネルギー消費量」を「ICT機器のエネルギー消費量」で除した値である。,2
H28,環境・設備,13,,換気設備・排煙設備に関する次の記述のうち、最も不適当なものはどれか。,ボイラー室等の燃焼機器を使用する機械室の換気方式は、第3種換気とする。,置換換気(ディスプレイスメント・ベンチレーション)は、汚染物質が周囲の空気より高温又は軽量の場合に有効である。,隣接した二つの防煙区画において、一般に、防煙垂れ壁を介して一方の区画を自然排煙、他方の区画を機械排煙とすることはできない。,機械排煙設備において、天井の高さが3m未満の居室に設ける排煙口の設置高さ(下端高さ)は、一般に、天井から80cm以内、かつ、防煙垂れ壁の下端より上の部分とする。,1
H28,環境・設備,14,,給排水設備に関する次の記述のうち、最も不適当なものはどれか。,受水槽の材質については、腐食のおそれがあるため、現在、木を使用することはできない。,排水再利用水は、人の健康に係る被害の防止のため、大腸菌が検出されない場合であっても、飲料水として使用することはできない。,給水管を、硬質塩化ビニルライニング鋼管とし、管端防食継手を使用すれば、赤水の発生を防止することができる。,給湯用ボイラーは、常に缶水が新鮮な補給水と入れ替わるため、空気調和設備用温水ボイラーに比べて腐食しやすい。,1
H28,環境・設備,15,,給排水設備に関する次の記述のうち、最も不適当なものはどれか。,病院等の災害応急対策活動に必要な施設においては、受水槽や必要な給水管分岐部に地震の感知により作動する緊急給水遮断弁等を設けることが望ましい。,給湯設備の転倒、移動等による被害を防止するため、満水時の質量が15kgを超える給湯器については、一般に、アンカーボルトによる固定等の転倒防止の措置を講じる。,排水槽において、排水及び汚泥の排出を容易にするため、底部には吸込みピットを設けるとともに、排水槽の底部の勾配は、吸込みピットに向かって1/15以上とする。,一般的な事務所ビルにおいて、災害応急対策として、飲料用受水槽の容量を1日予想給水量の2倍程度に設定する場合は、水道法の規定による残留塩素の濃度を確保するため、塩素注入等を行う。,3
H28,環境・設備,16,,照明設備に関する次の記述のうち、最も不適当なものはどれか。,照明制御の一つの方法として、照度センサを用いて不在エリアを消灯・減光する方法がある。,昼光を利用する照明計画を行う場合には、一般に、日射による空調負荷を抑えるための検討も必要となる。,照度計算に用いられる保守率は、ランプの経年劣化やほこり等による照明器具の効率の低下をあらかじめ見込んだ定数である。,病院の手術室・診察室において使用する照明設備は、事務室において使用する照明設備に比べて、演色性の高い光源とすることが望ましい。,1
H28,環境・設備,17,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,逆潮流は、コージェネレーションシステムや太陽光発電システム等で系統連系を行う場合に、需要家側から商用電力系統へ向かう電力潮流のことである。,燃料電池の発電の原理は、水の電気分解と逆の反応を利用したもので、水素と酸素が結合して電気と水が発生する化学反応である。,集合住宅において、契約電力が60kWを超える場合は、一般に、受変電設備の必要性が高くなる。,電圧の種別において、特別高圧と高圧とを区分する電圧は、6000Vである。,4
H28,環境・設備,18,,防災設備に関する次の記述のうち、最も不適当なものはどれか。,非常用の照明装置の予備電源には、蓄電池を照明器具に内蔵しない方式がある。,差動式熱感知器は、周囲が一定の温度以上になると火災信号を発する感知器である。,補助散水栓は、屋内消火栓のうち2号消火栓(広範囲型を除く。)と同等の放水量を有し、スプリンクラー設備へ配管接続する。,開放型スプリンクラーヘッドは、天井が高く種々の可燃物がある舞台部等に用いる。,2
H28,環境・設備,19,,建築設備に関する次の記述のうち、最も不適当なものはどれか。,一般的な事務所ビルにおいて、水槽類を除く設備機器を同一階に設置する場合、局部震度法による設計用標準震度は、防振支持された設備機器のほうが大きい値となる。,超高層建築物において、中央管理方式の空気調和設備の制御及び作動状態の監視を行うための室として、避難階又はその直上階若しくは直下階に、中央管理室を設ける。,乗用エレベーターは、一般に、火災発生時の乗客の避難を図るため、火災時管制運転により速やかに最寄階に停止させる計画とする。,非常用エレベーターを2基設置する必要がある場合、避難上及び消火上有効な間隔を保って配置する。,3
H28,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,再生可能エネルギーは、自然界に存在し繰り返し再生利用できるエネルギーのことであり、そのエネルギー源としては、太陽光、風力、水力、地熱、バイオマス等がある。,冷凍機に使用される代替冷媒のフロン(HFC)は、オゾン破壊係数はゼロではあるが、温室効果ガスの一種である。,コージェネレーションシステムの原動機としては、ガスエンジン、ディーゼルエンジン、ガスタービン等が使用される。,エレベーターの電力消費は、電力回生制御の有無により変化するが、巻上機のギアの有無には影響されない。,4
H28,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,レストランの調理室は、「居室」である。,地上3階建ての共同住宅における2階の床及びこれを支持するはりに鉄筋を配置する工事の工程は、「特定工程」である。,建築物に設ける消火用の貯水槽は、「建築設備」である。,延べ面積2000m2の警察署は、「特殊建築物」である。,4
H28,法規,2,,面積、高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,延べ面積1000m2の建築物の電気設備室に設置する自家発電設備の設置部分の床面積が20m2の場合、当該部分の床面積については、建築基準法第52条第1項に規定する容積率の算定の基礎となる延べ面積に算入しない。,国土交通大臣が高い開放性を有すると認めて指定する構造の建築物については、その端から水平距離1m以内の部分の水平投影面積は、建築面積に算入しない。,前面道路の境界線から後退した建築物の各部分の高さの制限において、当該建築物の後退距離の算定の特例を受ける場合の「軒の高さ」の算定については、前面道路の路面の中心からの高さとする。,建築物の屋上部分に昇降機塔及び装飾塔がある場合で、それらの水平投影面積の合計が当該建築物の建築面積の1/8以下のものは、階数に算入しない。,1
H28,法規,3,,都市計画区域内における次の行為のうち、建築基準法上、確認済証の交付を受ける必要がないものはどれか。ただし、防火地域、準防火地域又は建築等に関する確認済証の交付を受ける必要がない区域の指定はないものとする。,木造、延べ面積500m2、高さ8m、地上2階建ての共同住宅における、屋根の過半の修繕,鉄骨造、延べ面積80m2、平家建ての一戸建て住宅における、鉄骨造、床面積12m2、平家建ての附属自動車車庫の増築,商業地域内において、鉄筋コンクリート造、延べ面積300m2、地上2階建ての診療所(患者の収容施設があるもの)の、大規模の修繕又は大規模の模様替を伴わない地域活動支援センターへの用途の変更,遊園地に設ける回転運動をする遊戯施設のうち、原動機を使用するメリーゴーラウンドの築造,3
H28,法規,4,,次の記述のうち、建築基準法上、誤っているものはどれか。,木造、延べ面積400m2、地上2階建ての共同住宅を新築する場合においては、当該建築主は、検査済証の交付を受ける前においても、指定確認検査機関が安全上、防火上及び避難上支障がないものとして国土交通大臣が定める基準に適合していることを認めたときは、仮に、当該建築物又は建築物の部分を使用し、又は使用させることができる。,地上3階建ての百貨店 (3階における当該用途に供する部分の床面積の合計が1600 m2のもの)の大規模の修繕の工事で、避難施設等に関する工事の施工中において建築物を使用する場合においては、当該建築主は、仮使用の認定に加え、あらかじめ、工事の施工中における建築物の安全上、防火上又は避難上の措置に関する計画を作成して特定行政庁に届け出なければならない。,延べ面積1000m2、地上4階建ての事務所の敷地、構造及び昇降機以外の建築設備については、当該所有者(所有者と管理者が異なる場合においては、管理者)は、定期に、一級建築士若しくは二級建築士又は国土交通大臣が定める資格を有する者にその状況を調査又は検査をさせてその結果を特定行政庁に報告する必要はない。,建築物の用途の変更についての確認済証の交付を指定確認検査機関から受けた場合においては、当該建築主は、建築物の用途の変更に係る工事が完了したときは、当該指定確認検査機関に届け出なければならない。,4
H28,法規,5,,次の記述のうち、建築基準法上、誤っているものはどれか。,床が地盤面下にあり天井の高さが3mである階で、地盤面から天井までの高さが2m以下のものは、地階である。,高等学校における生徒用の階段で、避難階以外の階から避難階又は地上に通ずる屋外の直通階段の幅は、140cm以上としないことができる。,病院における病室の窓その他の開口部で採光に有効な部分の面積は、用途地域に関係なく算定することができる。,集会場の用途に供する床面積 300m2の居室に、換気に有効な部分の面積が15m2の窓を設けた場合においても、所定の技術的基準に従って、換気設備を設けなければならない。,3
H28,法規,6,,防火区画等に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、「避難上の安全の検証」は行われていないものとする。,準防火地域内においては、地上15階建ての事務所の12階部分で、当該階の床面積の合計が500m2のものは、原則として、床面積の合計100m2以内ごとに防火区画しなければならない。,1階を自動車車庫(当該用途に供する部分の床面積の合計が200m2)とし、2階以上の部分を事務所とする地上5階建ての建築物においては、当該自動車車庫部分と事務所部分とを防火区画しなければならない。,防火区画に接する外壁については、外壁面から50cm以上突出した準耐火構造のひさし、床、袖壁等で防火上有効に遮られている場合においては、当該外壁の所定の部分を準耐火構造とする要件が緩和される。,準防火地域内においては、延べ面積1000m2、地上3階建ての共同住宅の各戸の界壁は、耐火構造とし、小屋裏又は天井裏に達せしめなければならない。,4
H28,法規,7,,耐火建築物等に関する次の記述のうち、建築基準法上、誤っているものはどれか。,防火地域内において、地下1階、地上2階建ての事務所を新築する場合は、耐火建築物としなければならない。,準防火地域内において、延べ面積1000m2、地上3階建ての自動車車庫(各階を当該用途に供するもの)を新築する場合は、耐火建築物としなければならない。,準防火地域内において、延べ面積1000m2、平家建ての倉庫を新築する場合は、耐火建築物又は準耐火建築物としなければならない。,防火地域及び準防火地域以外の区域内において、延べ面積2500m2、地上3階建ての学校を新築する場合は、耐火建築物としなければならない。,4
