年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
R01,計画,11,,都市の再生に関する次の記述のうち、最も不適当なものはどれか。,ハイライン(ニューヨーク)は、廃線になった貨物専用の高架線跡を再利用し、緑豊かな展望公園へと再生させたものである。,ドックランズ再開発計画(ロンドン)は、大規模な区画の整理によって街区を撤去し、中央部を遊歩道とする広場をつくり出したプロジェクトである。,ポツダム広場再開発計画(ベルリン)は、第二次世界大戦とその後の東西分断により長年更地であった敷地に、複合機能をもたせたプロジェクトである。,門司港レトロ地区(北九州市)は、門司港周辺の歴史的建造物群と関門海峡や門司港の景観を活かした街並みが形成されている地区である。,4
R01,計画,12,,ニュータウン及び集合住宅に関する次の記述のうち、最も不適当なものはどれか。,ネクサスワールドのレム棟・コールハース棟(福岡県)は、各住戸に採光と通風を確保するためのプライベートな中庭が設けられた計画である。,基町高層アパート(広島県)は、偶数階に通路をもつ住棟を「く」の字型に連結させた計画である。,千里ニュータウン(大阪府)は、近隣住区の単位にはとらわれず、将来のワンセンター方式への移行等が意図された計画である。,港北ニュータウン(神奈川県)は、公園、保存緑地と緑道、歩行者専用道路とを結ぶネットワークをもつ計画である。,3
R01,計画,13,,日本における住宅の計画に関する次の記述のうち、最も不適当なものはどれか。,四間取は、土間を除く床上部分を田の字型に4室構成とする、伝統的な農家の平面形式の一つである。,公営住宅標準設計51C型は、住生活の多様化に対応するため、食事室と台所とを分離した計画である。,テラスハウスは、区画された専用庭をもつ住戸を、境界壁を介して連続させた接地型の低層集合住宅である。,コーポラティブハウスは、自ら居住する住宅を建設しようとする者が組合を結成し、共同して事業計画を定め、建築物の設計、工事発注等を行って住宅を取得し、管理していく方式である。,1
R01,計画,14,,劇場に関する次の記述のうち、最も不適当なものはどれか。,能楽堂は、一般に、「本舞台」、「後座」、「地謡座」及び「橋掛り」から成り立つ舞台と、その舞台を3方向から眺める客席をもつ空間である。,1997年に復元されたロンドンのシェークスピア劇場(グローブ座)は、観客と舞台との一体感を得られやすいプロセニアム形式の劇場である。,搬出入のためのサービスヤードにおいて、ウィング式の大型トラックが停車するスペースの、床から天井までの高さは5m以上とすることが望ましい。,車椅子使用者用の客席は、車椅子使用者が選択できるように、2箇所以上の異なる位置に分散して設けることが望ましい。,4
R01,計画,15,,木材を活用した建築物に関する次の記述のうち、最も不適当なものはどれか。,住田町役場(岩手県)は、凸レンズ状に組まれたトラス梁が並んだ屋根架構をもつ建築物である。,群馬県農業技術センター(群馬県)は、小断面の製材を格子状に組み合わせた屋根架構をもつ建築物である。,海の博物館展示棟(三重県)は、主要構造部の柱や梁には、鋼材を内蔵した集成材を使用し、外壁にはガラスカーテンウォールと木製ルーバーを使用した建築物である。,出雲ドーム(島根県)は、集成材とケーブル等で構成された立体張弦アーチと、膜屋根を組み合わせた架構をもつ建築物である。,1
R01,計画,16,,病院に関する次の記述のうち、最も不適当なものはどれか。,病院は、医業又は歯科医業を行う場所であり、20人以上の患者を入院させるための施設を有するものである。,療養病床における1病室当たりの病床数は、4床以下とする。,1看護単位当たりの病床数は、80床を標準とする。,療養病床における患者の利用する廊下の幅は、医療法に基づき、片側に病室がある場合、内法による測定で1.8m以上とする。,4
R01,計画,17,,美術館(設計者)に関する次の記述のうち、最も不適当なものはどれか。,ニューヨーク近代美術館(谷口吉生)は、敷地の北側と南側に通抜けが可能なエントランスホールがあり、中庭と連続する空間となっている。,ロサンゼルス現代美術館(磯崎新)は、赤砂岩の外壁をもつ基壇部があり、その基壇部の上にピラミッド型のトップライト等が配置されている。,フォートワース現代美術館(安藤忠雄)は、平行に並べられた長方形の室によって展示室が構成され、その展示室には日差しへの配慮から深い庇が掛けられている。,アスペン美術館(坂茂)は、建築物の中央部にアトリウムがあり、アトリウムに面した螺旋状のスロープによって、最上階から地上階まで連続した空間となるように計画されている。,1
R01,計画,18,,建築物の設計・工事監理等に関する次の記述のうち、最も不適当なものはどれか。,四会連合協定「建築設計・監理等業務委託契約約款」における建築設計業務委託契約において、委託者は、必要があると認めるときは、受託者に書面をもって通知して、設計業務の全部又は一部の中止を請求することができる。,四会連合協定「建築設計・監理等業務委託契約約款」における建築設計業務委託契約において、受託者は、委託者の承諾なく、成果物、未完了の成果物及び設計業務を行ううえで得られた記録等を他人に閲覧させ、複写させ、又は譲渡してはならない。,建築士法に定められた、設計又は工事監理の契約を締結する際に行う重要事項(業務の内容及びその履行に関する事項)の説明等は、管理建築士以外の建築士が行ってはならない。,工事監理業務においては、一般に、民法における「善良な管理者の注意義務(善管注意義務)」が求められており、この義務を怠り損害が生じた場合には、監理業務委託契約書に明記されていなくても過失責任が問われることがある。,4
R01,計画,19,,建築積算に関する次の記述のうち、建築工事建築数量積算研究会「建築数量積算基準」に照らして、最も不適当なものはどれか。,コンクリートの数量において、窓、出入口等の開口部によるコンクリートの欠如は、建具類等の開口部の内法寸法とコンクリートの厚さとによる体積とし、1箇所当たりの開口部の体積が0.5m?以下の場合は、コンクリートの欠除はないものとする。,型枠の数量において、コンクリートの上面が傾斜している場合、その勾配が3/10を超えるものについては、その部分の上面型枠又はコンクリートの上面の処理を計測・計算の対象とする。,鉄骨の溶接の数量において、原則として、溶接の種類に区分し、溶接断面形状ごとに長さを求め、すみ肉溶接脚長6mmに換算した延べ長さとする。,全面がガラスである建具類のガラスの数量において、かまち、方立、桟等の見付幅が0.1mを超えるものがあるときは、その面積を差し引いた面積とする。,3
R01,計画,20,,建築のマネジメント等に関する次の記述のうち、最も不適当なものはどれか。,公共工事におけるECI方式は、設計段階の技術協力の実施期間中に、施工の数量・仕様を確定したうえで工事契約をする方式であり、施工性等の観点から施工者の提案が行われることにより、施工段階における設計変更の発生リスクの減少等が期待できる。,建築物におけるコミッショニングは、一般に、環境・エネルギー性能等の観点から建築物のオーナーやユーザーが求める要求性能を把握して、その要求性能の実現を検証することである。,BCPは、企業が災害や事故で被害を受けても、重要な業務が中断しないこと、中断しても可能な限り短い期間で再開すること等、事業の継続を追求するための計画である。,CRE戦略は、国や地方公共団体の事業コストの削減や、より質の高い公共サービスの提供を目的として、民間の資金、経営能力及び技術的能力を活用して公共施設等の設計、建設、維持管理及び運営を行う手法である。,3
R01,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,等価騒音レベルは、聴感補正された音圧レベルのエネルギー平均値であり、一般に、変動する騒音の評価に用いられる。,プルキンエ現象は、視感度の相違によって、明所視に比べ暗所視において、赤が明るく、青が暗く見える現象である。,空気齢は、流入口から室内に入った所定量の空気が、室内のある地点に到達するまでに経過する平均時間である。,作用温度(OT)は、一般に、発汗の影響が小さい環境下における熱環境に関する指標として用いられ、空気温度と平均放射温度の重み付け平均で表される。,4
R01,環境・設備,2,,容積が100m?の室において、室内の水蒸気発生量が0.6kg/h、換気回数が1.0回/hのとき、十分に時間が経過した後の室内空気の重量絶対湿度として、最も適当なものは、次のうちどれか。ただし、室内の水蒸気は室全体に一様に拡散するものとし、外気の重量絶対湿度を0.010kg/kg(DA)、空気の密度を1.2kg/m?とする。なお、乾燥空気1kgを1kg(DA)と表す。,0.005 kg/kg(DA),0.010 kg/kg(DA),0.015 kg/kg(DA),0.020 kg/kg(DA),4
R01,環境・設備,3,図あり,外気温度5℃、無風の条件の下で、図のような上下に開口部を有する断面の建築物A・B・Cがある。室内温度がいずれも18℃に保たれ、上下各々の開口面積がそれぞれ0.4m?、0.6m?、0.7m?、開口部の中心間の距離がそれぞれ4m、2m、1mであるとき、建築物A・B・Cの換気量QA・QB・QCの大小関係として、正しいものは、次のうちどれか。ただし、いずれの開口部も流量係数は一定とし、中性帯は開口部の中心間の中央に位置するものとする。なお、√2≒1.4として計算するものとする。,QA > QB > QC,QB > QA > QC,QB > QC > QA,QC > QB > QA,1
R01,環境・設備,4,,建築物の伝熱に関する次の記述のうち、最も不適当なものはどれか。,外壁において、熱橋部分の室内側表面温度は、一般に、熱橋部分以外の部分の室内側表面温度に比べて、外気温度に近くなる。,複層ガラスの中空層が完全な真空であると仮定すると、複層ガラスの熱貫流率は、0(ゼロ)となる。,壁体内の密閉された中空層の熱抵抗は、中空層の厚さが100mmを超えるとほとんど変化しない。,外壁面の外気側における総合熱伝達率は、外壁面が外気温度に等しい黒体で覆われていると仮定し、日射や夜間放射の影響がないものとみなした値である。,2
R01,環境・設備,5,,建築物における防火・防災に関する次の記述のうち、最も不適当なものはどれか。,縦長の窓は、横長の窓に比べて噴出する火炎が外壁から離れにくいことから、上階への延焼の危険性が高い。,病院の手術室、ICU、NICU等は、籠城区画として計画することが望ましい。,不特定多数の者が利用する大規模量販店等において、売場の避難出口の扉は、廊下等の有効幅員に配慮しつつ、外開きにすることが望ましい。,避難時に利用する階段室への出入口の有効幅員は、一般に、流動係数を考慮し、階段の有効幅員よりも狭くする。,3
R01,環境・設備,6,,日照・日射に関する次の記述のうち、最も不適当なものはどれか。,窓面における日照・日射の調整のために設けるルーバーは、一般に、南向き窓面には水平のものが、西向き窓面には垂直のものが有効である。,北緯35度のある地点における春分・秋分の日の終日日射量は、終日快晴の場合、どの向きの鉛直面よりも水平面のほうが大きい。,直射日光の色温度は、正午頃より日没前頃のほうが高い。,ライトシェルフは、その上面で反射した昼光を室内の奥に導くことから、室内照度の均斉度を高めることができる。,2
R01,環境・設備,7,図あり,図のような点光源に照らされた水平な受照面上の点Pにおいて、I(点光源の光度)、r(点光源から点Pまでの距離)、θ(点光源から点Pへの入射角)及び点Pにおける水平面照度の組合せとして、最も不適当なものは、次のうちどれか。ただし、点光源の配光特性は一様なものとする。,I(cd)=100  r(m)=2  θ(度)=0  点Pにおける水平面照度(lx)=25,I(cd)=100  r(m)=1  θ(度)=60  点Pにおける水平面照度(lx)=50,I(cd)=25  r(m)=0.5  θ(度)=0  点Pにおける水平面照度(lx)=100,I(cd)=50  r(m)=0.5  θ(度)=60  点Pにおける水平面照度(lx)=200,2
R01,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,減法混色の三原色は、一般に、シアン、マゼンタ及びイエローである。,同化現象は、囲まれた色や挟まれた色が周囲の色に近づいて見えることをいう。,JISの物体色の色名における有彩色の系統色名は、基本色名に「明度に関する修飾語」、「彩度に関する修飾語」及び「色相に関する修飾語」の3種類の語を付記して色を表示する。,照度と色温度の関係において、一般に、低照度では色温度の低い光色が好まれ、高照度では色温度の高い光色が好まれる。,1
R01,環境・設備,9,,音響に関する次の記述のうち、最も不適当なものはどれか。,聴覚のマスキングは、マスカー(マスクする音)の周波数に近い音ほどマスクされやすく、マスカーの周波数に比べ、低い音のほうが高い音よりもマスクされやすい。,カラレーションは、「直接音」と「短い遅れ時間の反射音」の干渉によって、音色の変化等が知覚される現象をいう。,室容積が同じ場合であっても、一般に、西洋音楽のためのコンサートホールとオペラハウスとでは、最適残響時間が異なる。,学校の普通教室においては、平均吸音率が0.2程度となるように、吸音対策を施すことが望ましい。,3
R01,環境・設備,10,,吸音・遮音に関する次の記述のうち、最も不適当なものはどれか。,孔あき板と剛壁との間に空気層を設けた吸音構造の固有周波数は、空気層の厚みを大きくすると低周波数域に移動する。,駅、空港、ショッピングモール等の公共施設においては、放送音声の聞こえやすさを確保するため、一般に、吸音処理を避けることが望ましい。,乾式二重床を採用する場合は、床板とスラブとの間の空気層をバネとする共振系が形成されることから、低周波数域において床衝撃音の遮断性能が低下することがある。,壁の音響透過損失を10dB増加させるためには、壁の音響透過率を現状の1/10にする必要がある。,4
R01,環境・設備,11,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,ペリメーターレス化は、ペリメーターゾーンにおける熱負荷を、建築的手法と設備的手法とを組み合わせて可能な限り減少させ、ペリメーターゾーンをインテリアゾーンに近い温熱環境とすることである。,熱負荷に応じて送風量を調整する変風量(VAV)方式は、VAVユニットを部屋ごと又はゾーンごとに配置することから、個別の温度制御が可能である。,外気冷房は、外気のエンタルピーが室内空気のエンタルピーよりも高い場合に、それらのエネルギーの差を冷房に利用するものである。,ダブルスキンは、外壁の一部又は全てをガラスの二重構造とし、その中間の空気の換気等による熱負荷低減、及び室内の窓際の環境改善を図ったものである。,3
R01,環境・設備,12,,空気調和・換気設備に関する次の記述のうち、最も不適当なものはどれか。,シックハウス対策のための居室の換気を機械換気方式で行う場合、必要有効換気量を求める際の換気回数は、当該居室の天井の高さによっては、その天井の高さの区分に応じて低減することができる。,半導体や液晶を製造する工場のクリーンルームにおいては、一般に、清浄度を保つために周囲の空間に対して正圧となるように制御を行い、塵埃の流入を防止する。,空調機のウォーミングアップ制御は、一般に、外気ダンパーを全閉にするとともに還気ダンパーを全開にする制御等を行い、空調の立ち上がり時間を短縮する方法である。,中央熱源空調方式は、在館者それぞれの要望に対応することができないことから、パーソナル空調方式としては採用されない。,1
R01,環境・設備,13,,空気調和・換気設備に関する次の記述のうち、最も不適当なものはどれか。,長方形ダクトの断面のアスペクト比を、6:1とした。,セントラルダクト方式を採用した高層建築物において、低圧ダクトではダクトスペースが建築面積に対して大きな割合となることから、高圧ダクトとした。,天井から下向きに軸流吹出し口を設置する事務室の計画に当たり、居住域の上面における風速が0.5m/s以下となるようにした。,水蓄熱槽の性能を十分に発揮させるために、槽内の高温水と低温水とを可能な限り分離させた。,2
R01,環境・設備,14,,給水設備に関する次の記述のうち、最も不適当なものはどれか。,水道直結直圧方式は、水道本管の圧力を利用して建築物内の必要箇所に給水する方式であり、一般に、3階建て以下の建築物で小規模なものに適用することができる。,高置水槽方式は、水道本管からの水を受水槽へ貯水した後に、屋上等に設置した高置水槽へ揚水し、そこから重力を利用して建築物内の必要箇所に給水する方式であり、一般に、大規模な建築物にも適用することができる。,水道直結増圧方式は、水道本管の圧力に加えて増圧ポンプによって建築物内の必要箇所に給水する方式であり、一般に、水道本管への逆流について考慮する必要はない。,ポンプ直送方式は、水道本管からの水を受水槽へ貯水した後に、給水ポンプによって建築物内の必要箇所に給水する方式であり、一般に、建築物が停電した際は給水することができない。,3
R01,環境・設備,15,,給排水衛生設備に関する次の記述のうち、最も不適当なものはどれか。,災害応急対策活動に必要な医療施設において、地震災害時に使用できる水を確保するために、受水槽に地震の感知により作動する緊急給水遮断弁を設けた。,雨水排水管と汚水排水管とを別系統で配管した建築物において、公共下水道が合流式であったことから、雨水排水と汚水排水とを屋外の排水ますで同一系統とした。,循環式の中央式給湯設備において、レジオネラ属菌の繁殖を防ぐために、貯湯槽内の湯の温度を60℃以上に保つこととした。,伸頂通気方式の排水通気配管において、通気流速を高めるために、伸頂通気管の管径を排水立て管の管径よりも1サイズ小さいものとした。,4
R01,環境・設備,16,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,電圧の種別において、交流で600V以下のものは、低圧に区分される。,力率は、交流回路に電力を供給する際の「皮相電力(電圧と電流との積)」に対する「有効電力」の比率である。,幹線に使用する配線方式において、バスダクト方式は、負荷の増設に対応しにくいことから、小容量の電力供給に限られている。,無停電電源装置(UPS)は、整流器、蓄電池、インバータ等により構成され、瞬間的な電圧降下時や停電時においても安定した電力供給を維持するためのものである。,1
R01,環境・設備,17,,照明設備に関する次の記述のうち、最も不適当なものはどれか。,病院の手術室及び診察室の照明設備において、事務室に使用する光源に比べて演色性の低い光源を使用した。,住宅のリビングの間接照明において、熱放射が少なく、ランプ交換等のメンテナンス頻度が少ないLEDランプを使用した。,事務室の照明計画において、ランプのサイズが小さく高輝度のLEDランプを使用するに当たり、グレアに配慮して、光源が直接目に入らないようにした。,事務室の照明計画において、ブラインドの自動制御により昼光を利用し、かつ、照度センサーを用いた照明の制御も併せて行うことにより、消費電力が少なくなるようにした。,3
R01,環境・設備,18,,防災設備に関する次の記述のうち、最も不適当なものはどれか。,水噴霧消火設備は、噴霧水による冷却作用と噴霧水が火炎に触れて発生する水蒸気による窒息作用等により、火災の抑制・消火をする固定式の消火設備である。,排煙設備は、専用の設備として設けることが原則であるが、換気設備が排煙設備としての性能を有していることが確認された場合には、兼用が認められることがある。,屋外消火栓設備は、防火対象物の外部に設置され、建築物の1階部分及び2階部分で発生した火災の消火や隣接する建築物への延焼防止を目的としている。,連結送水管は、地下階の火災の際、消火活動を容易にするために、消防ポンプ自動車から送水し、天井又は天井裏の散水ヘッドから放出することにより消火する設備である。,4
R01,環境・設備,19,,建築設備に関する次の記述のうち、最も不適当なものはどれか。,冷却塔は、冷却水の蒸発による冷却作用を有効に利用するため、建築物の外気取入れ口に近い位置に計画することが望ましい。,リバースリターン方式は、往き管と還り管の流量が等しい循環配管系には適しているが、給湯管と返湯管で流量が大きく異なる場合には適さない。,分流式下水道の区域において、雨水管の敷地境界部には、下水道本管からの害虫等の侵入防止を目的として、雨水トラップを設ける必要がある。,空調用の蓄熱槽の水は、必要な措置が講じられている場合には、消防用水として使用することができる。,3
R01,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,微気候は、一般に、建築物や人体への影響が大きい地表面近くの気候、室内環境における建築部材付近や人体の皮膚付近の気候等をいう。,バスタブ曲線は、グラフの縦軸を故障率、横軸を時間とし、設備の信頼性や保全性の概念を示したものである。,冷凍機に使用される代替冷媒のフロン(HFC)は、オゾン破壊係数は0(ゼロ)であるが、地球温暖化係数が高い温室効果ガスの一種である。,CASBEEの評価においては、BEEの値が小さいほど建築物の環境性能が高いと判断される。,1
R01,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,建築物の周囲において発生する通常の火災による延焼の抑制に一定の効果を発揮するために外壁に必要とされる性能を、「準防火性能」という。,天井面から50cm下方に突出した垂れ壁で、不燃材料で覆われたものは、「防煙壁」に該当する。,電子計算機に対する指令であって、一の結果を得ることができるように組み合わされたものを、「プログラム」という。,木造、地上2階建ての建築物において、土台の過半について行う修繕は、「大規模の修繕」に該当する。,4
R01,法規,2,,面積、高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,前面道路の境界線から後退して壁面線の指定がある場合において、特定行政庁の許可を受けて建築物の容積率の算定に当たり当該前面道路の境界線が当該壁面線にあるものとみなす建築物については、当該建築物の敷地のうち前面道路と壁面線との間の部分の面積は、敷地面積又は敷地の部分の面積に算入しない。,前面道路との関係についての建築物の各部分の高さの制限に係る建築物の後退距離の算定の特例の適用を受ける場合、ポーチの高さの算定については、前面道路と敷地との高低差にかかわらず、地盤面からの高さによる。,北側の前面道路又は隣地との関係についての建築物の各部分の高さの最高限度が高度地区に関する都市計画において定められている場合の高さの算定に当たっては、建築物の屋上部分にある階段室で、その水平投影面積の合計が当該建築物の建築面積の1/8であるものについては、その部分の高さは、当該建築物の高さに算入する。,建築物の地下1階(機械室、倉庫及び防災センター(中央管理室)の用途に供する。)で、水平投影面積の合計が当該建築物の建築面積の1/8であるものについては、当該建築物の階数に算入する。,2
R01,法規,3,,都市計画区域内における次の行為のうち、建築基準法上、確認済証の交付を受ける必要がないものはどれか。ただし、建築等に関する確認済証の交付を受ける必要がない区域の指定はないものとする。,鉄骨造、延べ面積300m?、平家建ての倉庫の屋根の過半の修繕,共同住宅の新築工事を施工するために設ける鉄骨造、延べ面積200m?、地上2階建ての仮設の工事管理事務所であって、現場以外の場所に設けるものの新築,鉄骨造、延べ面積100m?、高さ5m、平家建ての一戸建ての住宅における、鉄骨造、床面積15m?、平家建ての附属自動車車庫の増築,第一種住居地域内において、鉄筋コンクリート造、延べ面積500m?、地上2階建ての診療所(患者の収容施設があるもの)の、有料老人ホームへの用途変更(大規模の修繕又は大規模の模様替を伴わないもの),4
R01,法規,4,,次の記述のうち、建築基準法上、誤っているものはどれか。,鉄骨造、延べ面積1000m?、地上3階建ての共同住宅を新築する場合においては、当該建築物の建築主は、検査済証の交付を受ける前においても、指定確認検査機関が安全上、防火上及び避難上支障がないものとして国土交通大臣が定める基準に適合していることを認めたときは、仮に、当該建築物又は建築物の部分を使用し、又は使用させることができる。,延べ面積3000m?、地上5階建ての事務所の用途に供する建築物(国等の建築物を除く。)で特定行政庁が指定するものの所有者等は、当該建築物の敷地、構造及び建築設備について、定期に、一級建築士若しくは二級建築士又は国土交通大臣から所定の資格者証の交付を受けた者にその状況の調査をさせて、その結果を特定行政庁に報告しなければならない。,延べ面積800m?、地上5階建ての事務所について、ホテルの用途に供する部分の床面積の合計が500m?となる用途の変更に係る確認済証の交付を指定確認検査機関から受けた場合において、建築主は、当該工事が完了したときは、当該指定確認検査機関の検査を申請しなければならない。,延べ面積5000m?、地上5階建ての百貨店(3階以上の階における百貨店の用途に供する部分の床面積の合計が3000m?のもの)の大規模の修繕の工事で、避難施設等に関する工事の施工中において、当該建築物を使用する場合においては、当該建築主は、仮使用の認定を受けるとともに、あらかじめ、当該工事の施工中における当該建築物の安全上、防火上又は避難上の措置に関する計画を作成して特定行政庁に届け出なければならない。,3
