年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和3年,計画,11,,都市開発やまちづくりに関する次の記述のうち、最も不適当なものはどれか。,北海道札幌市では、都市再生特別地区の指定により、建築物の形態意匠の制限の他、建築物の高さの最高限度や敷地面積の最低限度を定めることで市街地の良好な景観形成に取り組んでいる。,富山県富山市では、レジリエンス戦略を策定し、自然災害による大きな被害や少子高齢化等の社会構造の変化に直面しても、速やかに復興し、さらに成長する能力や強靭さを有する都市づくりに取り組んでいる。,香川県高松市では、タウンマネジメント・プログラムにより、第三セクターを設立し、地域住民や事業者、地権者を主体としたまちづくりが実践されている。,福岡県北九州市では、民間自立型による家守事業者の設立や定期的なリノベーションスクールの開催により、遊休不動産を活用した「リノベーションまちづくり」が実践されている。,1
令和3年,計画,12,,日本の伝統的な住宅・集落等の計画に関する次の記述のうち、最も不適当なものはどれか。,卯建とは、一般に、妻壁を屋根面より高く突き出し、小屋根を付けた部分のことで、建築物の装飾としてだけではなく、防火性能を兼ね備えている。,築地塀とは、一般に、方形の平瓦を並べ四隅を釘留めし、目地に漆喰を盛り上げた外壁仕上げである。,岩手県下に多く見られた曲り屋造りとは、L字型の平面形状を有し、突出部は厩で母屋の土間とつながる民家形式の一つである。,輪中とは、河川の氾濫する低湿地帯で、周囲に堤防を築き、集落と耕地を守る水防のための集落形態のことである。,2
令和3年,計画,13,,自然災害からの復興支援のための住宅、住宅地等の計画に関する次の記述のうち、最も不適当なものはどれか。,防災集団移転促進事業とは、災害が発生した地域又は建築基準法に基づく災害危険区域のうち、住民の居住に適当でないと認められる区域内にある住居の集団的移転を促進することを目的したものである。,応急借上げ住宅とは、地方自治体が民間賃貸住宅を借り上げて仮設住宅として供与するものであり、東日本大震災以降は「みなし仮設住宅」とも呼ばれているものである。,陸前高田のみんなの家(岩手県)は、東日本大震災の津波で立ち枯れたスギの丸太を用い、被災した人々の集いの場としてつくられた集会場である。,グループハウス尼崎(兵庫県)は、阪神・淡路大震災後に被災者を対象に建設された、高齢者向け住戸と一般向け住戸で構成され、サポート拠点(サポートセンター)を併設した災害公営住宅である。,4
令和3年,計画,14,,建築物と周辺環境に関する次の記述のうち、最も不適当なものはどれか。,TIME'S I・II(京都府)は、屋根全体を大階段の展望広場とし、その大階段を二分するスリット状のアプローチが人々をエントランスに導くように計画された。,アオーレ長岡(新潟県)は、駅前に建てられた市民協働・市民交流の拠点であり、大通りに開かれた屋根付き広場を中心に、アリーナ、市民交流スペース、市役所、議会等を配置した複合施設として計画された。,太田市美術館・図書館(群馬県)は、建築物の屋内外を巡るスロープや階段、テラス、緑化された屋上を備え、駅前からは施設の賑わいが見え、また、施設からは街が眺められるように計画された。,代官山ヒルサイドテラス(東京都)は、建築群が内包する広場や路地等を主要素として外部空間を形成し、周囲の純和式建築物や庭園とゲートによってつながるように計画された。,1
令和3年,計画,15,,公共建築物等の計画に関する次の記述のうち、最も不適当なものはどれか。,福岡市立博多小学校(福岡県)は、オープンプラン型を採用し、旧来型の職員室の代わりに壁のない教員コーナーやワーキングスペースを設けることで、複数の教員で児童を見守ることのできる空間整備が行われた。,立命館大学大阪いばらきキャンパス (大阪府)は、工場跡地において、官民が連携し、防災公園と一体化して計画された。,石巻市庁舎(宮城県)は、百貨店を転用したもので、既存エスカレーターをそのまま活用し、売り場は執務スペースへ、映画館は議場へと改修された。,大田区役所本庁舎(東京都)は、1960年代に建てられた民間の事務所ビルを転用したもので、外部及び内部デザインを継承しながら、3階エントランスは各種イベントに対応できるように、設備改修が施された。,4
令和3年,計画,16,,高齢者施設に関する次の記述のうち、最も不適当なものはどれか。,認知症高齢者グループホームにおいて、家庭にできるだけ近い環境で生活できるように、1ユニットの定員を8人とした。,小規模多機能型居宅介護施設において、要介護者が短期間宿泊するための宿泊室は個室とし、その床面積を、1室当たり10m?とした。,二つのユニットを有する個室ユニットケア型特別養護老人ホームにおいて、隣接するユニットの共同生活室は共用として、二つのユニットが一体的に使えるようにした。,個室ユニットケア型特別養護老人ホームにおいて、入居者の個室内にトイレを設けない場合、排泄リズムの重なる場合が多いことを配慮し、個室からトイレに至る動線を短くし、トイレを個室3部屋に対し一つ以上設けた。,3
令和3年,計画,17,,歴史的建築物の改修や保存に関する次の記述のうち、最も不適当なものはどれか。,倉敷アイビースクエア(岡山県)は、明治初期に建設された工場を商業施設に改修し、中央に設けたガラス屋根のアトリウムを市民に開放することで、公共性の高い空間を実現したものである。,金沢市民芸術村(石川県)は、大正から昭和初期に建設された紡績工場の倉庫を改修し、工房、レストラン、オープンスペース等から構成される芸術文化施設へ再生させたものである。,千葉市美術館(千葉県)は、昭和初期に銀行として建設された既存建築物全体を新築の建築物で覆う「鞘堂」という日本古来の方式により整備したものである。,ロームシアター京都(旧京都会館)(京都府)は、昭和30年代に建設された既存建築物を保存し、意匠的な要素を再現しながら、増築と一部建て替えを行うことで、機能拡充が図られたものである。,1
令和3年,計画,18,,設計・監理業務等に関する次の記述のうち、建築士法第25条の規定に基づく「建築士事務所の開設者がその業務に関して請求することのできる報酬の基準(平成31年国土交通省告示第98号)」に照らして、最も不適当なものはどれか。,業務経費は、それぞれ算定される直接人件費、特別経費、直接経費及び間接経費の合計額であり、これらの経費には課税仕入れの対価に含まれる消費税に相当する額は含まれない。,特別経費は、設計等の業務において発揮される技術力、創造力等の対価として支払われる費用である。,設計者は、設計図書の定めにより、工事施工段階において行うことに合理性がある工事材料、設備機器等及びそれらの色、柄、形状等の選定に関して、設計意図の観点からの検討を行い、必要な助言を建築主に対して行う。,工事監理者は、設計図書の定めにより、工事施工者が作成し、提出する施工図、製作見本、見本施工等が設計図書の内容に適合しているかについて検討し、建築主に報告する。,2
令和3年,計画,19,,建築積算に関する次の記述のうち、建築工事建築数量積算研究会「建築数量積算基準」に照らして、最も不適当なものはどれか。,「計画数量」は、設計図書に基づいた施工計画により求めた数量をいい、仮設や土工等の数量がこれに該当する。,主仕上の数量において、衛生器具、電気器具、換気孔、配管、配線等の器具の類による各部分の仕上の欠除が1か所当たり0.5m?以下の欠除については、原則として、ないものとして計測・計算する。,鉄骨の数量において、1か所当たり0.5m?以下のダクト孔による鋼材の欠除については、原則として、ないものとして計測・計算する。,仕上改修において、設計図書に改修に必要な余幅の図示がないときは、適切な余幅を加えて計測・計算することができる。,3
令和3年,計画,20,,建築のマネジメントに関する次の記述のうち、最も不適当なものはどれか。,コンセッション方式とは、料金の徴収を行う公共施設において、施設の所有権と運営権を民間業者へ移行する方式のことである。,デザインレビューとは、設計や施工等の各部門の専門家が、設計段階で性能・機能・信頼性等を価格、納期等を考慮しながら、設計について審査し改善を図ることである。,フロントローディングとは、施工段階や維持管理段階における問題点の早期発見や作業全体の効率化を目指し、設計段階で各種の技術検討を行うことである。,CRE戦略とは、企業が保有している不動産について、企業価値向上の観点から、経営戦略的視点に立って見直しを行い、不動産投資の効率性を最大限向上させるための考え方である。,1
令和3年,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,露点温度は、絶対湿度を一定に保ちながら空気を冷却した場合に、相対湿度が100%となる温度である。,グレアは、視野の中に輝度の高い光源が入ってきたときに起こり、周囲の輝度からの影響を受けない。,ビル風は、建築物の見付面積が大きく、風をより多くせき止めるほど、一般に、剥離する領域が大きくなる。,カクテルパーティ効果は、周囲が騒がしい環境であっても聴きたい音を選択的に聴き取ることができる、聴覚上の性質である。,2
令和3年,環境・設備,2,,室内の温熱環境に関する次の記述のうち、最も不適当なものはどれか。,予測平均温冷感申告(PMV)の値が0に近づくに従って、予測不満足者率(PPD)は高くなる。,平均放射温度(MRT)は、グローブ温度、空気温度及び気流速度から求められる。,冷たい壁面による不快感を生じさせないためには、放射の不均一性(放射温度の差)を10℃未満にすることが望ましい。,着席安静時における日本人の平均的な体格の成人男性の代謝量は、約100W/人である。,1
令和3年,環境・設備,3,,換気に関する次の記述のうち、最も不適当なものはどれか。,静止型の全熱交換器を採用する場合、全熱交換素子の通気抵抗が大きいので、一般に、給気側と排気側の両方に送風機が必要となる。,汚染空気が周囲から流入してはならない手術室やクリーンルーム等においては、第二種機械換気方式又は室内の気圧を周囲より高くした第一種機械換気方式とする。,住宅の全般換気をトイレ、浴室、台所等の水まわり部分からのファンによる排気によって行う場合、居室に設ける自然給気口は、温熱環境に影響を及ぼさないように、床面から0.5m以下に設置することが望ましい。,建築物が風圧力のみによって換気される場合、その換気量は、外部風向と開口条件が同じであれば、概ね外部風速に比例する。,3
令和3年,環境・設備,4,,建築物の伝熱に関する次の記述のうち、最も不適当なものはどれか。,冬期において、二重サッシの間の結露を防止するためには、屋外側よりも室内側のサッシの気密性能を高くするとよい。,室内の壁表面における自然対流熱伝達率は、壁表面と室内空気との温度差が大きくなるほど高くなる。,繊維系断熱材は、含水率が増加すると水の熱伝導抵抗が加わるので、断熱性能が向上する。,複層ガラスにおいて、Low-Eガラスを屋外側に用いると、室内側に用いる場合に比べて遮熱性が高まる。,3
令和3年,環境・設備,5,,建築物における防火・防災に関する次の記述のうち、最も不適当なものはどれか。,火災時に空気と分離した煙が平面方向に広がる速さは、避難における歩行速度にほぼ等しい。,劇場の防災計画において、階段を下りる速度は、一般に、0.6m/秒で想定する。,超高層建築物や医療福祉施設では、災害時に一気に外部まで避難することが困難な場合が想定されるので、避難経路の途中又は途中階に一時的に滞留できる空間を確保することが望ましい。,居室内避難における歩行距離は、一般に、家具の配置にかかわらず、出口に最も遠い地点から出口までの直線距離とする。,4
令和3年,環境・設備,6,,日照・日射に関する次の記述のうち、最も不適当なものはどれか。,夏至の日に終日日影となる部分を、永久日影という。,建築物の形状と日影の関係において、4時間以上日影となる領域の面積は、一般に、建築物の東西方向の幅よりも高さから受ける影響が大きい。,南面と西面の外壁条件が同一である建築物の周囲に落葉樹を植える場合は、その落葉樹の位置は、一般に、南側より西側としたほうが、その建築物の冷暖房負荷の軽減に有効である。,鉛直壁面の中央付近に設けられる同一面積の窓からの採光においては、一般に、横長窓より縦長窓のほうが、床面の照度の均斉度は高い。,2
令和3年,環境・設備,7,,照明に関する次の記述のうち、最も不適当なものはどれか。,ある視対象面の明るさは、その面に入射する光から求められる照度のみからでは、予測することができない。,CIE標準曇天空では、天頂に対する相対的な輝度分布は、方位にかかわらず、高度のみにより決まる。,配光曲線は、光源の各方向に対する照度の分布を示すものである。,平均演色評価数(Ra)は、相関色温度が同じ光源であっても異なる場合がある。,3
令和3年,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,マンセル表色系において、マンセルバリューが5の色の視感反射率は、一般に、約20%である。,減法混色とは、複数の色光を混ぜ合わせて別の色の知覚を生じさせることをいい、もとの色の数が増加するほど明るくなる。,LED等の人工光源から発せられる光は、相関色温度が等しくても、異なる光色に知覚される場合がある。,XYZ表色系における三刺激値X、Y、Zのうち、Yは、反射物体の色の場合には、視感反射率を示す。,2
令和3年,環境・設備,9,,吸音・遮音に関する次の記述のうち、最も不適当なものはどれか。,単層壁の遮音において、同一の材料の場合、壁の厚さが薄いほど、コインシデンス効果による遮音性能の低下は、より高い周波数域で発生する。,壁の吸音率は、「壁へ入射する音のエネルギー」に対する「壁内部に吸収される音のエネルギーと壁の反対側へ透過する音のエネルギーとの和」の割合である。,子どもの飛び跳ねのような重量床衝撃源による床衝撃音については、カーペット等の柔らかい床仕上げ材を用いても、遮断性能の大幅な向上は期待できない。,中空二重壁の共振透過において、同一の材料を用いて壁間の空気層を厚くすると、共振周波数は高くなる。,4
令和3年,環境・設備,10,,音響に関する次の記述のうち、最も不適当なものはどれか。,音の大きさの感覚量は、音圧レベルが一定の場合、低音域で小さく、10kHz付近で最大となる。,防音塀は、音の回折による減衰を利用して、騒音を低減化するものであり、一般に、低音域よりも高音域において有効である。,無限大の面音源から放射された音は、距離減衰することなく伝搬する。,室内の平均吸音率が大きい場合、セイビン (Sabine)の残響式により求めた残響時間は、アイリング (Eyring)の残響式により求めたものに比べると、長くなる。,1
令和3年,環境・設備,11,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,空調用水蓄熱槽の利用温度差を確保するために、熱交換器を通過する蓄熱槽からの水量を一定に制御した。,密閉式冷却塔の省エネルギーを図るために、ファン発停制御及びファン回転数制御を行えるようにした。,遠心冷凍機の成績係数を改善するために、中間期においては、夏期よりも低い冷却水入口温度で運転できるようにした。,ガスエンジンから発生する排熱を利用するために、排熱投入型の吸収冷温水機を設置した。,1
令和3年,環境・設備,12,,事務所の空調方式に関する次の記述のうち、最も不適当なものはどれか。,定風量単一ダクト方式は、一般に、変風量単ーダクト方式に比べて搬送動力の消費量が大きい。,個別分散方式は、空調機を室単位やゾーン単位ごとに設置する方式であり、一般に、天井内等に機器の設置が可能なため、機器等の設置に必要なスペースを小さくすることができる。,放射空調方式は、一般に、天井等に設置した放射パネルを冷却又は加熱することにより放射パネルと人との間で放射熱交換を行う方式であり、気流や温度むらによる不快感が少ない。,床吹出し空調方式は、二重床の床下空間を利用し、床面に設けた吹出し口から空調空気を吹き出す方式であり、一般に、暖房運転時における居住域高さでの垂直温度差は大きい。,4
令和3年,環境・設備,13,,機械換気設備に関する次の記述のうち、最も不適当なものはどれか。,"200m?の一般的な事務室(40席)の換気量を、1,200m?/hとした。","100m?の喫茶店の客席(40席)の換気量を、1,200m?/hとした。","500m?の劇場の客席(400席)の換気量を、6,000m?/hとした。","1,000m?の自走式屋内地下駐車場の換気量を、14,000m?/hとした。",3
令和3年,環境・設備,14,,給排水衛生設備に関する次の記述のうち、最も不適当なものはどれか。,排水を再利用した雑用水については、便器洗浄水や修景用水の他に、清掃用水や冷却塔補給水にも使用した。,給水設備において、上水系統と別系統にした雑用水系統の受水槽については、雑用水用ポンプを設置した給排水衛生設備機械室の直下にある鉄筋コンクリート造の床下ピットを利用した。,雨水を便器洗浄水等で再利用した排水が下水道料金の対象となる地域において、雨水使用量を計測する量水計を設置した。,飲食施設を設けない中小規模の事務所ビルの給水設計において、使用水量の比率を、飲料水30%、雑用水70%とした。,1
令和3年,環境・設備,15,,排水設備等に関する次の記述のうち、最も不適当なものはどれか。,飲食店の厨房の排水系統に設けるグリース阻集器は、一般に、油脂分を取ることのみを目的としているので、下流に臭気等を防止するトラップを別に設ける必要がある。,公共下水道へ排水する場合には、原則として、排水温度を45℃未満にしなければならない。,ディスポーザ排水処理システムは、ディスポーザ、専用の排水配管及び排水処理装置により構成されており、一般に、排水中のBOD等を基準値以下にして、下水道に放流するものである。,即時排水型ビルピット設備は、排水の貯留時間を短くすることにより、硫化水素等の悪臭物質の発生を抑制することができる。,1
令和3年,環境・設備,16,,発電設備等に関する次の記述のうち、最も不適当なものはどれか。,非常電源専用受電設備は、商用電源が停電した場合、消防設備へ電力を供給できなくなるので、大規模な特定防火対象物における消防用設備等の非常電源とすることができない。,消防用設備等の非常電源として用いる自家発電設備で、蓄電池を使用しないものは、常用電源が停電してから電圧確立及び投入までの所要時間を40秒以内とする必要がある。,デュアルフューエルシステムの発電機に用いる燃料は、通常時にはガスを用い、災害等によりガスの供給が停止した場合には重油等を用いることができる。,燃料電池設備は、気体燃料を用いるので、消防用設備等の非常電源とすることができない。,4
令和3年,環境・設備,17,,照明率に関する次の記述のうち、最も不適当なものはどれか。,配光が同じ照明器具においては、器具効率が高いほど照明率は高くなる。,器具効率が同じ照明器具においては、配光の広がりが大きいほど照明率は高くなる。,室の形状を示す室指数が同じであれば、室内反射率が高いほど照明率は高くなる。,室内反射率が同じであれば、室の形状を示す室指数が大きいほど照明率は高くなる。,2
令和3年,環境・設備,18,,消防用設備等に関する次の記述のうち、最も不適当なものはどれか。,"消火薬剤の放射により消火するパッケージ型自動消火設備を、スプリンクラー設備の代替設備として延べ面積1,500m?の特別養護老人ホームに設置した。",窒息効果と冷却効果により消火する泡消火設備を、地下駐車場に設置した。,水幕を張ることにより外部等からの延焼を防止するドレンチャー設備を、重要文化財の神社に設置した。,消防用水を、屋内消火栓設備やスプリンクラー設備等の初期消火設備のための専用水源として設置した。,4
令和3年,環境・設備,19,,建築設備に関する次の記述のうち、最も不適当なものはどれか。,非常用エレベーターの機械室の床面積は、機械の配置及び管理に支障がない場合においては、昇降路の水平投影面積の2倍以上としなくてもよい。,空調用の低圧送風機系統において、同一特性の送風機を2台並列運転させた場合の風量は、一般に、単独運転時の2倍にはならない。,ヒートポンプ給湯機は、大気中の熱エネルギーを給湯の加熱に利用するもので、冷媒に二酸化炭素を用いたものがある。,マルチパッケージ型空調機の屋外機は、屋上に集中設置するよりも各階バルコニーに分散設置するほうが、冷媒管が短く、高低差が少なくなるため、一般に、機器の運転効率は低下する。,4
令和3年,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,建築物省エネルギー性能表示制度(BELS)の5段階のマークは、BEIの値が大きいほど星の数が増える。,「建築物のエネルギー消費性能の向上に関する法律」に基づく新築住宅の省エネルギー基準では、原則として、外皮平均熱貫流率(UA値)や冷房期の平均日射熱取得率 (ηAC値)を地域の区分に応じた基準値以下となること等が求められる。,被災時に救護場所や避難場所となる可能性が高い病院やホテル等の施設を有する企業のBCPにおいては、電気、ガス、水道等のライフラインの広域停止に備えた設備をあらかじめ計画することが望ましい。,地域冷暖房システムの導入は、一般に、未利用熱の活用による排熱削減が期待でき、ヒートアイランド現象の緩和にも効果的である。,1
令和3年,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,土地に定着する観覧のための工作物は、屋根を有しないものであっても、「建築物」に該当する。,幼保連携型認定こども園は、「特殊建築物」に該当する。,鉄筋コンクリート造、地上3階建ての共同住宅における2階の床及びこれを支持するはりに鉄筋を配置する工事の工程は、「特定工程」に該当する。,火災により温度が急激に上昇した場合に自動的に閉鎖する防火戸は、「建築設備」に該当する。,4
令和3年,法規,2,,面積、高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,国土交通大臣が高い開放性を有すると認めて指定する構造の建築物については、その端から水平距離1m以内の部分の水平投影面積は、建築面積に算入しない。,建築物の宅配ボックス設置部分の床面積は、当該建築物の各階の床面積の合計の1/100を限度として、当該建築物の建築基準法第52条第1項に規定する容積率の算定の基礎となる延べ面積(建築物の容積率の最低限度に関する規制に係るものを除く。)に算入しない。,建築物の屋上部分で、水平投影面積の合計が当該建築物の建築面積の1/8以下の塔屋において、その一部に休憩室を設けたものは、当該建築物の階数に算入する。,避雷設備の設置の必要性を検討するに当たっての建築物の高さの算定において、階段室、昇降機塔等の建築物の屋上部分で、その水平投影面積の合計が当該建築物の建築面積の1/8以内の場合、その部分の高さは、12mまでは当該建築物の高さに算入しない。,4
令和3年,法規,3,,準防火地域内における次の行為のうち、建築基準法上、確認済証の交付を受ける必要がないものはどれか。ただし、建築等に関する確認済証の交付を受ける必要がない区域の指定はないものとする。,鉄骨造、延べ面積100m?、平家建ての一戸建ての住宅における、床面積8m?の増築,木造、高さ8m、地上2階建ての飲食店で、その用途に供する部分の床面積の合計が300m?のものにおける、屋根の過半の模様替,"第一種住居地域内にある鉄筋コンクリート造、延べ面積2,000m?、地上2階建ての水泳場の、体育館への用途の変更(大規模の修繕又は大規模の模様替を伴わないもの)",鉄筋コンクリート造、延べ面積300m?、地上3階建ての事務所内における、エレベーターの設置,3
令和3年,法規,4,,次の記述のうち、建築基準法上、誤っているものはどれか。,建築主は、確認済証の交付を受けた建築物について、当該建築物の敷地面積が増加する場合の敷地面積及び敷地境界線の変更(当該敷地境界線の変更により変更前の敷地の一部が除かれる場合を除く。)をして、当該建築物を建築しようとするときは、変更後も建築物の計画が建築基準関係規定に適合することが明らかなものは、あらためて確認済証の交付を受ける必要はない。,"延べ面積2,000m?、地上4階建ての病院の避難施設等に関する工事の施工中において当該建築物を使用する場合においては、当該建築主は、仮使用の認定を受けるとともに、あらかじめ、当該工事の施工中における当該建築物の安全上、防火上又は避難上の措置に関する計画を作成して特定行政庁に届け出なければならない。",鉄骨造、平家建ての診療所(患者の収容施設があるもの)で、その用途に供する部分の床面積の合計が200m?のものを新築する場合においては、当該建築主は、検査済証の交付を受ける前であっても、当該建築物を使用することができる。,鉄筋コンクリート造、延べ面積500m?、地上5階建ての共同住宅を寄宿舎とする用途の変更(大規模の修繕又は大規模の模様替を伴わないもの)に係る確認済証の交付を受けた場合においては、当該建築主は、当該用途の変更に係る工事を完了したときは、建築主事に工事完了届を届け出なければならない。,2
令和3年,法規,5,,次の記述のうち、建築基準法上、誤っているものはどれか。,集会場における客用の階段に代わる高さ1.5m、勾配1/15の傾斜路で、その幅が4mのものには、中間に手すりを設けなくてもよい。,有料老人ホームにおける床面積50m?の入所者用娯楽室には、採光のための窓その他の開口部を設け、その採光に有効な部分の面積は、原則として、5m?以上としなければならない。,共同住宅の天井の全部が強化天井であり、かつ、天井の構造が、隣接する住戸からの日常生活に伴い生ずる音を衛生上支障がないように低減するために天井に必要とされる性能に関して政令で定める技術的基準に適合するもので、国土交通大臣が定めた構造方法を用いるものである場合には、当該共同住宅の各戸の界壁(準耐火構造であるもの)は、小屋裏又は天井裏に達しなくてもよい。,最下階の居室の床が木造である場合における外壁の床下部分には、原則として、壁の長さ5m以下ごとに、面積300cm?以上の換気孔を設け、これにねずみの侵入を防ぐための設備をしなければならない。,1
