年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和7年,計画,12,,住まいの計画に関する次の記述のうち、最も不適当なものはどれか。,「住生活基本計画(全国計画)」(令和3年3月19日)における最低居住面積水準は、世帯の人数に応じて、健康で文化的な住生活を営む基礎として必要不可欠な住宅の面積に関する水準のことで、単身世帯の場合、原則として、住戸専用面積25m?である。,「子育て支援型共同住宅推進事業」は、共同住宅を対象に、子どもの安全・安心対策や、子育て期の親同士の交流機会の創出に関する施設設置を支援するものであり、転落防止の手すりや補助錠の設置等に対し、一定の条件を満たすことで補助を受けることができる。,シルバーハウジング・プロジェクトは、高齢者の世帯が地域社会の中で自立して安全かつ快適な生活を営むことができるよう配慮した住宅及び付帯施設の供給並びにライフサポートアドバイザーによりサービスの提供を行う事業であり、事業主体の長が認める時は、障害者世帯の利用も可能である。,サービス付き高齢者向け住宅は、バリアフリー構造を有し、介護・医療と連携してリハビリテーションサービスを受けながら暮らすことで、家庭への復帰を目指すケア付きの住宅であり、高齢期の居住の安定の確保に寄与している。,4
令和7年,計画,13,,団地再生及び災害復興(所在地)に関する次の記述のうち、最も不適当なものはどれか。,ゆいま?る多摩平の森(東京都)は、団地内にある階段室型の鉄筋コンクリート造の住棟にエレベーターと共用廊下を増築し、介護施設棟や、入居者のみならず誰もが利用できる食堂等が設けられている。,堀川団地出水団地第1棟・第2棟(京都府)は、戦後建設された鉄筋コンクリート造の店舗併用集合住宅であり、改修により、耐震補強やエレベーター設置のほか、多世代向けの住戸改修とDIY可能な住戸の導入などがされている。,釜石市天神復興住宅(岩手県)は、東日本大震災による被災者のための公営住宅であり、リビングアクセス形式の採用や、1フロア毎に共用廊下の配置を反転させることで、高齢居住者の見守りがしやすい環境づくりが行われている。,真野ふれあい住宅(兵庫県)は、阪神・淡路大震災の復興事業として計画されたグループハウスであり、建築物の中央にある中庭を軸に左右対称に各ユニットの玄関、共用のLDK、居室が配置され、各居室からも直接外部に出ることができるように平家建てで計画されている。,4
令和7年,計画,14,,商業建築物等の計画に関する次の記述のうち、最も不適当なものはどれか。,大規模店舗において、竣工後に短期間で容易にテナントの入れ替えや区画変更ができるよう、全館避難安全検証法の性能設計のうち国土交通大臣の個別認定による安全検証を行った。,劇場において、エントランスホールから客席までのアプローチを十分に確保したうえで、段階的に暗くし、暗さに目が慣れるのを早めるため、客席空間は赤色を基調とした内装とした。,百貨店において、駐車場の適正利用を図るため、駐車場内の一般駐車スペースと区別がつくように車椅子使用者用駐車スペースの路面を青色に塗装してゾーン分けを行った。,高層事務所ビルにおいて、ビル風対策のため、建築物の外壁の出隅部分を曲面にするほか、クスノキやシラカシ等の常緑樹の高木を建築物の外周部に植栽した。,1
令和7年,計画,15,,公共建築物の計画に関する次の記述のうち、最も不適当なものはどれか。,美術館において、紫外線カットフィルムを用いたハイサイドライトから自然採光によって展示室全体の均質照度を確保し、光量不足を補うためにLED照明による調光を行った。,保育所において、4階に保育室を設置するため、特別避難階段に準じた屋内避難階段の付室には排煙設備を設け、乳幼児が安全に一定時間待避できるよう十分な広さを確保した。,地域図書館において、児童開架室に設けたお話しコーナーは床座としたので、靴の履き替えをスムーズに行わせるために100mmの段差を設けた。,公民館において、避難所としての利用を想定し、マンホールトイレを避難時の居住エリアから離れた人目につきにくい場所に設置できる計画とした。,4
令和7年,計画,16,,総合病院の計画に関する次の記述のうち、最も不適当なものはどれか。,病室の出入口の有効幅員は、円滑に患者をベッドごと搬送できるように、1.35mとした。,下部内視鏡検査を行う部門の患者待合エリアには、検査衣に着替えるための更衣室や前処置のためのトイレを併設した。,中央材料部門は、手術室で使用した器材の洗浄・滅菌を行うため、手術部と専用の搬送設備で直結させたうえで、手術部以外の部門に対しては廊下経由の搬送経路を確保した。,産科部門は、LDR (Labor Delivery Recovery)を採用し、陣痛・分娩・回復という出産の過程に応じて、専用の部屋をそれぞれ設けた。,4
令和7年,計画,17,,駅及び駅前施設(所在地)に関する次の記述のうち、最も不適当なものはどれか。,岩見沢複合駅舎(北海道)は、赤レンガの壁と、古いレールをマリオンとして再利用したカーテンウォールの外観を特徴にもつ、駅、交流施設等による複合施設である。,東京駅丸の内駅舎(東京都)は、戦災後の復興工事による外観を保存し、免震構造が採用された、駅、ホテル、ギャラリー等による複合施設である。,京都駅ビル(京都府)は、中央にあるコンコースを谷に見立て、段丘を東西方向に延ばし、中央にガラスに覆われたアトリウムを特徴にもつ、駅、ホテル、商業施設等による複合施設である。,延岡市駅前複合施設エンクロス(宮崎県)は、プレキャストコンクリート柱と鉄筋コンクリート梁に囲まれたグリッドで構成された、鉄道やバスの総合待合、図書閲覧スペース、駅前広場等による複合施設である。,2
令和7年,計画,18,,四会連合協定「建築設計・監理等業務委託契約約款」に照らして、最も不適当なものは、次のうちどれか。,委託者は、受託者に対し、設計業務等を遂行するにあたり必要となる情報を、受託者の求めに応じて、速やかに提供しなければならない。,受託者は、設計業務、監理業務又は調査・企画業務の全部を一括して第三者に委託する場合は、あらかじめ書面による委託者の同意を得なければならない。,受託者は、著作建築物に受託者の実名又は変名を表示する場合、委託者の承諾を得なければならない。,受託者は、契約に定めがない場合においても、委託者の請求があるときは、設計業務の進捗状況について、委託者に説明・報告しなければならない。,2
令和7年,計画,19,,建築積算に関する次の記述のうち、建築工事積算研究会「建築数量積算基準・同解説」に照らして、最も不適当なものはどれか。,仮設における直接仮設は、工事種目ごとの工事科目で単独に使用する仮設をいう。,仮設における災害防止は、工事関係者及び第三者の災害防止のために設置する垂直養生、安全ネット、外周・開口部養生手すり等の安全設備をいう。,木躯体(軸組構法)は、積算上一般に軸組、床組、小屋組、壁、階段及びその他の各部分に区分され、接合金物・接合具及び防腐・防蟻処理等を含むものとする。,コンクリート躯体は、ラーメン構造において、積算上一般に基礎、柱、梁、床板、壁、階段、その他の各部分に区分され、その接続は原則として「さきの部分」に「あとの部分」が接続するものとして計測・計算する。,1
令和7年,計画,20,,建築のマネジメントに関する次の記述のうち、最も不適当なものはどれか。,PPP (Public Private Partnership)は、公共サービスの提供に民間が参画する手法を幅広くとらえた概念で、民間資本や民間の創意工夫等を活用し、公共サービスの効率化や質の向上を目指すものである。,詳細設計付工事発注方式は、構造物の構造形式や主要諸元、構造一般図等を確定したうえで、施工のために必要な仮設等を含む詳細設計を施工と一括して発注する方式である。,デザインビルド方式は、設計者が設計を行い、施工者が設計者の作成した設計図書をもとに工事を行うことで設計者の責任と施工者の責任を明確化し、それぞれの専門性を発揮させるプロジェクト実施方式である。,オープンブック方式は、工事費用を施工者に支払う過程において、支払金額とその対価の公正さを明らかにするため、施工者が発注者にコストに関する情報を開示し、その内容について発注者又は第三者が監査を行う方式である。,3
令和7年,環境・設備,1,,環境工学における用語に関する次の記述のうち、最も不適当なものはどれか。,音響インテンシティレベル(音の強さのレベル)は、音のもつ単位体積当たりの力学的エネルギー量を、基準の力学的エネルギー量で除し、デシベル表示したものである。,プルキンエ現象は、暗所視に移行する過程において、視感度が最大となる波長が短い波長へずれる現象である。,平均放射温度(MRT)は、グローブ温度、空気温度及び気流速度を用いて求める。,空気齢は、流入口から室内に入った所定量の空気が、室内のある地点に到達するまでに経過する平均時間である。,1
令和7年,環境・設備,2,,室内の温熱環境に関する次の記述のうち、最も不適当なものはどれか。,予測平均温冷感申告(PMV)は、空気温度、放射温度、相対湿度、気流速度、着衣量、代謝量を用いて求める。,予測平均温冷感申告 (PMV)の値が0のとき、予測不満足者率(PPD)は、0%になる。,空調におけるドラフトによる不快感には、平均風速だけでなく、空気温度も影響する。,着席安静時における日本人の平均的な体格の成人男性の代謝量は、一人当たり約100Wである。,2
令和7年,環境・設備,3,,換気に関する次の記述のうち、最も不適当なものはどれか。,全熱交換器による換気において、外気の絶対湿度が室内の絶対湿度よりも高い場合、室内の吹出し空気の絶対湿度は、外気の絶対湿度より低くなる。,温度差による換気において、外気の温度が室内の温度よりも高い場合、外気は中性帯よりも下側の開口から流入する。,風圧力による換気において、外部風向と開口条件が同じ場合、その換気量は、概ね外部風速に比例する。,容積の異なる2つの室において、それぞれの室内の二酸化炭素発生量及び換気回数が同じ場合、定常状態での室内の二酸化炭素濃度は、一般に、容積が大きい室より小さい室のほうが高くなる。,2
令和7年,環境・設備,4,,建築物の外壁に設ける開口部の伝熱に関する次の記述のうち、最も不適当なものはどれか。,開口部(窓ガラス+ブラインド)の日射熱取得率は、形状や材料の条件が同じ場合、ブラインドを窓ガラスの外側に設置した状態に比べて、内側に設置したほうが大きくなる。,透明フロート板ガラスは、可視光線に比べて、波長の長い赤外線の吸収率が高いため、一般に、日射が当たると室内の温度が上昇する。,熱線吸収板ガラスは、同じ厚さの透明フロート板ガラスと比べて、室内への日射熱侵入を抑える効果はあるが、熱貫流率は同程度である。,複層ガラスは、中空層が完全な真空である場合、熱貫流率が 0.0 W/m?・Kとなる。,4
令和7年,環境・設備,5,,火災時の煙制御に関する次の記述のうち、最も不適当なものはどれか。,吸引型の機械排煙方式は、機械を用いた吸引により煙を外部に排出する方式であり、火災室の圧力を低下させることで、ほかの空間への煙の拡散防止にも有効である。,加圧防排煙方式は、機械給気により圧力を高めて煙の侵入を防止する方式であり、階段や付室、共用廊下等の避難上重要な空間に用いられる。,第二種排煙は、給気を機械で行う押出型の排煙方式であり、火災室からの煙が侵入するおそれはあるが出火のおそれが少ない空間(階段付室や廊下等)に用いられる。,自然排煙方式は、空間の上部に排煙口を設けて発生した煙を外部に排出する方式であり、その効率は給気の経路によらず、排気を行う開口部の位置及び面積で決まる。,4
令和7年,環境・設備,6,,ある地点における南中時の太陽高度が60度のときの法線面直達日射量は JN であった。このときの水平面直達日射量 JH と南向き鉛直面直達日射量 JV の値の組合せとして、最も適当なものは、次のうちどれか。,"JH = JN/√3, JV = JN/2","JH = JN/2, JV = JN/√3","JH = JN/2, JV = √3*JN/2","JH = √3*JN/2, JV = JN/2",4
令和7年,環境・設備,7,,昼光・照明に関する次の記述のうち、最も不適当なものはどれか。,CIE標準曇天空下では、西向きの壁面の鉛直面照度よりも、南向きの壁面の鉛直面照度のほうが低くなる。,昼光率は、天空の輝度分布が一様であれば、全天空照度の影響を受けない。,サーカディアンリズムを保つためには、夜間就寝前に色温度の高い光を浴びすぎないほうがよい。,輝度は、光源面だけではなく、反射面及び透過面についても定義できる。,1
令和7年,環境・設備,8,,色彩に関する次の記述のうち、最も不適当なものはどれか。,XYZ表色系におけるxy色度図上の2点間の距離は、知覚される色の隔たりである色差に比例する。,XYZ表色系における三刺激値X、Y、Zのうち、Yは、反射物体の色の場合、視感反射率を示す。,マンセル表色系におけるバリュー(明度)は、0から10までの数値で表される。,カラーユニバーサルデザインを考慮したサイン計画とする場合、一般に、色相の差だけではなく、明度の差を重視した配色にするとよい。,1
令和7年,環境・設備,9,,"表に示す条件の、拡散性の高い室A、B、Cに、同じ音響パワーをもつ音源があるとき、それぞれの室内の平均音圧レベルの大小関係として、最も適当なものは、次のうちどれか。\n[A: 室表面積 400m?, 平均吸音率 0.25]\n[B: 室表面積 250m?, 平均吸音率 0.10]\n[C: 室表面積 100m?, 平均吸音率 0.40]",A > B > C,A > C > B,B > A > C,B > C > A,4
令和7年,環境・設備,10,,音響に関する次の記述のうち、最も不適当なものはどれか。,"音圧レベルが等しい純音を聴くと、一般に、100Hzの音より1,000 Hz の音のほうが大きく感じられる。",内装材の吸音率が室内で一様な直方体の室において、その室の平面寸法は変えずに天井の高さを倍にすると、残響時間は 1/2 倍になる。,単一材料からなる壁体の遮音性能について、質量則によれば、壁の面密度を2倍にすると、透過損失の値は約6dB増加する。,孔あき板と剛壁との間に空気層を設けた吸音構造において、空気層の厚みを2倍にすると、共鳴周波数は 1/√2 倍になる。,2
令和7年,環境・設備,11,図あり,図はデシカント空調機の模式図である。構成部等に関する次の記述のうち、最も不適当なものはどれか。,冷温水コイルは、予冷、予熱を行うものであり、予冷することで、デシカントローターの除湿性能を上げることができる。,デシカントローターは、除湿剤による吸湿を行うものであり、除湿剤の種類(シリカゲル系、ゼオライト系等)により、それぞれ再生温度が異なる。,再生コイルは、デシカントローターの再生のために冷却を行うものであり、井水や地下水を利用して冷却することで、省エネルギー化が図れる。,加湿器は、冬期において加湿を行うものであり、デシカントローターを使用して還気より回収した湿分だけでは室内の湿度が目標値に達しない場合に稼働する。,3
令和7年,環境・設備,12,,事務所ビルの空気調和設備等の計画に関する次の記述のうち、最も不適当なものはどれか。,中央管理方式の空気調和設備の採用に当たり、その制御及び作動状態の監視等を行うための中央管理室を避難階に設けた。,空調配管用のシャフトは、配管からの漏水時の修繕やメンテナンス性の確保のほか、天井裏に余分なスペースが生じるのを防ぐため、各階で同じ位置とした。,排煙ファンに接続された排煙主ダクト (竪ダクト)が各階の床を貫通する部分に、防火ダンパー (FD)を設けた。,冷却塔と事務室の外気取入れ口との離隔距離は、10mとした。,3
令和7年,環境・設備,13,,空気調和設備に関する次の記述のうち、最も不適当なものはどれか。,井水を熱源水とする水熱源ヒートポンプは、一般に、熱源水の温度が冷房時には外気温度よりも低く、暖房時には外気温度よりも高いので、空気熱源ヒートポンプに比べてCOPが高い。,冷却塔フリークーリングは、外気温度が低いときに冷凍機を使用せず、冷却塔のみで冷水をつくり出す省エネルギー手法である。,外気冷房は、外気のエンタルピーが室内空気のエンタルピーよりも高い場合において、それらのエネルギーの差を冷房に利用できるので、省エネルギー化が図れる。,ナイトパージは、夜間に外気導入を行い、翌日の空調開始時の冷房負荷を減らす省エネルギー手法であり、一般に、昼間の外気導入時よりも低い外気温度まで利用できる。,3
令和7年,環境・設備,14,,給水設備に関する次の記述のうち、最も不適当なものはどれか。,水道直結増圧方式において、水道本管への逆流を防止するため、一般に、増圧ポンプの吸込み側に逆流防止器を設置する。,飲料水用配管から空調設備配管へ給水する場合には、クロスコネクションを防止するため、一般に、逆止め弁を設置する。,上水系統と雑用水系統とを別系統とする場合には、鉄筋コンクリート造の床下ピットを雑用水系統の受水槽として利用することができる。,排水再利用水は、大小便器の洗浄水に使用するほか、一定の条件のもとに、散水用水や掃除用水への給水としても使用できる。,2
令和7年,環境・設備,15,,排水・通気設備に関する次の記述のうち、最も不適当なものはどれか。,公共下水道が合流式であっても、汚水排水管が詰まった場合に衛生器具から室内に雨水が浸入しないようにするため、建築物内の雨水排水管と汚水排水管の兼用は避ける。,公共下水道へ排水する場合には、原則として、排水温度を45℃未満にして排水する。,ループ通気方式は、2個以上のトラップを保護するために用いられる方式であり、一般に、伸頂通気方式に比べて、許容流量値が小さくなる。,排水管内の点検や清掃のための掃除口の大きさは、原則として、排水管径が100mm以下の場合は同一の口径とし、排水管径が100mmを超える場合には100mmより小さくならないようにする。,3
令和7年,環境・設備,16,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,埋設又は打込み接地極の種類には、銅板、銅被覆板等があり、地中に埋設又は打込む際は、なるべく水気があり、かつ、酸などで腐食するおそれがない場所を選ぶことが望ましい。,外部雷保護システムは、保護レベルに応じて、保護角法、回転球体法、メッシュ法のいずれかを選択し、重要度の高い建築物は保護レベルIで計画する。,航空障害灯設備は、原則として、高さ60m以上の建築物等に設置が義務づけられており、建築物等の形状等により航空障害灯の種類、設置箇所、設置個数が異なる。,太陽電池モジュールは、一部のセルに影が当たると発電能力が低下するだけではなく、ホットスポットが生じるおそれがあり、その対策の一つとして、バイパスダイオードの設置がある。,2
令和7年,環境・設備,17,,電気設備に関する次の記述のうち、最も不適当なものはどれか。,避難口誘導灯は、避難口の位置を明示するものであり、停電時においても点灯が継続可能な時間(予備電源の最低容量)により、A級、B級、C級に区分される。,非常コンセント設備は、消防隊が有効に消火活動を行えるよう、単相交流100V、15A以上の電気を供給できるものとする。,非常電源専用受電設備は、大規模な特定防火対象物における消防用設備等の非常電源とすることができない。,蓄電池は、非常用電源、停電補償、受電電力平準化、自然エネルギーによる発電電力平準化等に用いられる。,1
令和7年,環境・設備,18,,消防用設備等に関する次の記述のうち、最も不適当なものはどれか。,開放型スプリンクラー設備は、火災の際、一斉開放弁を開くことにより、放水区域内の全てのスプリンクラーヘッドから散水する設備である。,粉末消火設備は、炭酸水素ナトリウム等の粉末を使用した負触媒効果により消火するものであり、航空機の格納庫や寒冷地の駐車場等に適している。,連結送水管は、公設消防隊の消火活動を行うための設備であり、1階の外壁又は外部に設置された送水口に消防ポンプ自動車で送水して使用する。,消防用水は、公設消防隊が消防ポンプ車によって水を吸い上げ、消火活動に使用する水源であり、敷地面積に耐火建築物等の建築物の区分に応じた係数を乗じた値が必要貯水量となる。,4
令和7年,環境・設備,19,,建築設備に関する次の記述のうち、最も不適当なものはどれか。,ヒートポンプ給湯機は、一般に、大気中の熱エネルギーを給湯の加熱に利用するものであり、冷媒に二酸化炭素を利用したものがある。,エスカレーターの落下防止のため、エスカレーターの一端を梁等の支持材に堅固に固定し、他端は非固定とした場合の非固定部分は、一般に、隙間及びかかり代長さを確保する。,建築設備の耐震設計において、一般に、建築物を耐震構造から免震構造とすることで鉛直震度は低減されるので、耐震構造の場合よりも設備機器類の設計用鉛直震度の値を小さくする。,大規模建築物に設置する多数台のエレベーターの運転管理において、群管理方式とすることで、省エネルギーとサービス向上の両立ができる。,3
令和7年,環境・設備,20,,環境・設備に関する次の記述のうち、最も不適当なものはどれか。,エンボディドカーボンは、建物の生涯を通して排出されるカーボン (ホールライフカーボン)のうち、建物の新築、改修、解体時に発生するカーボンのことである。,『ZEH』は、高い断熱性能を有する外皮及び高効率な省エネルギー設備を備え、再生可能エネルギー等により年間の一次エネルギー消費量が正味ゼロ又はマイナスとなる住宅である。,「住宅の品質確保の促進等に関する法律」に基づく「日本住宅性能表示基準」に規定される「一次エネルギー消費量等級」の「等級4」は、「建築物のエネルギー消費性能の向上等に関する法律」の住宅の省エネルギー基準における基準値相当の省エネルギー性能であることを示す。,「建築物のエネルギー消費性能の向上等に関する法律」の住宅の省エネルギー基準における外皮性能基準では、外皮平均熱貫流率及び暖房期の平均日射熱取得率を地域区分別に規定された値以下とすることが求められる。,4
令和7年,法規,1,,次の記述のうち、建築基準法上、誤っているものはどれか。,建築物の周囲において発生する通常の火災による延焼の抑制に一定の効果を発揮するために外壁に必要とされる性能を、「準防火性能」という。,「建築基準関係規定」は、建築確認、完了検査等の際に適合することが求められる規定であり、建築基準法令の規定のほか、消防法等の他法令に基づく規定も含まれる。,土地に定着する観覧のための工作物で、屋根を有しないものは、「建築物」に該当しない。,レストランの調理室は、「居室」に該当する。,2
令和7年,法規,2,,高さ又は階数に関する次の記述のうち、建築基準法上、誤っているものはどれか。,日影による中高層の建築物の高さの制限に関する規定において、平均地盤面からの高さとは、当該建築物が周囲の地面と接する位置の平均の高さにおける水平面からの高さをいう。,前面道路の境界線から後退した建築物の各部分の高さの制限の適用において、当該建築物の後退距離の算定の特例の適用を受ける場合、ポーチの高さの算定については、地盤面からの高さによる。,避雷設備の設置の必要性を検討するに当たっての建築物の高さの算定において、建築物の屋上部分である昇降機塔で、その水平投影面積の合計が当該建築物の建築面積の 1/8 以内の場合であっても、その部分の高さは、当該建築物の高さに算入する。,建築物の屋上部分で、水平投影面積の合計が当該建築物の建築面積の 1/8 の倉庫を設けたものは、当該建築物の階数に算入する。,4
令和7年,法規,3,,次の記述のうち、建築基準法上、誤っているものはどれか。,鉄骨造、延べ面積300m?、平家建ての建築物を建築する建築主が都道府県である場合、当該工事に着手する前に、その計画を指定確認検査機関に通知することができる。,都市計画法第29条第1項の規定による許可が必要である高さ3mの擁壁を築造する場合、確認済証の交付を受ける必要はない。,都市計画区域、準都市計画区域、準景観地区内又は都道府県知事が関係市町村の意見を聴いて指定する区域内のいずれにも該当しない区域及び地区において、木造、延べ面積100m?、地上2階建ての一戸建て住宅を建築する場合、確認済証の交付を受ける必要はない。,都市計画区域内で、建築物の容積率の最低限度が定められている区域内における確認済証の交付を受けた建築物について、床面積の合計が減少する場合における床面積の変更がある場合は、あらためて確認済証の交付を受けなければならない。,2
